Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
13/04/2024;Southampton;16;0;3;68;821;Watford;13;4;63;602;86.0;6;1;0;6;Gavin Bazunu;Portero;James Bree;Defensor;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Kyle Walker-Peters;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Joe Aribo;Mediocampista;David Brooks;Delantero;Che Adams;Delantero;Adam Armstrong;Delantero;2;1;3;1;0;0;0;1
9/04/2024;Southampton;16;0;3;68;833;Coventry City;14;6;61;626;89.0;15;1;0;6;Gavin Bazunu;Portero;James Bree;Defensor;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Kyle Walker-Peters;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Joe Aribo;Mediocampista;David Brooks;Delantero;Che Adams;Delantero;Adam Armstrong;Delantero;2;0;2;1;0;0;0;1
6/04/2024;Southampton;16;0;3;68;824;Blackburn Rovers;7;2;69;697;89.0;8;2;0;5;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Joe Aribo;Mediocampista;Flynn Downes;Mediocampista;Joe Rothwell;Mediocampista;David Brooks;Delantero;Adam Armstrong;Delantero;Ryan Fraser;Delantero;0;0;0;0;1;0;1;0
1/04/2024;Southampton;16;0;3;68;66;Ipswich;17;8;65;587;86.0;12;1;1;7;Gavin Bazunu;Portero;James Bree;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Joe Aribo;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;2;0;2;0;0;1;1;0
29/03/2024;Southampton;16;0;3;68;822;Middlesbrough;13;5;63;680;90.0;5;2;0;8;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;James Bree;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Kamaldeen Sulemana;Delantero;1;0;1;0;1;0;0;1
9/03/2024;Southampton;16;0;7;68;820;Sunderland AFC;21;10;61;570;84.0;13;3;0;6;Gavin Bazunu;Portero;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;David Brooks;Delantero;Che Adams;Delantero;Adam Armstrong;Delantero;2;2;4;1;0;0;0;1
2/03/2024;Southampton;16;0;3;68;243;Birmingham City;26;11;78;739;89.0;7;1;0;16;Gavin Bazunu;Portero;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;David Brooks;Delantero;Adam Armstrong;Delantero;Che Adams;Delantero;1;3;4;1;0;0;1;0
28/02/2024;Southampton;15;0;0;68;2;Liverpool;12;3;47;543;88.0;2;1;0;8;Joe Lumley;Portero;James Bree;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Joe Aribo;Mediocampista;Shea Charles;Mediocampista;Joe Rothwell;Mediocampista;Samuel Edozie;Delantero;Sékou Mara;Delantero;Kamaldeen Sulemana;Delantero;0;0;0;0;0;1;1;0
24/02/2024;Southampton;16;0;1;68;825;Millwall;14;7;81;770;92.0;9;4;0;13;Gavin Bazunu;Portero;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Kyle Walker-Peters;Defensor;Joe Aribo;Mediocampista;Will Smallbone;Mediocampista;Stuart Armstrong;Mediocampista;David Brooks;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;1;0;1;0;0;1;0;1
20/02/2024;Southampton;16;1;1;68;838;Hull City;15;3;59;657;88.0;9;1;0;4;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Adam Armstrong;Mediocampista;Joe Rothwell;Mediocampista;Will Smallbone;Mediocampista;Samuel Edozie;Mediocampista;Sékou Mara;Delantero;Stuart Armstrong;Delantero;0;1;1;0;0;1;0;1
16/02/2024;Southampton;16;0;3;68;823;Albion;13;4;63;672;91.0;5;1;0;9;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Jack Stephens;Defensor;Shea Charles;Mediocampista;Will Smallbone;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Sékou Mara;Delantero;Ryan Fraser;Delantero;1;1;2;1;0;0;1;0
13/02/2024;Southampton;16;0;3;68;828;Bristol City;16;4;68;705;88.0;13;2;0;5;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Shea Charles;Mediocampista;Joe Rothwell;Mediocampista;David Brooks;Delantero;Adam Armstrong;Delantero;Samuel Edozie;Delantero;0;1;1;0;0;1;1;0
10/02/2024;Southampton;16;0;6;68;249;Huddersfield Town;15;7;71;701;88.0;11;2;0;6;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;0;5;5;1;0;0;0;1
6/02/2024;Southampton;15;0;7;68;821;Watford;13;6;59;602;88.0;13;4;0;6;Joe Lumley;Portero;Shea Charles;Defensor;Jack Stephens;Defensor;Jan Bednarek;Defensor;Jayden Meghoma;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Joe Rothwell;Mediocampista;Tyler Dibling;Delantero;Che Adams;Delantero;Sékou Mara;Delantero;0;3;3;1;0;0;0;1
3/02/2024;Southampton;16;0;9;68;256;Rotherham;10;7;74;697;89.0;10;2;0;10;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;2;0;2;1;0;0;1;0
28/01/2024;Southampton;15;0;7;68;821;Watford;19;8;70;660;90.0;7;2;0;6;Joe Lumley;Portero;Mason Holgate;Defensor;Taylor Harwood-Bellis;Defensor;Jack Stephens;Defensor;Jayden Meghoma;Defensor;Joe Rothwell;Mediocampista;Shea Charles;Mediocampista;Carlos Jonás Alcaraz;Mediocampista;Tyler Dibling;Delantero;Che Adams;Delantero;Sékou Mara;Delantero;0;1;1;0;1;0;1;0
20/01/2024;Southampton;16;0;20;68;827;Swansea;21;10;67;649;90.0;12;2;0;8;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;3;0;3;1;0;0;1;0
13/01/2024;Southampton;16;0;3;68;829;Sheffield Wednesday;15;7;71;672;91.0;9;3;0;14;Gavin Bazunu;Portero;Kyle Walker-Peters;Defensor;Taylor Harwood-Bellis;Defensor;Jan Bednarek;Defensor;Ryan Manning;Defensor;Will Smallbone;Mediocampista;Flynn Downes;Mediocampista;Stuart Armstrong;Mediocampista;Adam Armstrong;Delantero;Che Adams;Delantero;Ryan Fraser;Delantero;1;3;4;1;0;0;0;1
6/01/2024;Southampton;15;0;2;68;-1;Walsall;19;7;66;705;91.0;8;1;0;5;Joe Lumley;Portero;Mason Holgate;Defensor;Jack Stephens;Defensor;Taylor Harwood-Bellis;Defensor;Jayden Meghoma;Defensor;Will Smallbone;Mediocampista;Shea Charles;Mediocampista;Carlos Jonás Alcaraz;Mediocampista;Samuel Amo-Ameyaw;Delantero;Sékou Mara;Delantero;Ryan Fraser;Delantero;1;3;4;1;0;0;0;1
