Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;jugador 1;posicion jugador 1;jugador 2;posicion jugador 2;jugador 3;posicion jugador 3;jugador 4;posicion jugador 4;jugador 5;posicion jugador 5;jugador 6;posicion jugador 6;jugador 7;posicion jugador 7;jugador 8;posicion jugador 8;jugador 9;posicion jugador 9;jugador 10;posicion jugador 10;jugador 11;posicion jugador 11;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
1/9/24;Slovan Bratislava;-1;3;6;36;-1;Žilina;13;2;47;372;81;8;1;0;4;Martin Trnovsky;Portero;Jurij Medvedev;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Matus Vojtko;Defensor;Kyriakos Savvidis;Mediocampista;Alen Mustafić;Mediocampista;Tigran Barseghyan;Mediocampista;Róbert Mak;Mediocampista;Nino Marcelli;Mediocampista;Idjessi Metsoko;Delantero;0;0;0;0;0;1;0;1
17/9/23;Slovan Bratislava;-1;1;0;36;-1;DAC 1904;22;8;59;450;81;13;3;0;7;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Lucas Lovat;Defensor;Juraj Kucka;Mediocampista;Kyriakos Savvidis;Mediocampista;Jaba Kankava;Mediocampista;Aleksandar Čavrić;Mediocampista;Tigran Barseghyan;Delantero;Malik Abubakari;Delantero;0;1;1;0;0;1;1;0
3/9/23;Slovan Bratislava;-1;0;6;36;-1;Podbrezová;19;7;46;418;73;20;3;0;6;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Matus Vojtko;Defensor;Filip Lichý;Mediocampista;Kyriakos Savvidis;Mediocampista;Jaba Kankava;Mediocampista;Tigran Barseghyan;Delantero;Aleksandar Čavrić;Delantero;Malik Abubakari;Delantero;1;2;3;1;0;0;0;1
15/8/23;Slovan Bratislava;0;1;3;36;-1;Maccabi Haifa;13;6;43;422;81;9;2;0;8;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Lucas Lovat;Defensor;Tigran Barseghyan;Mediocampista;Jaba Kankava;Mediocampista;Juraj Kucka;Mediocampista;Zuberu Sharani;Mediocampista;Aleksandar Čavrić;Delantero;David Strelec;Delantero;0;1;1;0;0;1;1;0
12/8/23;Slovan Bratislava;-1;7;3;36;-1;Skalica;17;8;58;503;81;13;1;0;4;Adam Hrdina;Portero;César Blackman;Defensor;Richard Križan;Defensor;Kevin Wimmer;Defensor;Matus Vojtko;Defensor;Filip Lichý;Mediocampista;Jaromír Zmrhal;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Nino Marcelli;Mediocampista;David Strelec;Delantero;2;0;2;1;0;0;1;0
9/8/23;Slovan Bratislava;0;0;1;36;-1;Maccabi Haifa;16;4;58;489;82;9;0;0;8;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Lucas Lovat;Defensor;Juraj Kucka;Mediocampista;Kyriakos Savvidis;Mediocampista;Jaba Kankava;Mediocampista;Aleksandar Čavrić;Delantero;Malik Abubakari;Delantero;Zuberu Sharani;Delantero;1;0;1;0;0;1;0;1
5/8/23;Slovan Bratislava;-1;7;4;36;-1;Banská Bystrica;14;7;61;574;81;7;1;0;8;Milan Borjan;Portero;César Blackman;Defensor;Siemen Voet;Defensor;Kevin Wimmer;Defensor;Matus Vojtko;Defensor;Filip Lichý;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Vladimír Weiss;Mediocampista;Jaromír Zmrhal;Mediocampista;Malik Abubakari;Delantero;1;1;2;0;1;0;0;1
1/8/23;Slovan Bratislava;0;0;0;36;-1;Zrinjski;11;5;51;456;86;9;4;0;7;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Lucas Lovat;Defensor;Juraj Kucka;Mediocampista;Kyriakos Savvidis;Mediocampista;Jaba Kankava;Mediocampista;Zuberu Sharani;Delantero;Aleksandar Čavrić;Delantero;Vladimír Weiss;Delantero;1;1;2;0;1;0;0;1
29/7/23;Slovan Bratislava;-1;0;3;36;-1;FC Košice;19;5;63;506;80;13;2;0;7;Milan Borjan;Portero;César Blackman;Defensor;Richard Križan;Defensor;Kevin Wimmer;Defensor;Matus Vojtko;Defensor;Filip Lichý;Mediocampista;Uche Henry Agbo;Mediocampista;Juraj Kucka;Mediocampista;Jaromír Zmrhal;Delantero;Malik Abubakari;Delantero;Nino Marcelli;Delantero;0;0;0;0;1;0;1;0
25/7/23;Slovan Bratislava;0;3;3;36;-1;Zrinjski;6;3;39;357;78;5;3;0;3;Milan Borjan;Portero;Lukáš Pauschek;Defensor;Guram Kashia;Defensor;Kenan Bajrić;Defensor;Lucas Lovat;Defensor;Kyriakos Savvidis;Mediocampista;Jaba Kankava;Mediocampista;Tigran Barseghyan;Mediocampista;Marko Tolic;Mediocampista;Zuberu Sharani;Mediocampista;Aleksandar Čavrić;Delantero;0;1;1;1;0;0;1;0
