Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Agustín Rossi-Flamengo;Wesley Vinícius França Lima-Flamengo;Danilo da Silva-Flamengo;Léo Pereira-Flamengo;Ayrton Lucas-Flamengo;Erick Pulgar-Flamengo;Nicolás de la Cruz Arcosa-Flamengo;Gerson Santos da Silva-Flamengo;Giorgian De Arrascaeta-Flamengo;Bruno Henrique Pinto-Flamengo;Pedro-Flamengo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Leonardo Rech Ortiz-Flamengo;Alex Sandro-Flamengo;Éverton Sousa Soares-Flamengo;Matheus Cunha Queiroz-Flamengo;Guillermo Varela-Flamengo;João Victor de Souza-Flamengo;Evertton Araújo-Flamengo;Allan Rodrigues de Souza-Flamengo;Luiz Araújo-Flamengo;Gonzalo Plata-Flamengo;Michael Richard Delgado de Oliveira-Flamengo;Juninho Vieira-Flamengo;David Luiz-Flamengo;Gabriel Barbosa-Flamengo;Fabrício Bruno-Flamengo;Matheus Gonçalves-Flamengo;Carlos Jonás Alcaraz-Flamengo;Cleiton-Flamengo;Lorran Lucas-Flamengo;Carlos Moisés de Lima-Flamengo;Matías Viña-Flamengo;Victor Hugo Gomes Silva-Flamengo;Igor Jesus-Flamengo;Pablo Nascimento Castro-Flamengo;Filipe Luís-Flamengo;Matheuzinho-Flamengo;Thiago Maia-Flamengo;Éverton Ribeiro-Flamengo;Matheus França de Oliveira-Flamengo;Arturo Vidal-Flamengo;Aderbar Melo dos Santos Neto-Flamengo;Marinho-Flamengo
2025-04-03;Flamengo;-1;3;9;214;227;Deportivo Táchira;1;5;12;6;4;2;0.63;0.37;610;0.87;7;14;1;5;0;0;4;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;2;0.06166666666666667;0.14285714285714285;531;0.013182674199623353;842.8571428571429;0.3333333333333333;6.349206349206349;6;0.26;2;-4;-7;0.019672131147540985;0.08333333333333333;0.63;4.0;0;1;1;1;0;0;1;0;0.08333333333333333;0.25;0.001639344262295082;12.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Flamengo;10;3;3;214;641;Internacional;2;4;19;5;5;1;0.63;0.37;534;0.88;10;17;2;4;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;2;0.074;0.2;470;0.02127659574468085;746.031746031746;0.21052631578947367;6.349206349206349;14;0.26;2;-2;-7;0.035580524344569285;0.05263157894736842;0.63;4.0;0;1;1;0;1;0;0;1;0.05263157894736842;0.2;0.0018726591760299626;19.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Flamengo;34;3;3;214;197;Fluminense;3;6;8;7;1;2;0.66;0.34;461;0.85;19;21;3;6;0;0;9;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;5;0.04857142857142858;0.15789473684210525;392;0.04846938775510204;593.9393939393939;1.125;13.636363636363635;1;0.32;4;-3;-2;0.01735357917570499;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Flamengo;34;3;3;214;197;Fluminense;1;8;15;13;5;4;0.55;0.45;466;0.87;14;17;1;7;0;1;10;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.03461538461538462;0.07142857142857142;405;0.0345679012345679;736.3636363636363;0.6666666666666666;18.18181818181818;2;0.10000000000000003;3;-7;-3;0.032188841201716736;0.13333333333333333;0.275;5.0;1;1;2;1;0;0;1;0;0.13333333333333333;0.4;0.004291845493562232;7.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Flamengo;34;3;3;214;777;Vasco da Gama;2;3;18;4;7;3;0.58;0.42;476;0.85;12;16;2;3;0;0;9;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.105;0.16666666666666666;405;0.02962962962962963;698.2758620689656;0.5;15.517241379310345;14;0.15999999999999998;7;-1;-4;0.037815126050420166;0.1111111111111111;0.29;4.5;1;1;2;1;0;0;0;1;0.1111111111111111;0.2857142857142857;0.004201680672268907;9.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Flamengo;34;3;0;214;777;Vasco da Gama;2;5;15;10;1;3;0.64;0.36;488;0.84;7;16;2;5;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2;0.036;0.2857142857142857;410;0.01707317073170732;640.625;0.3333333333333333;7.8125;5;0.28;3;-3;-9;0.030737704918032786;0.06666666666666667;0.64;5.0;0;1;1;1;0;0;1;0;0.06666666666666667;1.0;0.0020491803278688526;15.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Flamengo;33;3;3;214;210;Botafogo;3;3;17;12;8;3;0.52;0.48;388;0.8;15;19;3;3;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2;0.04;0.2;310;0.04838709677419355;596.1538461538462;0.29411764705882354;9.615384615384615;5;0.040000000000000036;3;0;-4;0.04381443298969072;0.17647058823529413;0.17333333333333334;1.6666666666666667;2;1;3;1;0;0;1;0;0.17647058823529413;0.375;0.007731958762886598;5.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Flamengo;10;1;0;214;693;Vitória;0;2;23;12;4;5;0.68;0.32;619;0.88;7;8;0;2;0;0;6;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.02666666666666667;0.0;545;0.012844036697247707;801.470588235294;0.2608695652173913;8.823529411764705;11;0.36000000000000004;2;-2;-1;0.03715670436187399;0.08695652173913043;0.34;3.0;0;2;2;0;1;0;0;1;0.08695652173913043;0.5;0.0032310177705977385;11.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Flamengo;10;3;28;214;778;Criciúma;0;1;12;16;7;4;0.63;0.37;634;0.87;6;16;0;1;0;0;3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;7;0.023125;0.0;552;0.010869565217391304;876.1904761904761;0.25;4.761904761904762;-4;0.26;-4;-1;-10;0.01892744479495268;0.25;0.21;1.0;1;2;3;1;0;0;1;0;0.25;0.42857142857142855;0.00473186119873817;4.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Flamengo;10;3;3;214;641;Internacional;2;2;17;12;10;6;0.56;0.44;440;0.85;14;12;2;2;0;0;6;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;4;0.03666666666666667;0.14285714285714285;374;0.0374331550802139;667.8571428571428;0.35294117647058826;10.714285714285714;5;0.12000000000000005;2;0;2;0.038636363636363635;0.17647058823529413;0.18666666666666668;2.0;3;0;3;1;0;0;0;1;0.17647058823529413;0.3;0.006818181818181818;5.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
