Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;André Ferreira-Valladolid;Antonio Candela-Valladolid;Joseph Aidoo-Valladolid;Javier Sánchez-Valladolid;Henrique Silva Milagres-Valladolid;Stanko Jurić-Valladolid;Darwin Machís-Valladolid;Chuki-Valladolid;Florian Grillitsch-Valladolid;Raúl Moro-Valladolid;Juanmi Latasa-Valladolid;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Anuar Tuhami-Valladolid;Mamadou Sylla-Valladolid;Eray Cömert-Valladolid;Cenk Özkacar-Valladolid;Adam Aznou-Valladolid;Iván Sánchez-Valladolid;Tamás Nikitscher-Valladolid;Mario Martín Rielves-Valladolid;Arnau Rafús-Valladolid;Luis Pérez Maqueda-Valladolid;David Torres Ortiz-Valladolid;Selim Amallah-Valladolid;Karl Jakob Hein-Valladolid;Marcos André-Valladolid;Lucas Rosa-Valladolid;Juma Bah-Valladolid;Kike Pérez-Valladolid;Amath Ndiaye-Valladolid;Raúl Chasco Ruiz-Valladolid;César de la Hoz-Valladolid;Víctor Meseguer-Valladolid;Enzo Boyomo-Valladolid;Jordi Masip-Valladolid;Sergio Escudero Palomo-Valladolid;Oliveira-Valladolid;Monchu-Valladolid;Álvaro Negredo-Valladolid;César Tárrega-Valladolid;Adrián Arnu-Valladolid;Israel Salazar-Valladolid;Stipe Biuk-Valladolid;Kenedy-Valladolid;Manu Pozo-Valladolid;Jonathan Montiel-Valladolid;Iván Cédric-Valladolid;John-Valladolid;Alberto Quintana Moreno-Valladolid;Gustavo Henrique-Valladolid;Mickaël Malsa-Valladolid;Tunde Akinsola-Valladolid;Víctor Rofino-Valladolid;Jawad El Yamiq-Valladolid;Lucas Olaza-Valladolid;Roque Mesa-Valladolid;Álvaro Aguado-Valladolid;Gonzalo Plata-Valladolid;Cyle Larin-Valladolid;Iván Fresneda-Valladolid;Martin Hongla-Valladolid;Óscar Plano-Valladolid;Joaquín Fernández Moreno-Valladolid;Sergio León-Valladolid;Sergio Asenjo-Valladolid;Shon Weissman-Valladolid;Sergio Guardiola Navarro-Valladolid;Zouhair Feddal-Valladolid;Juan José Narváez-Valladolid;Diego Moreno Cledera-Valladolid
2025-02-07;Valladolid;1;7;3;51;42;Rayo Vallecano;2;2;8;20;3;6;0.31;0.69;258;0.65;15;11;2;2;0;0;2;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4;0.0344999999999999;0.1333333333333333;168;0.0892857142857142;541.9354838709678;0.25;6.451612903225807;-12;-0.3799999999999999;-2;0;4;0.0310077519379844;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Valladolid;1;7;1;51;37;Villarreal;2;1;8;22;2;8;0.47;0.53;427;0.84;14;9;2;1;0;0;6;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3;0.024090909090909;0.1428571428571428;359;0.0389972144846796;763.8297872340426;0.75;12.765957446808512;-14;-0.06;3;1;5;0.018735362997658;0.125;0.47;6.0;0;1;1;0;0;1;1;0;0.125;0.5;0.0023419203747072;8.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Valladolid;1;0;3;51;12;Real Madrid;2;3;6;20;2;4;0.31;0.69;312;0.85;11;12;1;3;1;0;1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;0.0344999999999999;0.1818181818181818;265;0.0415094339622641;854.8387096774194;0.1666666666666666;3.2258064516129035;-14;-0.3799999999999999;-6;-1;-1;0.0192307692307692;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-17;Valladolid;1;0;1;51;49;RCD Espanyol;2;2;11;12;4;4;0.65;0.35;621;0.87;16;13;2;2;0;0;7;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1;0.0291666666666666;0.125;540;0.0296296296296296;830.7692307692307;0.6363636363636364;10.769230769230768;-1;0.3;6;0;3;0.0177133655394524;0.0909090909090909;0.65;7.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.25;0.001610305958132;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Valladolid;1;0;3;51;39;Betis;2;4;12;14;1;3;0.41;0.59;352;0.8;21;10;2;4;0;0;1;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;8;0.0421428571428571;0.0952380952380952;282;0.0744680851063829;687.8048780487806;0.0833333333333333;2.4390243902439024;-2;-0.18;-7;-2;11;0.034090909090909;0.0833333333333333;0.41;1.0;0;1;1;1;0;0;0;1;0.0833333333333333;1.0;0.002840909090909;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Valladolid;19;3;3;51;-1;Ourense;4;1;7;10;3;4;0.51;0.49;401;0.82;19;8;4;1;0;0;2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3;0.049;0.2105263157894736;329;0.0577507598784194;645.0980392156863;0.2857142857142857;3.92156862745098;-3;0.02;-1;3;11;0.0174563591022443;0.2857142857142857;0.255;1.0;2;0;2;0;0;1;1;0;0.2857142857142857;0.6666666666666666;0.0049875311720698;3.5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-20;Valladolid;1;4;6;51;24;Girona;1;3;1;23;1;7;0.29;0.71;298;0.79;7;13;1;3;0;0;1;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9;0.0308695652173913;0.1428571428571428;235;0.0297872340425531;810.344827586207;1.0;3.4482758620689657;-22;-0.42;-8;-2;-6;0.0033557046979865;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-13;Valladolid;1;3;1;51;52;Valencia C. F.;5;2;2;14;1;2;0.32;0.68;277;0.75;10;10;4;2;1;0;1;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;7;0.0485714285714285;0.5;208;0.048076923076923;650.0;0.5;3.125;-12;-0.36;-6;3;0;0.0072202166064981;0.5;0.32;1.0;1;0;1;1;0;0;0;1;0.5;1.0;0.003610108303249;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Valladolid;1;7;3;51;50;U. D. Las Palmas;2;4;9;11;2;5;0.42;0.58;357;0.78;13;17;2;4;0;0;3;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3;0.0527272727272727;0.1538461538461538;278;0.0467625899280575;661.9047619047619;0.3333333333333333;7.142857142857143;-2;-0.1599999999999999;0;-2;-4;0.0252100840336134;0.1111111111111111;0.42;3.0;1;0;1;0;0;1;1;0;0.1111111111111111;0.5;0.0028011204481792;9.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;Valladolid;19;3;1;51;-1;Real Ávila;4;5;21;16;8;7;0.66;0.34;651;0.82;24;18;4;5;0;0;4;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1;0.02125;0.1666666666666666;534;0.0449438202247191;809.090909090909;0.1904761904761904;6.0606060606060606;5;0.32;3;-1;6;0.032258064516129;0.1904761904761904;0.165;1.0;1;3;4;1;0;0;1;0;0.1904761904761904;0.5;0.0061443932411674;5.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
