Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Finn Dahmen-Augsburgo;Chrislain Matsima-Augsburgo;Jeffrey Gouweleeuw-Augsburgo;Cédric Zesiger-Augsburgo;Marius Wolf-Augsburgo;Frank Onyeka-Augsburgo;Kristijan Jakić-Augsburgo;Dimitris Giannoulis-Augsburgo;Mert Kömür-Augsburgo;Alexis Claude-Maurice-Augsburgo;Samuel Essende-Augsburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Elvis Rexhbeçaj-Augsburgo;Keven Schlotterbeck-Augsburgo;Fredrik Jensen-Augsburgo;Phillip Tietz-Augsburgo;Nediljko Labrović-Augsburgo;Noahkai Banks-Augsburgo;Arne Maier-Augsburgo;Henri Koudossou-Augsburgo;Maximilian Bauer-Augsburgo;Robert Gumny-Augsburgo;Steve Mounié-Augsburgo;Ruben Vargas-Augsburgo;Mads Valentin-Augsburgo;Tim Breithaupt-Augsburgo;Arne Engels-Augsburgo;Tomáš Koubek-Augsburgo;Felix Uduokhai-Augsburgo;Iago Amaral Borduchi-Augsburgo;Niklas Dorsch-Augsburgo;Ermedin Demirovic-Augsburgo;Kevin Mbabu-Augsburgo;Sven Michel-Augsburgo;Patric Pfeiffer-Augsburgo;Dion Drena Beljo-Augsburgo;Mërgim Berisha-Augsburgo;Frederik Winther-Augsburgo;David Čolina-Augsburgo;Maurice Malone-Augsburgo;Renato Veiga-Augsburgo;Kelvin Yeboah-Augsburgo;Rafał Gikiewicz-Augsburgo;Julian Baumgartlinger-Augsburgo;Reece Oxford-Augsburgo;Carlos Gruezo-Augsburgo;Florian Niederlechner-Augsburgo;Raphael Framberger-Augsburgo;André Hahn-Augsburgo
2025-02-14;Augsburgo;9;17;17;173;31;RB Leipzig;2;1;11;14;2;4;0.38;0.62;323;0.77;12;12;2;1;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;9;0.04428571428571428;0.16666666666666666;249;0.04819277108433735;655.2631578947369;0.7272727272727273;21.05263157894737;-3;-0.24;-1;1;0;0.034055727554179564;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Augsburgo;9;17;17;173;174;Mainz 05;3;3;9;9;2;6;0.33;0.67;280;0.62;9;12;3;3;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1;0.07444444444444445;0.3333333333333333;174;0.05172413793103448;527.2727272727273;0.3333333333333333;9.09090909090909;0;-0.34;2;0;-3;0.03214285714285714;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Augsburgo;23;17;1;173;18;Stuttgart;1;2;6;12;3;2;0.39;0.61;392;0.77;17;14;1;2;0;0;0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.050833333333333335;0.058823529411764705;302;0.056291390728476824;774.3589743589744;0.0;0.0;-6;-0.21999999999999997;-4;-1;3;0.015306122448979591;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Augsburgo;9;17;6;173;176;St. Pauli;3;1;2;6;1;1;0.56;0.44;524;0.83;18;16;3;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.07333333333333333;0.16666666666666666;435;0.041379310344827586;776.7857142857142;0.5;1.7857142857142856;-4;0.12000000000000005;-2;2;2;0.003816793893129771;0.5;0.56;1.0;0;1;1;0;1;0;1;0;0.5;1.0;0.0019083969465648854;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Augsburgo;9;17;3;173;142;Heidenheim;1;0;11;11;7;6;0.61;0.39;577;0.84;8;9;1;0;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;4;0.035454545454545454;0.125;485;0.016494845360824743;795.0819672131148;0.5454545454545454;9.836065573770492;0;0.21999999999999997;2;1;-1;0.019064124783362217;0.18181818181818182;0.305;3.0;1;1;2;1;0;0;0;1;0.18181818181818182;0.2857142857142857;0.0034662045060658577;5.5;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Augsburgo;9;17;2;173;171;Werder Bremen;2;1;9;20;4;2;0.29;0.71;281;0.67;14;8;2;1;0;0;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.0355;0.14285714285714285;188;0.07446808510638298;648.2758620689656;0.2222222222222222;6.8965517241379315;-11;-0.42;-4;1;6;0.03202846975088968;0.2222222222222222;0.145;1.0;2;0;2;1;0;0;1;0;0.2222222222222222;0.5;0.0071174377224199285;4.5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Augsburgo;9;17;5;173;169;FC Union Berlin;2;1;11;13;5;2;0.45;0.55;416;0.75;9;15;2;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.04230769230769231;0.2222222222222222;312;0.028846153846153848;693.3333333333334;0.36363636363636365;8.88888888888889;-2;-0.10000000000000003;-3;1;-6;0.026442307692307692;0.18181818181818182;0.225;2.0;2;0;2;1;0;0;1;0;0.18181818181818182;0.4;0.004807692307692308;5.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Augsburgo;9;17;1;173;18;Stuttgart;5;1;8;13;2;5;0.42;0.58;417;0.75;11;14;5;1;0;0;3;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;9;0.04461538461538461;0.45454545454545453;313;0.03514376996805112;745.2380952380953;0.375;7.142857142857143;-5;-0.15999999999999998;-6;4;-3;0.019184652278177457;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Augsburgo;9;2;29;173;177;KSV Holstein;4;0;17;8;4;6;0.63;0.37;476;0.84;13;11;4;0;0;0;8;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.04625;0.3076923076923077;400;0.0325;634.9206349206349;0.47058823529411764;12.698412698412698;9;0.26;5;4;2;0.03571428571428571;0.058823529411764705;0.63;8.0;1;0;1;0;0;1;1;0;0.058823529411764705;0.25;0.0021008403361344537;17.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Augsburgo;9;30;17;173;6;Leverkusen;3;0;8;14;4;3;0.34;0.66;367;0.79;12;5;3;0;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.047142857142857146;0.25;290;0.041379310344827586;852.9411764705882;0.5;11.76470588235294;-6;-0.32;-5;3;7;0.021798365122615803;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
