Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kevin Müller-Heidenheim;Omar Haktab Traoré-Heidenheim;Patrick Mainka-Heidenheim;Benedikt Gimber-Heidenheim;Tim Siersleben-Heidenheim;Frans Krätzig-Heidenheim;Marnon Busch-Heidenheim;Jan Schöppner-Heidenheim;Niklas Dorsch-Heidenheim;Adrian Beck-Heidenheim;Marvin Pieringer-Heidenheim;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sirlord Conteh-Heidenheim;Budu Zivzivadze-Heidenheim;Mathias Honsak-Heidenheim;Luca Kerber-Heidenheim;Paul Wanner-Heidenheim;Jonas Föhrenbach-Heidenheim;Frank Feller-Heidenheim;Thomas Keller-Heidenheim;Julian Niehues-Heidenheim;Norman Theuerkauf-Heidenheim;Léo Scienza-Heidenheim;Mikkel Kaufmann-Heidenheim;Vitus Eicher-Heidenheim;Lennard Maloney-Heidenheim;Maximilian Breunig-Heidenheim;Denis Thomalla-Heidenheim;Stefan Schimmer-Heidenheim;Eren Dinkci-Heidenheim;Kevin Sessa-Heidenheim;Jan-Niklas Beste-Heidenheim;Tim Kleindienst-Heidenheim;Nikola Dovedan-Heidenheim;Florian Pick-Heidenheim;Dženis Burnić-Heidenheim;Christian Kühlwetter-Heidenheim;Marvin Rittmüller-Heidenheim;Andreas Geipl-Heidenheim
2025-02-20;Heidenheim;21;17;3;142;158;København;3;3;22;15;7;6;0.59;0.41;687;0.8;18;19;3;3;0;0;2;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;5;0.0273333333333333;0.1666666666666666;550;0.0327272727272727;932.2033898305084;0.0909090909090909;3.389830508474577;7;0.18;-3;0;-1;0.032023289665211;0.0454545454545454;0.59;2.0;0;1;1;0;0;1;0;1;0.0454545454545454;0.1428571428571428;0.0014556040756914;22.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Heidenheim;9;17;29;142;174;Mainz 05;1;3;12;6;3;5;0.57;0.43;479;0.78;9;16;1;3;0;0;8;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.0716666666666666;0.1111111111111111;374;0.0240641711229946;656.140350877193;0.6666666666666666;14.035087719298248;6;0.1399999999999999;4;-2;-7;0.0250521920668058;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-13;Heidenheim;21;7;3;142;158;København;1;3;11;15;7;7;0.39;0.61;377;0.75;15;17;1;3;0;0;4;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;5;0.0406666666666666;0.0666666666666666;283;0.0530035335689045;725.6410256410256;0.3636363636363636;10.256410256410255;-4;-0.2199999999999999;-1;-2;-2;0.0291777188328912;0.1818181818181818;0.195;2.0;0;2;2;1;0;0;1;0;0.1818181818181818;0.2857142857142857;0.0053050397877984;5.5;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Heidenheim;9;3;3;142;170;Friburgo;1;3;11;9;5;3;0.46;0.54;456;0.81;8;11;1;3;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;6;0.06;0.125;369;0.021680216802168;802.1739130434783;0.2727272727272727;6.521739130434782;2;-0.08;-3;-2;-3;0.0241228070175438;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Heidenheim;9;3;31;142;11;Dortmund;1;4;11;16;5;5;0.35;0.65;328;0.72;11;9;1;4;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;5;0.040625;0.0909090909090909;236;0.0466101694915254;674.2857142857143;0.3636363636363636;11.428571428571429;-5;-0.3;-1;-3;2;0.0335365853658536;0.0909090909090909;0.35;4.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.2;0.0030487804878048;11.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Heidenheim;9;3;17;142;173;Augsburgo;0;1;11;11;6;7;0.39;0.61;372;0.79;9;8;0;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;6;0.0554545454545454;0.0;294;0.0306122448979591;753.8461538461538;0.3636363636363636;10.256410256410255;0;-0.2199999999999999;-2;-1;1;0.0295698924731182;0.0909090909090909;0.39;4.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.1666666666666666;0.0026881720430107;11.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Heidenheim;9;3;6;142;176;St. Pauli;1;2;8;7;1;4;0.6;0.4;554;0.8;11;18;1;2;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0571428571428571;0.0909090909090909;443;0.0248306997742663;738.3333333333334;0.5;6.666666666666667;1;0.1999999999999999;0;-1;-7;0.0144404332129963;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Heidenheim;9;1;30;142;171;Werder Bremen;3;6;14;12;5;5;0.48;0.52;426;0.77;15;10;3;6;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0433333333333333;0.2;328;0.0457317073170731;683.3333333333334;0.1428571428571428;4.166666666666667;2;-0.04;-2;-3;5;0.0328638497652582;0.2142857142857142;0.16;0.6666666666666666;1;2;3;0;1;0;1;0;0.2142857142857142;0.6;0.0070422535211267;4.666666666666667;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Heidenheim;9;3;1;142;169;FC Union Berlin;0;2;16;10;9;6;0.59;0.41;580;0.85;8;10;0;1;0;1;5;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;4;0.0409999999999999;0.0;493;0.0162271805273833;835.5932203389831;0.3125;8.474576271186441;6;0.18;1;-2;-2;0.0275862068965517;0.125;0.295;2.5;1;1;2;1;0;0;0;1;0.125;0.2222222222222222;0.0034482758620689;8.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Heidenheim;9;14;2;142;178;Bochum;7;2;10;14;2;4;0.48;0.52;399;0.71;15;18;7;2;0;0;2;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;5;0.0371428571428571;0.4666666666666667;283;0.0530035335689045;589.5833333333334;0.2;4.166666666666667;-4;-0.04;-3;5;-3;0.025062656641604;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
