Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matěj Kovář-Leverkusen;Edmond Tapsoba-Leverkusen;Jonathan Tah-Leverkusen;Piero Hincapié-Leverkusen;Jeremie Frimpong-Leverkusen;Aleix García Serrano-Leverkusen;Granit Xhaka-Leverkusen;Alejandro Grimaldo-Leverkusen;Florian Wirtz-Leverkusen;Emiliano Buendía-Leverkusen;Patrik Schick-Leverkusen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arthur Augusto-Leverkusen;Nathan Tella-Leverkusen;Robert Andrich-Leverkusen;Lukáš Hrádecký-Leverkusen;Exequiel Palacios-Leverkusen;Victor Boniface-Leverkusen;Amine Adli-Leverkusen;Nordi Mukiele-Leverkusen;Mario Hermoso Canseco-Leverkusen;Martin Terrier-Leverkusen;Jonas Hofmann-Leverkusen;Jeanuël Belocian-Leverkusen;Odilon Kossounou-Leverkusen;Josip Stanišić-Leverkusen;Adam Hložek-Leverkusen;Borja Iglesias-Leverkusen;Nadiem Amiri-Leverkusen;Niklas Lomb-Leverkusen;Gustavo Puerta-Leverkusen;Mitchel Bakker-Leverkusen;Sardar Azmoun-Leverkusen;Moussa Diaby-Leverkusen;Kerem Demirbay-Leverkusen
2025-03-05;Leverkusen;0;1;3;6;23;Bayern;3;2;3;17;1;6;0.35;0.65;309;0.75;9;13;2;2;1;0;1;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5;0.03823529411764706;0.3333333333333333;232;0.03879310344827586;662.8571428571429;0.3333333333333333;2.857142857142857;-14;-0.30000000000000004;-4;1;-4;0.009708737864077669;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Leverkusen;9;17;30;6;87;Frankfurt;1;1;20;7;9;3;0.6;0.4;607;0.85;7;9;1;1;0;0;6;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.05714285714285715;0.14285714285714285;516;0.013565891472868217;860.0;0.3;10.0;13;0.19999999999999996;4;0;-2;0.032948929159802305;0.2;0.15;1.5;3;1;4;1;0;0;1;0;0.2;0.4444444444444444;0.006589785831960461;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Leverkusen;9;17;2;6;177;KSV Holstein;1;4;18;4;8;3;0.62;0.38;517;0.81;10;11;1;4;0;0;11;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;5;0.095;0.1;419;0.02386634844868735;675.8064516129032;0.6111111111111112;17.741935483870968;14;0.24;6;-3;-1;0.03481624758220503;0.1111111111111111;0.31;5.5;2;0;2;1;0;0;1;0;0.1111111111111111;0.25;0.0038684719535783366;9.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Leverkusen;9;1;3;6;23;Bayern;2;3;15;2;3;0;0.56;0.44;536;0.82;16;13;2;3;0;0;6;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0;0.22;0.125;440;0.03636363636363636;785.7142857142857;0.4;10.714285714285714;13;0.12000000000000005;6;-1;3;0.027985074626865673;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Leverkusen;9;2;14;6;175;Wolfsburg;3;2;15;13;1;8;0.6;0.4;517;0.85;8;7;3;2;0;0;9;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3;0.03076923076923077;0.375;439;0.018223234624145785;731.6666666666667;0.6;15.0;2;0.19999999999999996;6;1;1;0.029013539651837523;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Leverkusen;23;17;29;6;190;Colonia;3;3;23;5;7;4;0.79;0.21;1050;0.9;9;17;3;3;0;0;9;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1;0.041999999999999996;0.3333333333333333;945;0.009523809523809525;1196.2025316455695;0.391304347826087;11.39240506329114;18;0.5800000000000001;8;0;-8;0.021904761904761906;0.13043478260869565;0.26333333333333336;3.0;0;3;3;1;0;0;0;1;0.13043478260869565;0.42857142857142855;0.002857142857142857;7.666666666666667;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Leverkusen;9;17;17;6;97;Hoffenheim;3;3;9;16;5;7;0.48;0.52;508;0.86;14;7;2;3;1;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.0325;0.21428571428571427;437;0.032036613272311214;910.4166666666667;0.3333333333333333;6.25;-7;-0.040000000000000036;0;0;7;0.017716535433070866;0.3333333333333333;0.16;1.0;2;1;3;1;0;0;0;1;0.3333333333333333;0.6;0.005905511811023622;3.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Leverkusen;0;17;2;6;21;Sparta Praha;2;2;26;12;10;1;0.71;0.29;760;0.93;5;6;2;2;0;0;10;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.024166666666666666;0.4;707;0.007072135785007072;995.774647887324;0.38461538461538464;14.084507042253522;14;0.42;8;0;-1;0.034210526315789476;0.07692307692307693;0.355;5.0;1;1;2;1;0;0;0;1;0.07692307692307693;0.2;0.002631578947368421;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Leverkusen;9;3;1;6;31;RB Leipzig;2;2;13;7;7;3;0.34;0.66;320;0.77;6;12;2;2;0;0;3;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.09428571428571429;0.3333333333333333;246;0.024390243902439025;723.5294117647059;0.23076923076923078;8.823529411764705;6;-0.32;-4;0;-6;0.040625;0.15384615384615385;0.17;1.5;2;0;2;0;1;0;1;0;0.15384615384615385;0.2857142857142857;0.00625;6.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Leverkusen;0;3;9;6;27;Atlético Madrid;3;3;13;5;4;2;0.7;0.3;710;0.92;14;7;2;2;1;1;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3;0.06;0.21428571428571427;653;0.021439509954058193;932.8571428571429;0.3076923076923077;5.714285714285714;8;0.39999999999999997;1;0;7;0.018309859154929577;0.07692307692307693;0.7;4.0;1;0;1;0;0;1;1;0;0.07692307692307693;0.25;0.0014084507042253522;13.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
