Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Vitor Eudes-Fluminense;Claudio Rodrigues Gomes-Fluminense;Manoel Messias Silva Carvalho-Fluminense;Thiago dos Santos-Fluminense;Renê Rodrigues Martins-Fluminense;Hércules Pereira do Nascimento-Fluminense;Facundo Bernal-Fluminense;Kevin Serna-Fluminense;Rubén Lezcano-Fluminense;Joaquín Lavega-Fluminense;Paulo Baya-Fluminense;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Fábio Deivson Lopes Maciel-Fluminense;Samuel Xavier-Fluminense;Ignácio da Silva Oliveira-Fluminense;Juan Pablo Freytes-Fluminense;Gabriel Fuentes-Fluminense;Matheus Martinelli-Fluminense;Jhon Arias-Fluminense;Paulo Henrique Ganso-Fluminense;Agustín Canobbio-Fluminense;Everaldo Stum-Fluminense;Gustavo Nonato Santana-Fluminense;Marcos da Silva-Fluminense;Germán Cano-Fluminense;Júlio César Lima Fidelis-Fluminense;Vagno de Sousa Brito Júnior-Fluminense;Vinícius Moreira de Lima-Fluminense;Thiago Silva-Fluminense;Leonardo de Oliveira Jance-Fluminense;Otávio-Fluminense;Diogo Barbosa-Fluminense;Kauã Elias-Fluminense;Victor Hugo-Fluminense;Marquinhos-Fluminense;Marcelo Vieira-Fluminense;Antônio Carlos Cunha Capocasali Júnior-Fluminense;Felipe Melo-Fluminense;André Trindade da Costa Neto-Fluminense;Esquerdinha-Fluminense;Alexsander Christian Gomes da Costa-Fluminense;Isaac-Fluminense;John Kennedy-Fluminense;Marlon Santos-Fluminense;Gabriel Appelt Pires-Fluminense;David Terans-Fluminense;Renato Augusto-Fluminense;Douglas Costa-Fluminense;Felipe Andrade-Fluminense;Lelê-Fluminense;Nino-Fluminense;Lucas Justen-Fluminense;David Braz-Fluminense;Leonardo Fernández López-Fluminense;Daniel Sampaio Simões-Fluminense;Yony González-Fluminense;Giovanni Manson-Fluminense;Pedro Rangel-Fluminense;Gabriel Pirani-Fluminense;Alan Carvalho-Fluminense;Vitor Mendes-Fluminense
2025-04-10;Fluminense;-1;3;6;197;-1;Gualberto Villarroel San José;1;1;22;3;11;0;0.64;0.36;617;0.88;12;10;1;1;0;0;3;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1;0.12;0.0833333333333333;543;0.0220994475138121;848.4375;0.1363636363636363;4.6875;19;0.28;2;0;2;0.0356564019448946;0.2272727272727272;0.128;0.6;2;3;5;1;0;0;0;1;0.2272727272727272;0.4545454545454545;0.0081037277147487;4.4;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Fluminense;10;3;3;197;659;Bragantino;1;0;15;17;5;5;0.45;0.55;400;0.85;15;12;1;0;0;0;6;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;6;0.0323529411764705;0.0666666666666666;340;0.0441176470588235;755.5555555555555;0.4;13.333333333333332;-2;-0.1;0;1;3;0.0375;0.1333333333333333;0.225;3.0;1;1;2;1;0;0;0;1;0.1333333333333333;0.4;0.005;7.5;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Fluminense;-1;3;3;197;-1;Once Caldas;2;4;8;20;2;6;0.54;0.46;496;0.86;7;13;2;4;0;0;2;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;12;0.023;0.2857142857142857;427;0.0163934426229508;790.7407407407406;0.25;3.7037037037037033;-12;0.08;-10;-2;-6;0.0161290322580645;0.125;0.54;2.0;1;0;1;1;0;0;1;0;0.125;0.5;0.002016129032258;8.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Fluminense;10;3;4;197;644;Fortaleza;0;1;15;5;1;3;0.71;0.29;675;0.9;5;16;0;1;0;0;5;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;4;0.0579999999999999;0.0;608;0.0082236842105263;856.3380281690141;0.3333333333333333;7.042253521126761;10;0.42;1;-1;-11;0.0222222222222222;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Fluminense;34;3;3;197;214;Flamengo;6;3;7;8;2;1;0.34;0.66;240;0.77;21;19;6;3;0;0;5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;9;0.0825;0.2857142857142857;185;0.1135135135135135;544.1176470588235;0.7142857142857143;14.705882352941176;-1;-0.32;-4;3;2;0.0291666666666666;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Fluminense;34;3;3;197;214;Flamengo;8;1;13;15;4;5;0.45;0.55;378;0.85;17;14;7;1;1;0;7;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;10;0.0366666666666666;0.4705882352941176;321;0.0529595015576324;713.3333333333334;0.5384615384615384;15.555555555555555;-2;-0.1;-3;7;3;0.0343915343915343;0.0769230769230769;0.45;7.0;0;1;1;0;0;1;0;1;0.0769230769230769;0.25;0.0026455026455026;13.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Fluminense;34;3;1;197;-1;Volta Redonda;0;0;3;12;0;3;0.51;0.49;437;0.82;16;10;0;0;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;7;0.0408333333333333;0.0;358;0.0446927374301676;701.9607843137255;0.3333333333333333;1.96078431372549;-9;0.02;-6;0;6;0.0068649885583524;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Fluminense;34;3;3;197;-1;Volta Redonda;3;3;19;8;8;2;0.61;0.39;593;0.88;16;8;3;3;0;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2;0.04875;0.1875;522;0.0306513409961685;855.7377049180328;0.1052631578947368;3.278688524590164;11;0.2199999999999999;0;0;8;0.0320404721753794;0.2105263157894736;0.1525;0.5;3;1;4;1;0;0;0;1;0.2105263157894736;0.5;0.0067453625632377;4.75;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Fluminense;10;3;3;197;217;Palmeiras;5;2;7;11;5;3;0.42;0.58;320;0.69;11;14;5;2;0;0;2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;11;0.0527272727272727;0.4545454545454545;221;0.0497737556561085;526.1904761904763;0.2857142857142857;4.761904761904762;-4;-0.1599999999999999;-9;3;-3;0.021875;0.1428571428571428;0.42;2.0;1;0;1;1;0;0;1;0;0.1428571428571428;0.2;0.003125;7.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-05;Fluminense;10;3;3;197;656;Cuiabá;3;4;24;3;6;3;0.59;0.41;502;0.88;14;9;3;4;0;0;10;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3;0.1366666666666666;0.2142857142857142;442;0.0316742081447963;749.1525423728814;0.4166666666666667;16.949152542372882;21;0.18;7;-1;5;0.047808764940239;0.0416666666666666;0.59;10.0;0;1;1;1;0;0;0;1;0.0416666666666666;0.1666666666666666;0.0019920318725099;24.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Fluminense;10;3;3;197;649;Paranaense;3;2;15;16;4;4;0.71;0.29;613;0.88;10;10;2;1;1;1;8;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3;0.018125;0.3;539;0.0185528756957328;759.1549295774648;0.5333333333333333;11.267605633802818;-1;0.42;5;1;0;0.0244698205546492;0.0666666666666666;0.71;8.0;0;1;1;0;1;0;1;0;0.0666666666666666;0.25;0.0016313213703099;15.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-26;Fluminense;10;3;28;197;778;Criciúma;1;2;19;10;3;3;0.65;0.35;592;0.88;6;15;1;2;0;0;9;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4;0.0349999999999999;0.1666666666666666;521;0.0115163147792706;801.5384615384615;0.4736842105263157;13.846153846153843;9;0.3;5;-1;-9;0.0320945945945945;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-22;Fluminense;10;3;2;197;644;Fortaleza;1;3;10;11;5;5;0.75;0.25;679;0.9;9;11;1;3;0;0;8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0227272727272727;0.1111111111111111;611;0.0147299509001636;814.6666666666666;0.8;10.666666666666666;-1;0.5;5;-2;-2;0.0147275405007363;0.2;0.375;4.0;1;1;2;0;1;0;0;1;0.2;0.4;0.0029455081001472;5.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-08;Fluminense;10;3;3;197;641;Internacional;1;3;9;17;2;7;0.48;0.52;455;0.81;10;11;1;3;0;0;4;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4;0.0305882352941176;0.1;369;0.02710027100271;768.75;0.4444444444444444;8.333333333333334;-8;-0.04;0;-2;-1;0.0197802197802197;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-01;Fluminense;10;3;3;197;206;Grêmio;7;4;18;7;7;4;0.63;0.37;562;0.87;15;14;6;4;1;0;8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;0.0528571428571428;0.4666666666666667;489;0.0306748466257668;776.1904761904761;0.4444444444444444;12.698412698412698;11;0.26;6;3;1;0.0320284697508896;0.1111111111111111;0.315;4.0;1;1;2;0;1;0;0;1;0.1111111111111111;0.2857142857142857;0.0035587188612099;9.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
