Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Jonas Omlin-Mönchengladbach;Joe Scally-Mönchengladbach;Ko Itakura-Mönchengladbach;Fabio Chiarodia-Mönchengladbach;Lukas Ullrich-Mönchengladbach;Rocco Reitz-Mönchengladbach;Julian Weigl-Mönchengladbach;Franck Honorat-Mönchengladbach;Kevin Stöger-Mönchengladbach;Robin Hack-Mönchengladbach;Tim Kleindienst-Mönchengladbach;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Tomáš Čvančara-Mönchengladbach;Alassane Pléa-Mönchengladbach;Nico Elvedi-Mönchengladbach;Tiago Pereira Cardoso-Mönchengladbach;Luca Netz-Mönchengladbach;Florian Neuhaus-Mönchengladbach;Philipp Sander-Mönchengladbach;Nathan N'Goumou-Mönchengladbach;Stefan Lainer-Mönchengladbach;Marvin Friedrich-Mönchengladbach;Moritz Nicolas-Mönchengladbach;Manu Koné-Mönchengladbach;Jordan Siebatcheu-Mönchengladbach;Maximilian Wöber-Mönchengladbach;Christoph Kramer-Mönchengladbach;Ramy Bensebaini-Mönchengladbach;Jonas Hofmann-Mönchengladbach;Lars Stindl-Mönchengladbach;Marcus Thuram-Mönchengladbach;Jan Olschowsky-Mönchengladbach;Hannes Wolf-Mönchengladbach;Tobias Sippel-Mönchengladbach;Tony Jantschke-Mönchengladbach;Yann Sommer-Mönchengladbach
2025-02-15;Mönchengladbach;9;3;3;172;169;FC Union Berlin;1;0;9;18;5;3;0.49;0.51;465;0.83;8;9;1;0;0;0;5;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.028333333333333335;0.125;386;0.02072538860103627;787.7551020408164;0.5555555555555556;10.204081632653061;-9;-0.020000000000000018;1;1;-1;0.01935483870967742;0.2222222222222222;0.245;2.5;2;0;2;1;0;0;1;0;0.2222222222222222;0.4;0.004301075268817204;4.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Mönchengladbach;9;3;1;172;87;Frankfurt;3;3;8;15;3;7;0.53;0.47;522;0.83;10;9;3;3;0;0;6;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1;0.03133333333333333;0.3;433;0.023094688221709007;816.9811320754717;0.75;11.320754716981131;-7;0.06000000000000005;5;0;1;0.01532567049808429;0.125;0.53;6.0;1;0;1;0;1;0;0;1;0.125;0.3333333333333333;0.0019157088122605363;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Mönchengladbach;9;3;1;172;18;Stuttgart;2;2;13;10;6;3;0.45;0.55;462;0.79;11;11;2;2;0;0;0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.05500000000000001;0.18181818181818182;365;0.030136986301369864;811.1111111111111;0.0;0.0;3;-0.10000000000000003;-2;0;0;0.02813852813852814;0.15384615384615385;0.225;0.0;1;1;2;1;0;0;1;0;0.15384615384615385;0.3333333333333333;0.004329004329004329;6.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Mönchengladbach;9;3;30;172;178;Bochum;1;3;16;10;6;4;0.58;0.42;485;0.83;6;15;1;3;0;0;8;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.041999999999999996;0.16666666666666666;403;0.01488833746898263;694.8275862068966;0.5;13.793103448275863;6;0.15999999999999998;1;-2;-9;0.032989690721649485;0.1875;0.19333333333333333;2.6666666666666665;1;2;3;1;0;0;0;1;0.1875;0.5;0.006185567010309278;5.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Mönchengladbach;9;5;3;172;6;Leverkusen;2;0;7;10;4;5;0.45;0.55;505;0.87;10;12;2;0;0;0;6;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.05500000000000001;0.2;439;0.022779043280182234;975.5555555555555;0.8571428571428571;13.333333333333332;-3;-0.10000000000000003;-1;2;-2;0.013861386138613862;0.14285714285714285;0.45;6.0;0;1;1;0;0;1;1;0;0.14285714285714285;0.25;0.0019801980198019802;7.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Mönchengladbach;9;3;1;172;175;Wolfsburg;0;1;9;16;5;5;0.66;0.34;647;0.88;7;10;0;1;0;0;7;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;4;0.02125;0.0;569;0.012302284710017574;862.1212121212121;0.7777777777777778;10.606060606060606;-7;0.32;3;-1;-3;0.013910355486862442;0.1111111111111111;0.66;7.0;0;1;1;0;0;1;1;0;0.1111111111111111;0.2;0.0015455950540958269;9.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Mönchengladbach;9;3;3;172;23;Bayern;3;1;5;23;0;10;0.32;0.68;327;0.76;10;7;3;1;0;0;4;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;10;0.02956521739130435;0.3;249;0.040160642570281124;778.125;0.8;12.5;-18;-0.36000000000000004;-6;2;3;0.01529051987767584;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Mönchengladbach;9;3;1;172;97;Hoffenheim;0;0;5;18;3;8;0.35;0.65;373;0.79;6;14;0;0;0;0;4;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;8;0.036111111111111115;0.0;295;0.020338983050847456;842.8571428571429;0.8;11.428571428571429;-13;-0.30000000000000004;-4;0;-8;0.013404825737265416;0.4;0.175;2.0;1;1;2;1;0;0;1;0;0.4;0.6666666666666666;0.005361930294906166;2.5;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Mönchengladbach;9;3;2;172;177;KSV Holstein;1;1;17;12;6;3;0.57;0.43;526;0.85;10;14;1;1;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;2;0.035833333333333335;0.1;447;0.02237136465324385;784.2105263157896;0.29411764705882354;8.771929824561404;5;0.13999999999999996;3;0;-4;0.03231939163498099;0.23529411764705882;0.1425;1.25;3;1;4;1;0;0;0;1;0.23529411764705882;0.6666666666666666;0.0076045627376425855;4.25;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Mönchengladbach;9;3;3;172;11;Dortmund;2;2;9;16;3;3;0.39;0.61;344;0.79;16;11;1;2;1;0;7;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.038125;0.125;272;0.058823529411764705;697.4358974358975;0.7777777777777778;17.94871794871795;-7;-0.21999999999999997;3;0;5;0.02616279069767442;0.1111111111111111;0.39;7.0;0;1;1;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.0029069767441860465;9.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
