Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dean Henderson-Crystal Palace;Chris Richards-Crystal Palace;Maxence Lacroix-Crystal Palace;Marc Guéhi-Crystal Palace;Daniel Muñoz-Crystal Palace;Adam Wharton-Crystal Palace;Will Hughes-Crystal Palace;Tyrick Mitchell-Crystal Palace;Ismaïla Sarr-Crystal Palace;Eberechi Eze-Crystal Palace;Jean-Philippe Mateta-Crystal Palace;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jefferson Lerma-Crystal Palace;Daichi Kamada-Crystal Palace;Nathaniel Clyne-Crystal Palace;Caleb Kporha-Crystal Palace;Romain Esse-Crystal Palace;Eddie Nketiah-Crystal Palace;Matt Turner-Crystal Palace;Ben Chilwell-Crystal Palace;Justin Devenny-Crystal Palace;Chadi Riad-Crystal Palace;Cheick Doucouré-Crystal Palace;Trevoh Chalobah-Crystal Palace;Odsonne Edouard-Crystal Palace;Joachim Andersen-Crystal Palace;Jeff Schlupp-Crystal Palace;Jordan Ayew-Crystal Palace;Sam Johnstone-Crystal Palace;Jesurun Rak-Sakyi-Crystal Palace;Rob Holding-Crystal Palace;Joel Ward-Crystal Palace;Michael Olise-Crystal Palace;Matheus França de Oliveira-Crystal Palace;Jaïro Riedewald-Crystal Palace;James Tomkins-Crystal Palace;Naouirou Ahamada-Crystal Palace;Wilfried Zaha-Crystal Palace;Albert Sambi Lokonga-Crystal Palace;Luka Milivojević-Crystal Palace;Vicente Guaita-Crystal Palace;Joe Whitworth-Crystal Palace
2025-02-15;Crystal Palace;3;17;3;65;64;Everton;0;1;17;11;6;6;0.59;0.41;520;0.77;9;12;0;1;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2;0.0372727272727272;0.0;400;0.0225;677.9661016949153;0.3529411764705882;10.16949152542373;6;0.18;4;-1;-3;0.0326923076923076;0.0588235294117647;0.59;6.0;0;1;1;0;0;1;0;1;0.0588235294117647;0.1666666666666666;0.0019230769230769;17.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Crystal Palace;3;17;6;65;62;Manchester United;1;3;11;17;3;2;0.33;0.67;288;0.65;13;12;1;3;0;0;0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;11;0.0394117647058823;0.0769230769230769;187;0.0695187165775401;566.6666666666666;0.0;0.0;-6;-0.34;-11;-2;1;0.0381944444444444;0.1818181818181818;0.165;0.0;0;2;2;1;0;0;1;0;0.1818181818181818;0.6666666666666666;0.0069444444444444;5.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Crystal Palace;3;17;3;65;57;Brentford;2;2;16;12;5;6;0.47;0.53;315;0.7;8;11;2;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.0441666666666666;0.25;220;0.0363636363636363;468.0851063829787;0.25;8.51063829787234;4;-0.06;-3;0;-3;0.0507936507936507;0.0625;0.47;4.0;0;1;1;0;0;1;0;1;0.0625;0.2;0.0031746031746031;16.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Crystal Palace;3;17;17;65;61;West Ham;0;2;12;7;7;0;0.46;0.54;474;0.81;10;13;0;1;0;1;4;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2;0.0771428571428571;0.0;384;0.0260416666666666;834.7826086956521;0.3333333333333333;8.695652173913043;5;-0.08;2;-2;-3;0.0253164556962025;0.1666666666666666;0.23;2.0;0;2;2;1;0;0;1;0;0.1666666666666666;0.2857142857142857;0.0042194092827004;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Crystal Palace;3;17;3;65;63;Leicester City;0;0;9;21;4;4;0.42;0.58;456;0.78;6;7;0;0;0;0;3;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.0276190476190476;0.0;356;0.0168539325842696;847.6190476190477;0.3333333333333333;7.142857142857143;-12;-0.1599999999999999;-1;0;-1;0.0197368421052631;0.2222222222222222;0.21;1.5;0;2;2;1;0;0;1;0;0.2222222222222222;0.5;0.0043859649122807;4.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Crystal Palace;15;17;2;65;252;Stockport County;1;3;13;6;3;4;0.75;0.25;682;0.86;5;14;1;3;0;0;7;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2;0.0416666666666666;0.2;587;0.0085178875638841;782.6666666666666;0.5384615384615384;9.333333333333334;7;0.5;5;-2;-9;0.0190615835777126;0.0769230769230769;0.75;7.0;1;0;1;1;0;0;0;1;0.0769230769230769;0.3333333333333333;0.001466275659824;13.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Crystal Palace;3;17;3;65;53;Chelsea;0;2;13;15;6;1;0.38;0.62;345;0.75;9;12;0;2;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;6;0.0413333333333333;0.0;259;0.0347490347490347;681.578947368421;0.4615384615384615;15.789473684210526;-2;-0.24;0;-2;-3;0.0376811594202898;0.0769230769230769;0.38;6.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.1666666666666666;0.0028985507246376;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-29;Crystal Palace;3;17;17;65;68;Southampton;2;3;19;7;10;3;0.46;0.54;386;0.77;18;19;2;3;0;0;8;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;7;0.0771428571428571;0.1111111111111111;297;0.0606060606060606;645.6521739130435;0.4210526315789473;17.391304347826086;12;-0.08;1;-1;-1;0.0492227979274611;0.1052631578947368;0.23;4.0;1;1;2;1;0;0;0;1;0.1052631578947368;0.2;0.005181347150259;9.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Crystal Palace;3;17;3;65;59;Bournemouth;2;2;10;18;4;4;0.47;0.53;430;0.77;12;13;2;2;0;0;2;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0294444444444444;0.1666666666666666;331;0.0362537764350453;704.2553191489362;0.2;4.25531914893617;-8;-0.06;-3;0;-1;0.0232558139534883;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Crystal Palace;3;17;0;65;9;Arsenal;2;2;15;14;6;6;0.41;0.59;392;0.81;9;8;2;2;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.0421428571428571;0.2222222222222222;318;0.0283018867924528;775.609756097561;0.2;7.317073170731708;1;-0.18;0;0;1;0.0382653061224489;0.0666666666666666;0.41;3.0;1;0;1;0;0;1;0;1;0.0666666666666666;0.1666666666666666;0.0025510204081632;15.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
