Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Walter Leandro Capeloza Artune-Mirassol;Lucas Ramon-Mirassol;João Victor-Mirassol;Jemmes-Mirassol;Reinaldo Manoel da Silva-Mirassol;Neto-Mirassol;Daniel de Oliveira Sertanejo-Mirassol;Gabriel Santana Pinto-Mirassol;Fabrício Daniel de Souza-Mirassol;Cristian Renato-Mirassol;Edson Carioca-Mirassol;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Alex Santana-Mirassol;José Aldo-Mirassol;Yago Felipe da Costa Rocha-Mirassol;Negueba-Mirassol;Iury Lírio Freitas de Castilho-Mirassol;Daniel Borges-Mirassol;Clayson Henrique da Silva Vieira-Mirassol;Everton Maceió-Mirassol;Chico Kim-Mirassol;Alan Empereur-Mirassol;David Braz-Mirassol;José Carlos Cracco Neto-Mirassol;Guilherme Pato-Mirassol;Diego Gonçalves-Mirassol;Matheus Alvarenga de Oliveira-Mirassol;Luiz Otávio da Silva Santos-Mirassol;Fernandinho-Mirassol;Dellatorre-Mirassol;Lucas Gazal-Mirassol;Léo Gamalho-Mirassol;Zé Mário-Mirassol;Isaque-Mirassol;Rodrigo Andrade-Mirassol;Vanderlei Farias da Silva-Mirassol;Alex da Silva-Mirassol;Warley Leandro da Silva-Mirassol;Quirino-Mirassol;Artur Sérgio Batista de Souza-Mirassol;Wanderson Santos Pereira-Mirassol;Yuri Oliveira Lima-Mirassol;Ronald dos Santos Lopes-Mirassol;Marcelo Correa-Mirassol;Paulinho-Mirassol;Rodrigo Ferreira-Mirassol;Wesley Santos Silva-Mirassol;Mário Sérgio Pereira Júnior-Mirassol;Rodrigo Sam-Mirassol;Heitor Rodrigues da Fonseca-Mirassol;Thalisson Kelven-Mirassol;Manoel-Mirassol;José Roberto Assunção de Araújo Filho-Mirassol;Guilherme da Trindade Dubas-Mirassol;Leandro Vilela-Mirassol;Julimar-Mirassol;Fernando Camilo Farias-Mirassol;Luiz Flávio Silverio Silva-Mirassol;Reinaldo Kauan Bento dos Santos-Mirassol;Ilson Cedric Borges de Accacio Lima-Mirassol;Silvio José Cardoso Reis Junior-Mirassol;Reniê-Mirassol;Arnaldo Manoel de Almeida-Mirassol;Luiz Gustavo Tavares Conde-Mirassol;Cesar-Mirassol;Zé Mateus-Mirassol;Everton Bala-Mirassol;Darley Ramon Torres-Mirassol;Rayan Poltronieri Pereira-Mirassol;Anderson Ferreira da Silva-Mirassol;Luís Felipe Oyama-Mirassol;Fabinho-Mirassol;Zeca-Mirassol;Lucão-Mirassol;Du Fernandes-Mirassol;Ivan Aparecido Martins-Mirassol;Claudinho-Mirassol
2025-02-17;Mirassol;27;3;6;670;671;Novorizontino;2;5;8;17;4;7;0.44;0.56;332;0.74;10;17;2;5;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.0329411764705882;0.2;246;0.040650406504065;559.0909090909091;0.25;4.545454545454546;-9;-0.12;-2;-3;-7;0.0240963855421686;0.125;0.44;2.0;1;0;1;0;0;1;1;0;0.125;0.25;0.003012048192771;8.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-12;Mirassol;27;3;9;670;666;Ponte Preta;0;3;11;12;3;4;0.6;0.4;427;0.85;14;19;0;3;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3;0.0333333333333333;0.0;363;0.0385674931129476;605.0;0.4545454545454545;8.333333333333334;-1;0.1999999999999999;2;-3;-5;0.0257611241217798;0.0909090909090909;0.6;5.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.3333333333333333;0.0023419203747072;11.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Mirassol;27;3;1;670;-1;Esporte Clube Noroeste;1;1;19;5;5;1;0.63;0.37;491;0.86;8;9;1;1;0;0;9;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3;0.074;0.125;422;0.0189573459715639;669.8412698412699;0.4736842105263157;14.285714285714286;14;0.26;6;0;-1;0.0386965376782077;0.0526315789473684;0.63;9.0;0;1;1;0;1;0;0;1;0.0526315789473684;0.2;0.0020366598778004;19.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Mirassol;27;3;3;670;201;São Paulo;1;5;6;16;1;7;0.43;0.57;418;0.85;11;17;1;5;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.035625;0.0909090909090909;355;0.0309859154929577;825.5813953488372;0.5;6.976744186046512;-10;-0.1399999999999999;-1;-4;-6;0.0143540669856459;0.1666666666666666;0.43;3.0;1;0;1;0;0;1;1;0;0.1666666666666666;1.0;0.0023923444976076;6.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Mirassol;27;3;6;670;-1;Associação Esportiva Velo Clube Rioclarense;2;1;7;22;3;7;0.46;0.54;368;0.77;9;8;2;1;0;0;6;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9;0.0245454545454545;0.2222222222222222;283;0.0318021201413427;615.2173913043478;0.8571428571428571;13.043478260869565;-15;-0.08;-3;1;1;0.0190217391304347;0.1428571428571428;0.46;6.0;0;1;1;1;0;0;1;0;0.1428571428571428;0.3333333333333333;0.0027173913043478;7.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Mirassol;27;3;0;670;668;Guarani;1;0;10;10;4;5;0.54;0.46;443;0.83;18;12;1;0;0;0;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.046;0.0555555555555555;368;0.0489130434782608;681.4814814814814;0.3;5.555555555555555;0;0.08;-1;1;6;0.0225733634311512;0.3;0.18;1.0;2;1;3;1;0;0;0;1;0.3;0.75;0.0067720090293453;3.333333333333333;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Mirassol;27;3;0;670;663;Portuguesa;2;3;14;10;4;4;0.46;0.54;354;0.86;13;13;2;3;0;0;8;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3;0.054;0.1538461538461538;304;0.0427631578947368;660.8695652173913;0.5714285714285714;17.391304347826086;4;-0.08;5;-1;0;0.03954802259887;0.1428571428571428;0.23;4.0;1;1;2;1;0;0;0;1;0.1428571428571428;0.5;0.0056497175141242;7.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Mirassol;27;3;9;670;672;São Bernardo;1;1;7;20;2;7;0.53;0.47;453;0.82;4;10;1;1;0;0;6;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;6;0.0235;0.25;371;0.0107816711590296;700.0;0.8571428571428571;11.320754716981131;-13;0.06;0;0;-6;0.0154525386313465;0.2857142857142857;0.265;3.0;1;1;2;1;0;0;1;0;0.2857142857142857;1.0;0.0044150110375275;3.5;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Mirassol;27;3;3;670;667;Água Santa;1;3;21;2;10;0;0.71;0.29;581;0.93;9;5;1;2;0;1;7;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1;0.145;0.1111111111111111;540;0.0166666666666666;760.5633802816902;0.3333333333333333;9.859154929577466;19;0.42;6;-2;4;0.036144578313253;0.2857142857142857;0.1183333333333333;1.1666666666666667;4;2;6;1;0;0;0;1;0.2857142857142857;0.6;0.0103270223752151;3.5;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Mirassol;27;0;3;670;662;Santos;3;3;19;23;9;5;0.54;0.46;394;0.84;13;20;3;3;0;0;9;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;4;0.02;0.2307692307692307;331;0.039274924471299;612.9629629629629;0.4736842105263157;16.666666666666664;-4;0.08;5;0;-7;0.0482233502538071;0.0526315789473684;0.54;9.0;0;1;1;0;0;1;1;0;0.0526315789473684;0.1111111111111111;0.0025380710659898;19.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
