Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Lasse Finn Rieß-Mainz 05;Danny da Costa-Mainz 05;Andreas Hanche-Olsen-Mainz 05;Dominik Kohr-Mainz 05;Anthony Caci-Mainz 05;Kaishu Sano-Mainz 05;Nadiem Amiri-Mainz 05;Phillipp Mwene-Mainz 05;Paul Nebel-Mainz 05;Lee Jae-sung-Mainz 05;Jonathan Burkardt-Mainz 05;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Robin Zentner-Mainz 05;Moritz Jenz-Mainz 05;Nikolas Veratschnig-Mainz 05;Nelson Weiper-Mainz 05;Silvan Widmer-Mainz 05;Stefan Bell-Mainz 05;Armindo Sieb-Mainz 05;Maxim Leitsch-Mainz 05;Gabriel Vidović-Mainz 05;Hong Hyun-seok-Mainz 05;Karim Onisiwo-Mainz 05;Sepp van den Berg-Mainz 05;Leandro Barreiro-Mainz 05;Brajan Gruda-Mainz 05;Edimilson Fernandes-Mainz 05;Ludovic Ajorque-Mainz 05;Josuha Guilavogui-Mainz 05;Tom Krauß-Mainz 05;Merveille Papela-Mainz 05;Jessic Ngankam-Mainz 05;Marco Richter-Mainz 05;Daniel Batz-Mainz 05;Aymen Barkok-Mainz 05;Anton Stach-Mainz 05;Finn Dahmen-Mainz 05;Aarón Martín-Mainz 05;Marcus Ingvartsen-Mainz 05;Alexander Hack-Mainz 05;Angelo Fulgini-Mainz 05;Anderson Lucoqui-Mainz 05;Keanu Kraft-Mainz 05;Marlon Mustapha-Mainz 05;Eniss Shabani-Mainz 05;Moussa Niakhaté-Mainz 05;Daniel Brosinski-Mainz 05;Jean-Paul Boetius-Mainz 05
2025-02-16;Mainz 05;9;29;17;174;142;Heidenheim;3;1;6;12;5;3;0.43;0.57;378;0.72;16;9;3;1;0;0;4;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;8;0.047499999999999994;0.1875;272;0.058823529411764705;632.5581395348837;0.6666666666666666;9.30232558139535;-6;-0.13999999999999996;-4;2;7;0.015873015873015872;0.3333333333333333;0.215;2.0;1;1;2;1;0;0;1;0;0.3333333333333333;0.4;0.005291005291005291;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Mainz 05;9;17;17;174;173;Augsburgo;3;3;9;9;6;2;0.67;0.33;559;0.79;12;9;3;3;0;0;1;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.03666666666666667;0.25;442;0.027149321266968326;659.7014925373134;0.1111111111111111;1.4925373134328357;0;0.34;-2;0;3;0.016100178890876567;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-31;Mainz 05;9;17;2;174;171;Werder Bremen;3;6;13;12;2;5;0.63;0.37;542;0.8;13;14;3;4;0;2;8;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.030833333333333334;0.23076923076923078;434;0.029953917050691243;688.8888888888889;0.6153846153846154;12.698412698412698;1;0.26;5;-3;-1;0.023985239852398525;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Mainz 05;9;17;13;174;18;Stuttgart;4;3;11;10;4;5;0.43;0.57;354;0.71;12;8;4;3;0;0;9;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.056999999999999995;0.3333333333333333;251;0.04780876494023904;583.7209302325582;0.8181818181818182;20.930232558139537;1;-0.13999999999999996;7;1;4;0.031073446327683617;0.18181818181818182;0.215;4.5;1;1;2;1;0;0;0;1;0.18181818181818182;0.5;0.005649717514124294;5.5;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Mainz 05;9;17;17;174;169;FC Union Berlin;2;2;9;12;1;4;0.67;0.33;636;0.81;10;12;2;2;0;0;2;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.0275;0.2;515;0.019417475728155338;768.6567164179104;0.2222222222222222;2.9850746268656714;-3;0.34;0;0;-2;0.014150943396226415;0.1111111111111111;0.67;2.0;1;0;1;0;0;1;1;0;0.1111111111111111;1.0;0.0015723270440251573;9.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Mainz 05;9;17;17;174;6;Leverkusen;3;2;7;20;4;9;0.33;0.67;360;0.77;14;4;3;2;0;0;4;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;8;0.0335;0.21428571428571427;277;0.05054151624548736;839.3939393939394;0.5714285714285714;12.121212121212121;-13;-0.34;-4;1;10;0.019444444444444445;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Mainz 05;9;17;2;174;87;Frankfurt;2;1;9;34;3;9;0.29;0.71;245;0.64;10;10;1;1;1;0;2;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;17;0.02088235294117647;0.2;157;0.06369426751592357;541.3793103448277;0.2222222222222222;6.8965517241379315;-25;-0.42;-15;1;0;0.036734693877551024;0.3333333333333333;0.09666666666666666;0.6666666666666666;2;1;3;1;0;0;1;0;0.3333333333333333;1.0;0.012244897959183673;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Mainz 05;9;17;3;174;23;Bayern;3;2;8;13;4;1;0.31;0.69;292;0.69;21;12;3;2;0;0;3;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.05307692307692307;0.14285714285714285;201;0.1044776119402985;648.3870967741935;0.375;9.67741935483871;-5;-0.37999999999999995;1;1;9;0.0273972602739726;0.25;0.155;1.5;1;1;2;1;0;0;0;1;0.25;0.5;0.00684931506849315;4.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Mainz 05;9;17;1;174;175;Wolfsburg;4;3;12;10;5;5;0.57;0.43;507;0.8;15;10;4;3;0;0;5;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.043;0.26666666666666666;406;0.03694581280788178;712.280701754386;0.4166666666666667;8.771929824561404;2;0.13999999999999996;2;1;5;0.023668639053254437;0.25;0.18999999999999997;1.6666666666666667;2;1;3;0;0;1;1;0;0.25;0.6;0.005917159763313609;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Mainz 05;9;17;3;174;97;Hoffenheim;1;3;18;10;8;2;0.53;0.47;438;0.73;13;12;1;3;0;0;8;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.047;0.07692307692307693;320;0.040625;603.7735849056603;0.4444444444444444;15.094339622641508;8;0.06000000000000005;5;-2;1;0.0410958904109589;0.1111111111111111;0.265;4.0;2;0;2;1;0;0;0;1;0.1111111111111111;0.25;0.0045662100456621;9.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
