Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Weverton-Palmeiras;Agustín Giay-Palmeiras;Gustavo Gómez Portillo-Palmeiras;Bruno Fuchs-Palmeiras;Allan-Palmeiras;Lucas Evangelista Santana de Oliveira-Palmeiras;Emiliano Martínez Toranza-Palmeiras;Vanderlan-Palmeiras;Estêvão Willian-Palmeiras;Vitor Roque-Palmeiras;Facundo Torres-Palmeiras;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Felipe Anderson-Palmeiras;Richard Ríos Montoya-Palmeiras;Joaquín Piquerez-Palmeiras;Luiz Benedetti-Palmeiras;Aníbal Moreno-Palmeiras;Maurício Magalhães Prado-Palmeiras;José Manuel López-Palmeiras;Micael-Palmeiras;Murilo Cerqueira-Palmeiras;Raphael Veiga-Palmeiras;Mayke-Palmeiras;Marcos Rocha-Palmeiras;Kaiky Naves-Palmeiras;Fábio Silva de Freitas-Palmeiras;Luighi-Palmeiras;Thalys-Palmeiras;Marcelo Lomba-Palmeiras;Caio Paulista-Palmeiras;Rômulo-Palmeiras;Vitor Reis-Palmeiras;Ronielson da Silva Barbosa-Palmeiras;Eduardo Pereira Rodrigues-Palmeiras;Zé Rafael-Palmeiras;Lázaro Vinícius-Palmeiras;Gabriel Menino-Palmeiras;Jhonatan dos Santos Rosa-Palmeiras;Luis Guilherme-Palmeiras;Endrick-Palmeiras;Luan Garcia Teixeira-Palmeiras;Gustavo Garcia-Palmeiras;Breno Henrique Vasconcelos Lopes-Palmeiras;Bruno Rodrigues-Palmeiras;Kevin-Palmeiras;Artur Victor Guimarães-Palmeiras;Jailson-Palmeiras
2025-04-03;Palmeiras;-1;6;1;217;-1;Sporting Cristal;3;3;19;14;7;7;0.61;0.39;373;0.83;10;16;3;3;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.027857142857142858;0.3;310;0.03225806451612903;508.1967213114754;0.3157894736842105;9.836065573770492;5;0.21999999999999997;-1;0;-6;0.05093833780160858;0.15789473684210525;0.20333333333333334;2.0;1;2;3;1;0;0;1;0;0.15789473684210525;0.42857142857142855;0.00804289544235925;6.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Palmeiras;10;3;7;217;210;Botafogo;3;3;13;13;3;5;0.59;0.41;485;0.89;18;22;3;3;0;0;2;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2;0.031538461538461536;0.16666666666666666;432;0.041666666666666664;732.2033898305085;0.15384615384615385;3.3898305084745766;0;0.18;0;0;-4;0.026804123711340205;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-27;Palmeiras;27;2;28;217;652;Corinthians;5;7;10;5;3;1;0.6;0.4;394;0.87;12;19;4;5;1;2;10;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.08;0.4166666666666667;343;0.03498542274052478;571.6666666666667;1.0;16.666666666666668;5;0.19999999999999996;7;-2;-7;0.025380710659898477;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Palmeiras;27;3;0;217;652;Corinthians;1;2;23;3;8;1;0.57;0.43;412;0.84;15;8;1;2;0;0;14;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.14333333333333334;0.06666666666666667;346;0.04335260115606936;607.0175438596492;0.6086956521739131;24.56140350877193;20;0.13999999999999996;11;-1;7;0.055825242718446605;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;Palmeiras;27;3;29;217;201;São Paulo;3;3;14;6;8;1;0.37;0.63;310;0.76;23;16;3;3;0;0;3;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2;0.105;0.13043478260869565;236;0.09745762711864407;637.8378378378378;0.21428571428571427;8.108108108108109;8;-0.26;1;0;7;0.04516129032258064;0.07142857142857142;0.37;3.0;1;0;1;1;0;0;0;1;0.07142857142857142;0.125;0.0032258064516129032;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Palmeiras;27;3;4;217;672;São Bernardo;1;1;13;7;6;3;0.57;0.43;432;0.84;13;13;1;1;0;0;7;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.06142857142857143;0.07692307692307693;363;0.03581267217630854;636.8421052631579;0.5384615384615384;12.280701754385966;6;0.13999999999999996;4;0;0;0.03009259259259259;0.23076923076923078;0.18999999999999997;2.3333333333333335;2;1;3;1;0;0;1;0;0.23076923076923078;0.5;0.006944444444444444;4.333333333333333;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Palmeiras;27;3;3;217;670;Mirassol;1;2;17;11;7;3;0.46;0.54;338;0.8;11;15;1;2;0;0;7;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.049090909090909095;0.09090909090909091;270;0.040740740740740744;586.9565217391304;0.4117647058823529;15.217391304347826;6;-0.08000000000000002;3;-1;-4;0.05029585798816568;0.17647058823529413;0.15333333333333335;2.3333333333333335;1;2;3;1;0;0;1;0;0.17647058823529413;0.42857142857142855;0.008875739644970414;5.666666666666667;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Palmeiras;27;3;9;217;673;Botafogo RP;2;3;26;9;7;5;0.68;0.32;493;0.87;13;5;2;3;0;0;11;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3;0.035555555555555556;0.15384615384615385;429;0.030303030303030304;630.8823529411765;0.4230769230769231;16.176470588235293;17;0.36000000000000004;8;-1;8;0.05273833671399594;0.11538461538461539;0.22666666666666668;3.6666666666666665;1;2;3;1;0;0;0;1;0.11538461538461539;0.42857142857142855;0.006085192697768763;8.666666666666666;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Palmeiras;27;14;17;217;201;São Paulo;0;4;15;4;2;1;0.56;0.44;409;0.86;16;15;0;4;0;0;7;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2;0.11;0.0;352;0.045454545454545456;628.5714285714286;0.4666666666666667;12.499999999999998;11;0.12000000000000005;5;-4;1;0.03667481662591687;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-13;Palmeiras;27;14;6;217;669;Associação Atlética Internacional;0;5;17;6;6;2;0.59;0.41;468;0.81;13;21;0;5;0;0;5;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0;0.06833333333333333;0.0;379;0.03430079155672823;642.3728813559322;0.29411764705882354;8.474576271186441;11;0.18;5;-5;-8;0.03632478632478633;0.17647058823529413;0.19666666666666666;1.6666666666666667;2;1;3;1;0;0;1;0;0.17647058823529413;0.5;0.00641025641025641;5.666666666666667;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
