Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Lucas Perri-Lyon;Ainsley Maitland-Niles-Lyon;Clinton Mata-Lyon;Moussa Niakhaté-Lyon;Nicolás Tagliafico-Lyon;Jordan Veretout-Lyon;Corentin Tolisso-Lyon;Paul Akouokou-Lyon;Thiago Almada-Lyon;Rayan Cherki-Lyon;Georges Mikautadze-Lyon;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Saël Kumbedi-Lyon;Duje Ćaleta-Car-Lyon;Abner Vinícius-Lyon;Nemanja Matić-Lyon;Alexandre Lacazette-Lyon;Tanner Tessmann-Lyon;Ernest Nuamah-Lyon;Malick Fofana-Lyon;Saïd Benrahma-Lyon;Warmed Omari-Lyon;Rémy Descamps-Lyon;Maxence Caqueret-Lyon;Gift Orban-Lyon;Wilfried Zaha-Lyon;Orel Mangala-Lyon;Jake O'Brien-Lyon;Anthony Lopes-Lyon;Henrique Silva Milagres-Lyon;Mama Baldé-Lyon;Dejan Lovren-Lyon;Mahamadou Diawara-Lyon;Adryelson-Lyon;Diego Moreira-Lyon;Skelly Alvero-Lyon;Sinaly Diomandé-Lyon;Tino Kadewere-Lyon;Jeffinho-Lyon;Rémy Riou-Lyon;Bradley Barcola-Lyon;Amin Sarr-Lyon;Johann Lepenant-Lyon;Mamadou Sarr-Lyon;Achraf Laâziri-Lyon;Mohamed El Arouch-Lyon;Jérôme Boateng-Lyon;Castello Lukeba-Lyon;Malo Gusto-Lyon;Thiago Mendes-Lyon;Moussa Dembélé-Lyon;Tetê-Lyon;Karl Toko Ekambi-Lyon;Damien Da Silva-Lyon;Houssem Aouar-Lyon
2025-02-23;Lyon;2;0;0;90;19;PSG;1;1;14;15;7;8;0.34;0.66;337;0.82;12;8;1;1;0;0;5;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;4;0.044;0.0833333333333333;276;0.0434782608695652;811.7647058823529;0.3571428571428571;14.705882352941176;-1;-0.32;1;0;4;0.0415430267062314;0.1428571428571428;0.17;2.5;0;2;2;0;0;1;0;1;0.1428571428571428;0.2857142857142857;0.0059347181008902;7.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Lyon;2;3;28;90;775;Montpellier;1;3;9;11;6;4;0.63;0.37;561;0.88;12;14;1;3;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;7;0.0336363636363636;0.0833333333333333;494;0.0242914979757085;784.1269841269841;0.4444444444444444;6.349206349206349;-2;0.26;-3;-2;-2;0.0160427807486631;0.4444444444444444;0.1575;1.0;1;3;4;1;0;0;1;0;0.4444444444444444;0.6666666666666666;0.0071301247771836;2.25;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Lyon;2;3;0;90;766;Reims;2;3;15;9;9;2;0.68;0.32;651;0.88;10;12;2;2;0;1;6;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;6;0.0355555555555555;0.2;573;0.0174520069808027;842.6470588235294;0.4;8.823529411764705;6;0.36;0;-1;-2;0.0230414746543778;0.2666666666666666;0.17;1.5;1;3;4;1;0;0;0;1;0.2666666666666666;0.4444444444444444;0.0061443932411674;3.75;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Lyon;2;3;17;90;764;Marsella;1;4;10;20;4;11;0.36;0.64;327;0.8;10;13;1;4;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.032;0.1;262;0.0381679389312977;727.7777777777778;0.2;5.555555555555555;-10;-0.28;-4;-3;-3;0.0305810397553516;0.2;0.18;1.0;0;2;2;0;0;1;1;0;0.2;0.5;0.0061162079510703;5.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Lyon;5;0;3;90;110;Ludogorets;1;2;13;15;8;6;0.58;0.42;541;0.85;13;13;1;2;0;0;11;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.028;0.0769230769230769;460;0.0282608695652173;793.1034482758621;0.8461538461538461;18.96551724137932;-2;0.1599999999999999;7;-1;0;0.0240295748613678;0.0769230769230769;0.58;11.0;0;1;1;0;1;0;0;1;0.0769230769230769;0.125;0.0018484288354898;13.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Lyon;2;0;3;90;769;Nantes;1;3;15;7;4;5;0.63;0.37;605;0.88;11;14;1;3;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;4;0.0528571428571428;0.0909090909090909;532;0.0206766917293233;844.4444444444445;0.5333333333333333;12.698412698412698;8;0.26;4;-2;-3;0.024793388429752;0.0666666666666666;0.63;8.0;1;0;1;0;1;0;1;0;0.0666666666666666;0.25;0.0016528925619834;15.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Lyon;5;3;17;90;94;Fenerbahçe;5;4;13;11;7;2;0.56;0.44;477;0.83;23;14;5;4;0;0;7;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3;0.04;0.217391304347826;396;0.058080808080808;707.1428571428571;0.5384615384615384;12.499999999999998;2;0.12;4;1;9;0.0272536687631027;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Lyon;2;0;17;90;772;Toulouse;1;0;11;13;3;4;0.63;0.37;567;0.86;8;8;1;0;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;5;0.0284615384615384;0.125;488;0.0163934426229508;774.6031746031746;0.7272727272727273;12.698412698412698;-2;0.26;3;1;0;0.019400352733686;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Lyon;13;0;29;90;-1;FC Bourgoin-Jallieu;2;1;21;9;6;4;0.73;0.27;597;0.87;10;10;2;1;0;0;8;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1;0.03;0.2;519;0.0192678227360308;710.9589041095891;0.3809523809523809;10.95890410958904;12;0.4599999999999999;7;1;0;0.0351758793969849;0.0952380952380952;0.365;4.0;1;1;2;0;1;0;1;0;0.0952380952380952;0.3333333333333333;0.0033500837520938;10.5;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Lyon;2;7;28;90;5;Stade Brestois;2;1;10;11;3;6;0.68;0.32;635;0.86;10;10;2;1;0;0;7;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;4;0.029090909090909;0.2;546;0.0183150183150183;802.9411764705882;0.7;10.294117647058822;-1;0.36;3;1;0;0.0157480314960629;0.1;0.68;7.0;1;0;1;0;0;1;1;0;0.1;0.3333333333333333;0.0015748031496062;10.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
