Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kamil Grabara-Wolfsburg;Kilian Fischer-Wolfsburg;Denis Vavro-Wolfsburg;Konstantinos Koulierakis-Wolfsburg;Andreas Skov Olsen-Wolfsburg;Bence Dárdai-Wolfsburg;Aster Vranckx-Wolfsburg;Patrick Wimmer-Wolfsburg;Joakim Mæhle-Wolfsburg;Lukas Nmecha-Wolfsburg;Tiago Tomás-Wolfsburg;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kevin Paredes-Wolfsburg;Maximilian Arnold-Wolfsburg;Jonas Wind-Wolfsburg;Mohamed El Amine Amoura-Wolfsburg;David Odogu-Wolfsburg;Jakub Kamiński-Wolfsburg;Yannick Gerhardt-Wolfsburg;Sebastiaan Bornauw-Wolfsburg;Mattias Svanberg-Wolfsburg;Marius Müller-Wolfsburg;Mads Roerslev-Wolfsburg;Bote Baku-Wolfsburg;Lovro Majer-Wolfsburg;Salih Özcan-Wolfsburg;Cédric Zesiger-Wolfsburg;Maxence Lacroix-Wolfsburg;Kevin Behrens-Wolfsburg;Koen Casteels-Wolfsburg;Moritz Jenz-Wolfsburg;Pavao Pervan-Wolfsburg;Amin Sarr-Wolfsburg;Václav Černý-Wolfsburg;Rogério-Wolfsburg;Nicolas Cozza-Wolfsburg;Josuha Guilavogui-Wolfsburg;Micky van de Ven-Wolfsburg;Felix Nmecha-Wolfsburg;Paulo Otávio-Wolfsburg;Omar Marmoush-Wolfsburg;Luca Waldschmidt-Wolfsburg;Bartol Franjić-Wolfsburg;Josip Brekalo-Wolfsburg;Max Kruse-Wolfsburg;Maximilian Philipp-Wolfsburg
2025-02-22;Wolfsburg;9;1;2;175;178;Bochum;2;3;13;11;6;5;0.55;0.45;465;0.8;8;15;2;3;0;0;3;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;5;0.04090909090909091;0.25;372;0.021505376344086023;676.3636363636363;0.23076923076923078;5.454545454545454;2;0.10000000000000003;-2;-1;-7;0.02795698924731183;0.07692307692307693;0.55;3.0;0;1;1;0;1;0;0;1;0.07692307692307693;0.16666666666666666;0.002150537634408602;13.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Wolfsburg;9;1;3;175;18;Stuttgart;3;3;7;10;3;4;0.42;0.58;363;0.72;15;10;3;3;0;0;5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;7;0.057999999999999996;0.2;261;0.05747126436781609;621.4285714285714;0.7142857142857143;11.904761904761905;-3;-0.15999999999999998;-2;0;5;0.01928374655647383;0.2857142857142857;0.21;2.5;0;2;2;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.005509641873278237;3.5;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Wolfsburg;9;14;2;175;6;Leverkusen;2;3;13;15;8;1;0.4;0.6;361;0.77;7;8;2;3;0;0;3;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;9;0.04;0.2857142857142857;278;0.025179856115107913;695.0;0.23076923076923078;7.5;-2;-0.19999999999999996;-6;-1;-1;0.036011080332409975;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Wolfsburg;9;14;17;175;87;Frankfurt;3;1;11;16;2;4;0.38;0.62;356;0.74;8;8;3;1;0;0;1;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9;0.03875;0.375;263;0.030418250950570342;692.1052631578947;0.09090909090909091;2.6315789473684212;-5;-0.24;-8;2;0;0.03089887640449438;0.09090909090909091;0.38;1.0;0;1;1;0;1;0;1;0;0.09090909090909091;0.5;0.0028089887640449437;11.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;Wolfsburg;9;22;17;175;177;KSV Holstein;2;4;22;5;5;2;0.71;0.29;657;0.89;9;10;2;4;0;0;10;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3;0.057999999999999996;0.2222222222222222;585;0.015384615384615385;823.943661971831;0.45454545454545453;14.084507042253522;17;0.42;7;-2;-1;0.0334855403348554;0.09090909090909091;0.355;5.0;0;2;2;0;1;0;0;1;0.09090909090909091;0.4;0.0030441400304414;11.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Wolfsburg;9;14;3;175;23;Bayern;3;2;7;25;3;10;0.27;0.73;270;0.72;9;10;3;2;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;6;0.0292;0.3333333333333333;194;0.04639175257731959;718.5185185185185;0.2857142857142857;7.4074074074074066;-18;-0.45999999999999996;-4;1;-1;0.025925925925925925;0.2857142857142857;0.135;1.0;1;1;2;0;0;1;1;0;0.2857142857142857;0.6666666666666666;0.007407407407407408;3.5;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Wolfsburg;9;1;3;175;172;Mönchengladbach;1;0;16;9;5;5;0.34;0.66;339;0.78;10;7;1;0;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;7;0.07333333333333333;0.1;264;0.03787878787878788;776.470588235294;0.25;11.76470588235294;7;-0.32;-3;1;3;0.0471976401179941;0.3125;0.068;0.8;1;4;5;1;0;0;0;1;0.3125;1.0;0.014749262536873156;3.2;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Wolfsburg;9;0;3;175;97;Hoffenheim;2;1;12;15;3;2;0.45;0.55;384;0.75;14;15;2;1;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;4;0.03666666666666667;0.14285714285714285;288;0.04861111111111111;640.0;0.6666666666666666;17.77777777777778;-3;-0.10000000000000003;4;1;-1;0.03125;0.08333333333333333;0.45;8.0;1;0;1;1;0;0;1;0;0.08333333333333333;0.3333333333333333;0.0026041666666666665;12.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Wolfsburg;9;2;14;175;11;Dortmund;3;3;14;12;5;4;0.49;0.51;449;0.8;8;8;3;2;0;1;10;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;4;0.0425;0.375;359;0.022284122562674095;732.6530612244898;0.7142857142857143;20.408163265306122;2;-0.020000000000000018;6;0;0;0.031180400890868598;0.07142857142857142;0.49;10.0;0;1;1;0;0;1;0;1;0.07142857142857142;0.2;0.0022271714922048997;14.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-13;Wolfsburg;9;1;13;175;170;Friburgo;1;4;20;18;5;9;0.47;0.53;420;0.78;3;11;1;4;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.029444444444444447;0.3333333333333333;328;0.009146341463414634;697.872340425532;0.3;12.765957446808512;2;-0.06000000000000005;1;-3;-8;0.047619047619047616;0.1;0.235;3.0;0;2;2;0;0;1;1;0;0.1;0.4;0.004761904761904762;10.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
