Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dominik Greif-R.C.D. Mallorca;Pablo Maffeo-R.C.D. Mallorca;Martin Valjent-R.C.D. Mallorca;Antonio José Raíllo Arenas-R.C.D. Mallorca;José Manuel Arias Copete-R.C.D. Mallorca;Johan Mojica-R.C.D. Mallorca;Dani Rodríguez-R.C.D. Mallorca;Samuel Costa-R.C.D. Mallorca;Sergi Darder-R.C.D. Mallorca;Abdón Prats Bastidas-R.C.D. Mallorca;Cyle Larin-R.C.D. Mallorca;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Antonio Sánchez Navarro-R.C.D. Mallorca;Manuel Morlanes Ariño-R.C.D. Mallorca;Omar Mascarell-R.C.D. Mallorca;Takuma Asano-R.C.D. Mallorca;Vedat Muriqi-R.C.D. Mallorca;David López Guijarro-R.C.D. Mallorca;Antonio Latorre-R.C.D. Mallorca;Robert Navarro-R.C.D. Mallorca;Mateu Morey-R.C.D. Mallorca;Leo Román-R.C.D. Mallorca;Valery Fernández Estrada-R.C.D. Mallorca;Siebe Van der Heyden-R.C.D. Mallorca;Javier Llabrés-R.C.D. Mallorca;Chiquinho-R.C.D. Mallorca;Marc Domènech-R.C.D. Mallorca;Iván Cuéllar-R.C.D. Mallorca;Nacho Vidal Miralles-R.C.D. Mallorca;Jaume Costa-R.C.D. Mallorca;Nemanja Radonjić-R.C.D. Mallorca;Predrag Rajković-R.C.D. Mallorca;Giovanni González Apud-R.C.D. Mallorca;Matija Nastasić-R.C.D. Mallorca;Amath Ndiaye-R.C.D. Mallorca;Daniel Luna-R.C.D. Mallorca;Rubén Quintanilla-R.C.D. Mallorca;Iñigo Ruiz de Galarreta-R.C.D. Mallorca;Lee Kang-in-R.C.D. Mallorca;Josep Gayà-R.C.D. Mallorca;Iddrisu Baba-R.C.D. Mallorca;Dennis Hadžikadunić-R.C.D. Mallorca;Tino Kadewere-R.C.D. Mallorca;Ángel Luis Rodríguez Díaz-R.C.D. Mallorca;Ludwig Augustinsson-R.C.D. Mallorca;Clément Grenier-R.C.D. Mallorca;Rodrigo Battaglia-R.C.D. Mallorca;Braian Cufré-R.C.D. Mallorca;Franco Matías Russo-R.C.D. Mallorca;Lago Junior-R.C.D. Mallorca
2025-02-01;R.C.D. Mallorca;1;4;1;40;27;Atlético Madrid;3;2;10;17;1;5;0.47;0.53;415;0.83;14;9;3;2;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;10;0.031176470588235295;0.21428571428571427;344;0.040697674418604654;731.9148936170213;0.4;8.51063829787234;-7;-0.06000000000000005;-6;1;5;0.024096385542168676;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;R.C.D. Mallorca;1;3;3;40;39;Betis;3;2;16;8;3;3;0.47;0.53;351;0.8;12;18;2;2;1;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.06625;0.25;281;0.042704626334519574;597.872340425532;0.25;8.51063829787234;8;-0.06000000000000005;0;1;-6;0.045584045584045586;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-20;R.C.D. Mallorca;1;1;1;40;37;Villarreal;3;1;9;14;2;7;0.57;0.43;503;0.88;12;9;3;1;0;0;5;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.030714285714285715;0.25;443;0.02708803611738149;777.1929824561404;0.5555555555555556;8.771929824561404;-5;0.13999999999999996;-1;2;3;0.017892644135188866;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-09;R.C.D. Mallorca;18;1;3;40;12;Real Madrid;2;4;8;28;0;11;0.35;0.65;283;0.81;14;12;2;4;0;0;1;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;6;0.023214285714285715;0.14285714285714285;229;0.0611353711790393;654.2857142857143;0.125;2.857142857142857;-20;-0.30000000000000004;-5;-2;2;0.028268551236749116;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-03;R.C.D. Mallorca;19;7;7;40;-1;Pontevedra;2;5;6;14;2;7;0.46;0.54;358;0.71;11;13;2;5;0;0;6;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3;0.038571428571428576;0.18181818181818182;254;0.04330708661417323;552.1739130434783;1.0;13.043478260869565;-8;-0.08000000000000002;3;-3;-2;0.01675977653631285;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;R.C.D. Mallorca;1;1;3;40;48;Getafe;3;4;9;18;2;5;0.45;0.55;281;0.66;13;19;3;4;0;0;0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.030555555555555558;0.23076923076923078;185;0.07027027027027027;411.1111111111111;0.0;0.0;-9;-0.10000000000000003;-3;-1;-6;0.03202846975088968;0.1111111111111111;0.45;0.0;0;1;1;1;0;0;1;0;0.1111111111111111;0.5;0.0035587188612099642;9.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;R.C.D. Mallorca;1;1;23;40;24;Girona;6;2;8;13;2;1;0.31;0.69;289;0.8;10;14;5;2;1;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;4;0.05307692307692307;0.6;231;0.04329004329004329;745.1612903225806;0.25;6.451612903225807;-5;-0.37999999999999995;-2;4;-4;0.02768166089965398;0.25;0.155;1.0;1;1;2;1;0;0;0;1;0.25;1.0;0.006920415224913495;4.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-06;R.C.D. Mallorca;1;3;6;40;44;Celta de Vigo;1;1;9;12;4;5;0.51;0.49;501;0.85;12;9;0;1;1;0;3;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3;0.04083333333333333;0.08333333333333333;426;0.028169014084507043;835.2941176470588;0.3333333333333333;5.88235294117647;-3;0.020000000000000018;0;0;3;0.017964071856287425;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;R.C.D. Mallorca;1;1;3;40;10;Barcelona;4;3;6;20;1;9;0.39;0.61;317;0.75;13;13;4;3;0;0;2;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;5;0.0305;0.3076923076923077;238;0.0546218487394958;610.2564102564103;0.3333333333333333;5.128205128205128;-14;-0.21999999999999997;-3;1;0;0.01892744479495268;0.16666666666666666;0.39;2.0;1;0;1;0;0;1;0;1;0.16666666666666666;1.0;0.0031545741324921135;6.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-29;R.C.D. Mallorca;1;3;9;40;52;Valencia C. F.;1;1;9;7;3;1;0.48;0.52;442;0.78;9;14;1;1;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.07428571428571429;0.1111111111111111;345;0.02608695652173913;718.75;0.3333333333333333;6.25;2;-0.040000000000000036;-3;0;-5;0.020361990950226245;0.2222222222222222;0.24;1.5;1;1;2;1;0;0;0;1;0.2222222222222222;0.6666666666666666;0.004524886877828055;4.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
