Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Giorgi Mamardashvili-Valencia C. F.;Dimitri Foulquier-Valencia C. F.;Mouctar Diakhaby-Valencia C. F.;Cristhian Mosquera-Valencia C. F.;José Luis Gayà-Valencia C. F.;Luis Rioja González-Valencia C. F.;Javier Guerra Moreno-Valencia C. F.;José Luis García Vayá-Valencia C. F.;Diego López Noguerol-Valencia C. F.;Rafa Mir-Valencia C. F.;Hugo Duro Perales-Valencia C. F.;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;César Tárrega-Valencia C. F.;Enzo Barrenechea-Valencia C. F.;André Almeida-Valencia C. F.;Umar Sadiq-Valencia C. F.;Max Aarons-Valencia C. F.;Jesús Vázquez Alcalde-Valencia C. F.;Iván Jaime Pajuelo-Valencia C. F.;Stole Dimitrievski-Valencia C. F.;Yarek Gasiorowski-Valencia C. F.;Fran Pérez Martínez-Valencia C. F.;Hugo Guillamón-Valencia C. F.;Sergi Canós-Valencia C. F.;Germán Valera-Valencia C. F.;Martín Tejón-Valencia C. F.;Daniel Gómez Alcón-Valencia C. F.;Iker Córdoba-Valencia C. F.;Ismael Santana Vera-Valencia C. F.;Thierry Correia-Valencia C. F.;Maximiliano Caufriez-Valencia C. F.;Rodrigo Abajas-Valencia C. F.;Cenk Özkacar-Valencia C. F.;Alberto Marí-Valencia C. F.;Peter González-Valencia C. F.;Roman Yaremchuk-Valencia C. F.;Jaume Doménech-Valencia C. F.;Selim Amallah-Valencia C. F.;Gabriel Paulista-Valencia C. F.;Rubén Iranzo-Valencia C. F.;Marco Camus-Valencia C. F.;Pablo Gozálbez-Valencia C. F.;Hugo González Sotos-Valencia C. F.;Nico González-Valencia C. F.;Samuel Lino-Valencia C. F.;Justin Kluivert-Valencia C. F.;Antonio Latorre-Valencia C. F.;Eray Cömert-Valencia C. F.;Edinson Cavani-Valencia C. F.;Yunus Musah-Valencia C. F.;Ilaix Moriba-Valencia C. F.;Samu Castillejo-Valencia C. F.;Marcos André-Valencia C. F.
2025-02-22;Valencia C. F.;1;17;1;52;27;Atlético Madrid;1;3;18;11;2;3;0.49;0.51;525;0.91;18;16;1;3;0;0;7;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0;0.0463636363636363;0.0555555555555555;478;0.0376569037656903;975.5102040816328;0.3888888888888889;14.285714285714286;7;-0.02;7;-2;2;0.0342857142857142;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Valencia C. F.;1;9;1;52;37;Villarreal;5;0;12;13;3;4;0.49;0.51;523;0.88;17;6;5;0;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0392307692307692;0.2941176470588235;460;0.0369565217391304;938.7755102040816;0.4166666666666667;10.20408163265306;-1;-0.02;1;5;11;0.022944550669216;0.0833333333333333;0.49;5.0;0;1;1;0;1;0;1;0;0.0833333333333333;0.3333333333333333;0.0019120458891013;12.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Valencia C. F.;1;3;4;52;47;Leganés;1;1;19;12;4;4;0.44;0.56;362;0.77;14;9;1;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.0466666666666666;0.0714285714285714;279;0.050179211469534;634.0909090909091;0.4736842105263157;20.454545454545453;7;-0.12;6;0;5;0.0524861878453038;0.1052631578947368;0.22;4.5;2;0;2;1;0;0;0;1;0.1052631578947368;0.5;0.005524861878453;9.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Valencia C. F.;19;9;0;52;10;Barcelona;2;0;4;17;1;9;0.23;0.77;242;0.73;6;7;2;0;0;0;3;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4;0.0452941176470588;0.3333333333333333;177;0.0338983050847457;769.5652173913043;0.75;13.043478260869565;-13;-0.54;-1;2;-1;0.0165289256198347;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Valencia C. F.;1;3;6;52;44;Celta de Vigo;1;2;8;3;5;2;0.46;0.54;449;0.83;9;17;1;2;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.18;0.1111111111111111;373;0.0241286863270777;810.8695652173913;0.625;10.869565217391305;5;-0.08;3;-1;-8;0.0178173719376391;0.25;0.23;2.5;1;1;2;1;0;0;0;1;0.25;0.4;0.0044543429844097;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Valencia C. F.;1;1;3;52;10;Barcelona;1;0;7;22;2;11;0.28;0.72;265;0.74;12;10;1;0;0;0;4;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;14;0.0327272727272727;0.0833333333333333;196;0.0612244897959183;699.9999999999999;0.5714285714285714;14.285714285714285;-15;-0.4399999999999999;-10;1;2;0.0264150943396226;0.1428571428571428;0.28;4.0;0;1;1;0;0;1;1;0;0.1428571428571428;0.5;0.0037735849056603;7.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Valencia C. F.;1;3;2;52;46;Real Sociedad;3;4;7;9;2;3;0.34;0.66;269;0.68;10;12;3;4;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.0733333333333333;0.3;183;0.0546448087431694;538.2352941176471;0.5714285714285714;11.76470588235294;-2;-0.32;-3;-1;-2;0.0260223048327137;0.1428571428571428;0.34;4.0;1;0;1;1;0;0;0;1;0.1428571428571428;0.5;0.0037174721189591;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Valencia C. F.;19;6;0;52;-1;Ourense;0;1;9;9;3;4;0.58;0.42;538;0.86;12;6;0;1;0;0;7;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4;0.0466666666666666;0.0;463;0.0259179265658747;798.2758620689656;0.7777777777777778;12.06896551724138;0;0.1599999999999999;3;-1;6;0.0167286245353159;0.2222222222222222;0.29;3.5;0;2;2;1;0;0;1;0;0.2222222222222222;0.6666666666666666;0.0037174721189591;4.5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Valencia C. F.;1;3;3;52;43;Sevilla;2;1;5;15;1;5;0.46;0.54;397;0.81;8;16;2;1;0;0;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;10;0.036;0.25;322;0.0248447204968944;700.0;0.2;2.1739130434782608;-10;-0.08;-9;1;-8;0.0125944584382871;0.2;0.46;1.0;0;1;1;0;1;0;1;0;0.2;1.0;0.0025188916876574;5.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-07;Valencia C. F.;19;3;1;52;131;CD Eldense;4;2;16;11;6;2;0.57;0.43;524;0.84;7;9;4;2;0;0;3;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.039090909090909;0.5714285714285714;440;0.0159090909090909;771.9298245614036;0.1875;5.2631578947368425;5;0.1399999999999999;0;2;-2;0.0305343511450381;0.125;0.285;1.5;2;0;2;1;0;0;1;0;0.125;0.3333333333333333;0.0038167938931297;8.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-03;Valencia C. F.;1;1;3;52;12;Real Madrid;2;4;8;17;5;5;0.38;0.62;377;0.81;16;9;2;3;0;1;2;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.0364705882352941;0.125;305;0.0524590163934426;802.6315789473684;0.25;5.2631578947368425;-9;-0.24;-3;-2;7;0.0212201591511936;0.125;0.38;2.0;1;0;1;0;0;1;0;1;0.125;0.2;0.0026525198938992;8.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Valencia C. F.;1;3;9;52;45;Alavés;2;1;8;11;3;3;0.62;0.38;469;0.77;20;15;2;1;0;0;5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0345454545454545;0.1;361;0.0554016620498614;582.258064516129;0.625;8.064516129032258;-3;0.24;1;1;5;0.0170575692963752;0.25;0.31;2.5;0;2;2;0;1;0;0;1;0.25;0.6666666666666666;0.0042643923240938;4.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-18;Valencia C. F.;1;3;1;52;49;RCD Espanyol;0;1;14;10;4;3;0.55;0.45;476;0.82;11;13;0;1;0;0;7;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;4;0.045;0.0;390;0.0282051282051282;709.090909090909;0.5;12.727272727272728;4;0.1;3;-1;-2;0.0294117647058823;0.0714285714285714;0.55;7.0;0;1;1;0;1;0;1;0;0.0714285714285714;0.25;0.0021008403361344;14.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
