Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
6/5/23;Crystal Palace;3;0;7;2;42;378;75;14;5;0;4;0;0;0;0;0;1;1;0
29/4/23;Crystal Palace;3;0;16;6;60;498;78;9;1;0;8;3;1;4;1;0;0;0;1
25/4/23;Crystal Palace;3;0;14;4;59;446;81;14;4;0;11;0;0;0;0;0;1;1;0
22/4/23;Crystal Palace;3;0;12;2;57;414;74;12;1;0;8;0;0;0;0;1;0;0;1
15/4/23;Crystal Palace;3;0;10;2;41;362;75;13;1;0;2;0;2;2;1;0;0;1;0
9/4/23;Crystal Palace;3;0;16;8;52;436;74;8;1;0;4;1;4;5;1;0;0;1;0
1/4/23;Crystal Palace;3;0;31;9;51;446;80;12;3;0;10;0;2;2;1;0;0;0;1
19/3/23;Crystal Palace;3;3;9;5;37;358;77;10;1;0;4;0;1;1;0;0;1;1;0
15/3/23;Crystal Palace;3;0;11;3;42;430;80;20;2;0;4;0;0;0;0;0;1;1;0
11/3/23;Crystal Palace;3;0;4;0;32;290;75;11;2;0;2;0;0;0;0;0;1;0;1
4/3/23;Crystal Palace;3;3;3;0;41;364;83;17;3;1;4;0;0;0;0;0;1;1;0
25/2/23;Crystal Palace;3;3;6;0;36;345;74;11;2;0;5;0;0;0;0;1;0;0;1
25/2/23;Crystal Palace;3;3;6;0;36;345;74;11;2;0;5;0;0;0;0;1;0;0;1
4/2/23;Crystal Palace;3;3;10;3;46;426;80;9;2;0;5;0;1;1;0;0;1;1;0
21/1/23;Crystal Palace;3;3;6;1;39;316;67;13;4;0;3;0;0;0;0;1;0;0;1
18/1/23;Crystal Palace;3;3;10;5;39;399;73;9;1;0;3;0;1;1;0;1;0;0;1
7/1/23;Crystal Palace;15;0;13;2;55;503;79;10;1;0;8;1;0;1;0;0;1;0;1
4/1/23;Crystal Palace;3;3;19;4;46;472;81;11;1;0;10;0;0;0;0;0;1;0;1
31/12/22;Crystal Palace;3;3;15;6;41;317;68;11;1;0;7;2;0;2;1;0;0;1;0
26/12/22;Crystal Palace;3;0;4;0;36;368;74;12;0;2;1;0;0;0;0;0;1;0;1
12/11/22;Crystal Palace;3;0;8;0;69;633;87;13;4;0;5;0;0;0;0;0;1;1;0
9/11/22;Crystal Palace;14;17;6;3;34;293;72;14;2;0;5;0;0;0;0;1;0;1;0
6/11/22;Crystal Palace;3;0;15;6;58;591;87;7;1;0;5;1;1;2;1;0;0;1;0
29/10/22;Crystal Palace;3;0;12;3;44;402;72;13;3;0;8;1;0;1;1;0;0;0;1
