Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Elia Caprile-Cagliari;Gabriele Zappa-Cagliari;Yerry Mina-Cagliari;José Luis Palomino-Cagliari;Nadir Zortea-Cagliari;Michel Adopo-Cagliari;Antoine Makoumbou-Cagliari;Alessandro Deiola-Cagliari;Tommaso Augello-Cagliari;Florinel Coman-Cagliari;Roberto Piccoli-Cagliari;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sebastiano Luperto-Cagliari;Matteo Prati-Cagliari;Nicolas Viola-Cagliari;Zito Luvumbo-Cagliari;Mattia Felici-Cagliari;Adam Obert-Cagliari;Răzvan Marin-Cagliari;Gianluca Gaetano-Cagliari;Simone Scuffet-Cagliari;Alen Sherri-Cagliari;Mateusz Wieteska-Cagliari;Gianluca Lapadula-Cagliari;Paulo Azzi-Cagliari;Leonardo Pavoletti-Cagliari;Nahitan Nández-Cagliari;Alberto Dossena-Cagliari;Ibrahim Sulemana-Cagliari;Eldor Shomurodov-Cagliari;Pantelis Hatzidiakos-Cagliari;Alessandro Di Pardo-Cagliari;Gaetano Oristanio-Cagliari;Jakub Jankto-Cagliari;Andrea Petagna-Cagliari;Edoardo Goldaniga-Cagliari;Boris Radunović-Cagliari;Marco Mancosu-Cagliari;Nunzio Lella-Cagliari;Giorgio Altare-Cagliari;Christos Kourfalidis-Cagliari;Marko Rog-Cagliari;Nik Prelec-Cagliari;Filippo Falco-Cagliari;Antonio Barreca-Cagliari;Vincenzo Millico-Cagliari;Elio Capradossi-Cagliari;Franco Carboni-Cagliari;Gastón Pereiro-Cagliari;Simone Aresti-Cagliari
2025-01-24;Cagliari;4;8;1;79;73;Torino;1;0;6;19;1;6;0.51;0.49;420;0.81;10;11;1;0;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;6;0.0257894736842105;0.1;340;0.0294117647058823;666.6666666666666;0.5;5.88235294117647;-13;0.02;-3;1;-1;0.0142857142857142;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Cagliari;4;8;0;79;82;Lecce;3;2;19;7;7;2;0.49;0.51;412;0.8;11;10;3;1;0;1;6;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1;0.0728571428571428;0.2727272727272727;330;0.0333333333333333;673.469387755102;0.3157894736842105;12.244897959183673;12;-0.02;5;1;1;0.0461165048543689;0.2105263157894736;0.1225;1.5;0;4;4;1;0;0;0;1;0.2105263157894736;0.5714285714285714;0.0097087378640776;4.75;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Cagliari;4;8;0;79;25;Milan;2;1;6;24;2;11;0.31;0.69;254;0.72;11;9;2;1;0;0;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;9;0.0287499999999999;0.1818181818181818;183;0.0601092896174863;590.3225806451613;0.1666666666666666;3.2258064516129035;-18;-0.3799999999999999;-8;1;2;0.0236220472440944;0.1666666666666666;0.31;1.0;0;1;1;0;1;0;1;0;0.1666666666666666;0.5;0.0039370078740157;6.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Cagliari;4;1;17;79;80;Monza;2;3;13;6;4;2;0.46;0.54;358;0.72;19;16;2;2;0;1;3;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1;0.09;0.1052631578947368;258;0.0736434108527131;560.8695652173913;0.2307692307692307;6.521739130434782;7;-0.08;2;-1;3;0.0363128491620111;0.1538461538461538;0.23;1.5;1;1;2;1;0;0;1;0;0.1538461538461538;0.5;0.0055865921787709;6.5;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-28;Cagliari;4;3;30;79;7;Inter;0;0;5;20;1;5;0.34;0.66;291;0.72;14;5;0;0;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.033;0.0;210;0.0666666666666666;617.6470588235294;1.0;14.705882352941176;-15;-0.32;-2;0;9;0.0171821305841924;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Cagliari;4;23;17;79;81;Venezia;2;1;14;12;7;6;0.69;0.31;557;0.81;11;6;2;1;0;0;8;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0258333333333333;0.1818181818181818;451;0.024390243902439;653.6231884057971;0.5714285714285714;11.594202898550726;2;0.3799999999999999;4;1;5;0.0251346499102333;0.0714285714285714;0.69;8.0;0;1;1;0;0;1;1;0;0.0714285714285714;0.1428571428571428;0.0017953321364452;14.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-17;Cagliari;35;8;3;79;14;Juventus;0;0;13;27;2;6;0.45;0.55;412;0.84;9;9;0;0;0;0;2;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;5;0.0203703703703703;0.0;346;0.0260115606936416;768.8888888888889;0.1538461538461538;4.444444444444445;-14;-0.1;-3;0;0;0.0315533980582524;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Cagliari;4;2;17;79;17;Atalanta;3;3;12;12;8;2;0.43;0.57;393;0.78;16;10;3;3;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.0474999999999999;0.1875;307;0.0521172638436482;713.953488372093;0.1666666666666666;4.651162790697675;0;-0.1399999999999999;-3;0;6;0.0305343511450381;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Cagliari;4;3;3;79;70;Fiorentina;2;3;8;8;1;3;0.51;0.49;435;0.82;20;9;2;3;0;0;4;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;6;0.06125;0.1;357;0.0560224089635854;700.0;0.5;7.84313725490196;0;0.02;-2;-1;11;0.0183908045977011;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-29;Cagliari;4;29;1;79;77;Hellas Verona;1;2;19;11;5;2;0.64;0.36;497;0.82;10;12;1;2;0;0;7;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1;0.0327272727272727;0.1;408;0.0245098039215686;637.5;0.3684210526315789;10.9375;8;0.28;6;-1;-2;0.0382293762575452;0.0526315789473684;0.64;7.0;0;1;1;1;0;0;0;1;0.0526315789473684;0.2;0.0020120724346076;19.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
