Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Anthoni-Internacional;Braian Aguirre-Internacional;Vitão-Internacional;Victor Gabriel-Internacional;Alexandro Bernabei-Internacional;Bruno Henrique Corsini-Internacional;Fernando Reges-Internacional;Thiago Maia-Internacional;Alan Patrick-Internacional;Enner Valencia-Internacional;Wesley Ribeiro Silva-Internacional;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Agustín Rogel-Internacional;Ramon Ramos Lima-Internacional;Bruno Tabata-Internacional;Óscar Romero Villamayor-Internacional;Nathan Santos de Araújo-Internacional;Ronaldo da Silva Souza-Internacional;Gabriel Carvalho-Internacional;Vitor Hugo Naum dos Santos-Internacional;Johan Carbonero-Internacional;Rafael Santos Borré-Internacional;José Carlos Ferreira Júnior-Internacional;Sergio Rochet-Internacional;Gustavo Prado-Internacional;Wanderson Maciel Sousa Campos-Internacional;Bruno Gomes-Internacional;Clayton Sampaio-Internacional;Rômulo Zwarg-Internacional;Renê Rodrigues Martins-Internacional;Gabriel Mercado-Internacional;Lucas Alario-Internacional;Igor Gomes-Internacional;Robert Renan-Internacional;Fabricio Bustos-Internacional;Fabrício-Internacional;Hyoran-Internacional;Lucca Drummond-Internacional;Hugo Mallo-Internacional;Charles Aránguiz-Internacional;Matheus Dias-Internacional;Lucca Holanda Sampaio Tavares-Internacional;Maurício Magalhães Prado-Internacional;Gabriel Barros-Internacional;Johnny Cardoso-Internacional;Dalbert Henrique-Internacional;Nicolás Hernández Rodríguez-Internacional;Pedro Henrique-Internacional;Carlos de Pena-Internacional;Keiller-Internacional;Gabriel Girotto Franco-Internacional;Luiz Adriano-Internacional;Gustavo Campanharo-Internacional;John-Internacional;Rodrigo Moledo-Internacional;Jean Dias-Internacional;Thauan Lara-Internacional;Alexandre Zurawski-Internacional;Gabriel Baralhas-Internacional;Taison-Internacional;Edenilson Andrade dos Santos-Internacional;Ricardo Mathias-Internacional;Diego Rosa-Internacional
2025-04-10;Internacional;-1;3;3;641;-1;Atlético Nacional;4;3;10;14;6;5;0.58;0.42;407;0.89;13;13;4;2;0;1;2;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4;0.03;0.3076923076923077;362;0.0359116022099447;624.1379310344828;0.2;3.4482758620689657;-4;0.1599999999999999;-2;1;0;0.0245700245700245;0.3;0.1933333333333333;0.6666666666666666;0;3;3;1;0;0;0;1;0.3;0.5;0.0073710073710073;3.333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Internacional;10;3;0;641;636;Cruzeiro;1;2;24;6;11;1;0.69;0.31;601;0.92;19;11;1;1;0;1;9;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.0516666666666666;0.0526315789473684;553;0.0343580470162748;801.4492753623189;0.375;13.043478260869566;18;0.3799999999999999;7;-1;8;0.0399334442595673;0.125;0.2299999999999999;3.0;2;1;3;1;0;0;0;1;0.125;0.2727272727272727;0.0049916805324459;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-03;Internacional;-1;14;0;641;697;Bahía;3;1;8;21;5;7;0.4;0.6;395;0.87;13;4;3;1;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0285714285714285;0.2307692307692307;344;0.0377906976744186;860.0;0.25;5.0;-13;-0.1999999999999999;-2;2;9;0.020253164556962;0.125;0.4;2.0;0;1;1;0;1;0;1;0;0.125;0.2;0.0025316455696202;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Internacional;10;3;3;641;214;Flamengo;4;2;5;19;1;5;0.37;0.63;322;0.79;17;10;4;2;0;0;2;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0331578947368421;0.2352941176470588;254;0.0669291338582677;686.4864864864865;0.4;5.405405405405405;-14;-0.26;-2;2;7;0.015527950310559;0.2;0.37;2.0;1;0;1;0;1;0;1;0;0.2;1.0;0.0031055900621118;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Internacional;48;3;3;641;206;Grêmio;4;5;7;5;4;2;0.36;0.64;270;0.65;16;20;3;4;1;1;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.128;0.25;176;0.0909090909090909;488.8888888888889;0.4285714285714285;8.333333333333334;2;-0.28;1;-1;-4;0.0259259259259259;0.1428571428571428;0.36;3.0;0;1;1;0;1;0;0;1;0.1428571428571428;0.25;0.0037037037037037;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Internacional;48;3;3;641;206;Grêmio;2;1;9;12;4;1;0.33;0.67;213;0.65;13;15;2;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;9;0.0558333333333333;0.1538461538461538;138;0.0942028985507246;418.1818181818182;0.2222222222222222;6.0606060606060606;-3;-0.34;-7;1;-2;0.0422535211267605;0.2222222222222222;0.165;1.0;2;0;2;1;0;0;1;0;0.2222222222222222;0.5;0.0093896713615023;4.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Internacional;48;1;1;641;-1;Caxias;1;2;15;7;7;2;0.57;0.43;444;0.87;11;13;1;2;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0;0.0614285714285714;0.0909090909090909;386;0.0284974093264248;677.1929824561404;0.4;10.526315789473683;8;0.1399999999999999;6;-1;-2;0.0337837837837837;0.2;0.1899999999999999;2.0;0;3;3;1;0;0;0;1;0.2;0.4285714285714285;0.0067567567567567;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Internacional;48;1;3;641;-1;Caxias;1;1;10;9;2;1;0.56;0.44;453;0.84;16;8;1;1;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;4;0.0488888888888888;0.0625;381;0.0419947506561679;680.3571428571428;0.3;5.357142857142857;1;0.12;-1;0;8;0.0220750551876379;0.2;0.28;1.5;0;2;2;1;0;0;1;0;0.2;1.0;0.0044150110375275;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Internacional;48;3;3;641;206;Grêmio;3;1;14;7;5;1;0.45;0.55;256;0.73;23;13;3;1;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;4;0.0785714285714285;0.1304347826086956;187;0.1229946524064171;415.55555555555554;0.3571428571428571;11.11111111111111;7;-0.1;1;2;10;0.0546875;0.0714285714285714;0.45;5.0;0;1;1;0;1;0;1;0;0.0714285714285714;0.2;0.00390625;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Internacional;-1;0;0;641;-1;México;1;1;12;13;3;7;0.63;0.37;557;0.85;11;8;1;1;0;0;10;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2;0.0284615384615384;0.0909090909090909;473;0.0232558139534883;750.7936507936508;0.8333333333333334;15.873015873015872;-1;0.26;8;0;3;0.0215439856373429;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
