Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Robert Sánchez-Chelsea;Reece James-Chelsea;Trevoh Chalobah-Chelsea;Levi Colwill-Chelsea;Marc Cucurella-Chelsea;Enzo Fernández-Chelsea;Moisés Caicedo-Chelsea;Noni Madueke-Chelsea;Cole Palmer-Chelsea;Pedro Neto-Chelsea;Nicolas Jackson-Chelsea;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Filip Jörgensen-Chelsea;Josh Acheampong-Chelsea;Tosin Adarabioyo-Chelsea;Benoît Badiashile-Chelsea;Kiernan Dewsbury-Hall-Chelsea;Jadon Sancho-Chelsea;Christopher Nkunku-Chelsea;Malo Gusto-Chelsea;Tyrique George-Chelsea;Wesley Fofana-Chelsea;Shim Mheuka-Chelsea;Roméo Lavia-Chelsea;Axel Disasi-Chelsea;Renato Veiga-Chelsea;João Félix-Chelsea;Marc Guiu-Chelsea;Cesare Casadei-Chelsea;Mijailo Mudryk-Chelsea;Raheem Sterling-Chelsea;Carney Chukwuemeka-Chelsea;Đorđe Petrović-Chelsea;Thiago Silva-Chelsea;Conor Gallagher-Chelsea;Alfie Gilchrist-Chelsea;Ben Chilwell-Chelsea;Armando Broja-Chelsea;Ian Maatsen-Chelsea;Lesley Ugochukwu-Chelsea;Bashir Humphreys-Chelsea;Diego Moreira-Chelsea;Mason Burstow-Chelsea;Kepa Arrizabalaga-Chelsea;Gaga Słonina-Chelsea;Andrey Santos-Chelsea;Jamie Cumming-Chelsea;César Azpilicueta-Chelsea;Lewis Hall-Chelsea;Ruben Loftus-Cheek-Chelsea;Kai Havertz-Chelsea;Édouard Mendy-Chelsea;Mateo Kovačić-Chelsea;N'Golo Kanté-Chelsea;Pierre Emerick Aubameyang-Chelsea;Denis Zakaria-Chelsea;Christian Pulisic-Chelsea;Kalidou Koulibaly-Chelsea
2025-02-25;Chelsea;3;3;9;53;68;Southampton;1;2;19;7;10;2;0.6;0.4;620;0.9;6;9;1;2;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.05714285714285715;0.16666666666666666;558;0.010752688172043012;930.0;0.21052631578947367;6.666666666666667;12;0.19999999999999996;2;-1;-3;0.03064516129032258;0.21052631578947367;0.15;1.0;3;1;4;1;0;0;0;1;0.21052631578947367;0.4;0.0064516129032258064;4.75;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Chelsea;3;3;3;53;1;Aston Villa;3;1;15;12;7;6;0.47;0.53;446;0.88;16;15;3;1;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.04416666666666667;0.1875;392;0.04081632653061224;834.0425531914894;0.2;6.382978723404256;3;-0.06000000000000005;1;2;1;0.033632286995515695;0.06666666666666667;0.47;3.0;1;0;1;0;0;1;1;0;0.06666666666666667;0.14285714285714285;0.002242152466367713;15.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-14;Chelsea;3;3;9;53;54;Brighton;2;1;8;13;0;5;0.7;0.3;735;0.9;15;12;2;1;0;0;9;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.023076923076923075;0.13333333333333333;662;0.022658610271903322;945.7142857142858;1.125;12.857142857142858;-5;0.39999999999999997;7;1;3;0.010884353741496598;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Chelsea;15;3;3;53;54;Brighton;2;2;7;6;1;3;0.58;0.42;561;0.88;3;8;2;2;0;0;3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;4;0.06999999999999999;0.6666666666666666;494;0.006072874493927126;851.7241379310345;0.42857142857142855;5.172413793103448;1;0.15999999999999998;-1;0;-5;0.012477718360071301;0.14285714285714285;0.58;3.0;1;0;1;0;0;1;1;0;0.14285714285714285;1.0;0.0017825311942959;7.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;Chelsea;3;3;17;53;61;West Ham;3;1;22;14;3;5;0.68;0.32;597;0.86;11;10;3;1;0;0;4;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.022857142857142857;0.2727272727272727;513;0.021442495126705652;754.4117647058823;0.18181818181818182;5.88235294117647;8;0.36000000000000004;1;2;1;0.03685092127303183;0.09090909090909091;0.34;2.0;0;2;2;1;0;0;0;1;0.09090909090909091;0.6666666666666666;0.0033500837520938024;11.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Chelsea;3;3;0;53;3;Manchester City;2;3;10;15;4;6;0.43;0.57;425;0.82;8;6;2;3;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.038;0.25;348;0.022988505747126436;809.3023255813954;0.3;6.976744186046512;-5;-0.13999999999999996;1;-1;2;0.023529411764705882;0.1;0.43;3.0;1;0;1;0;0;1;1;0;0.1;0.25;0.002352941176470588;10.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-20;Chelsea;3;3;17;53;67;Wolves;4;2;19;9;7;4;0.63;0.37;567;0.88;8;14;4;2;0;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;6;0.04111111111111111;0.5;499;0.01603206412825651;792.063492063492;0.15789473684210525;4.761904761904762;10;0.26;-3;2;-6;0.03350970017636684;0.15789473684210525;0.21;1.0;1;2;3;1;0;0;0;1;0.15789473684210525;0.42857142857142855;0.005291005291005291;6.333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Chelsea;3;3;3;53;59;Bournemouth;2;3;26;7;10;3;0.57;0.43;426;0.83;15;16;2;3;0;0;9;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.06142857142857143;0.13333333333333333;354;0.0423728813559322;621.0526315789474;0.34615384615384615;15.789473684210527;19;0.13999999999999996;6;-1;-1;0.06103286384976526;0.07692307692307693;0.285;4.5;1;1;2;0;1;0;0;1;0.07692307692307693;0.2;0.004694835680751174;13.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Chelsea;15;7;5;53;-1;Morecambe;0;0;28;7;8;4;0.82;0.18;678;0.91;7;4;0;0;0;0;11;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2;0.025714285714285714;0.0;617;0.011345218800648298;752.439024390244;0.39285714285714285;13.414634146341465;21;0.6399999999999999;9;0;3;0.04129793510324484;0.17857142857142858;0.16399999999999998;2.2;1;4;5;1;0;0;0;1;0.17857142857142858;0.625;0.007374631268436578;5.6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Chelsea;3;3;17;53;65;Crystal Palace;2;0;15;13;1;6;0.62;0.38;566;0.86;12;9;2;0;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;6;0.02923076923076923;0.16666666666666666;487;0.024640657084188913;785.483870967742;0.4;9.67741935483871;2;0.24;0;2;3;0.026501766784452298;0.06666666666666667;0.62;6.0;1;0;1;0;1;0;1;0;0.06666666666666667;1.0;0.0017667844522968198;15.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-30;Chelsea;3;3;9;53;66;Ipswich;4;4;20;9;5;6;0.76;0.24;729;0.89;5;9;4;4;0;0;7;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.026666666666666665;0.8;649;0.007704160246533128;853.9473684210526;0.35;9.210526315789474;11;0.52;3;0;-4;0.027434842249657063;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Chelsea;3;3;5;53;58;Fulham;1;3;12;14;8;7;0.47;0.53;506;0.83;13;13;1;3;0;0;3;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1;0.03785714285714286;0.07692307692307693;420;0.030952380952380953;893.6170212765958;0.25;6.382978723404256;-2;-0.06000000000000005;2;-2;0;0.023715415019762844;0.08333333333333333;0.47;3.0;1;0;1;0;0;1;0;1;0.08333333333333333;0.125;0.001976284584980237;12.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Chelsea;3;3;0;53;64;Everton;1;4;12;5;5;4;0.75;0.25;642;0.89;12;20;1;4;0;0;5;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2;0.05;0.08333333333333333;571;0.021015761821366025;761.3333333333334;0.4166666666666667;6.666666666666667;7;0.5;3;-3;-8;0.018691588785046728;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
