Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Gautier Larsonneur-Saint-Étienne;Dennis Appiah-Saint-Étienne;Maxime Bernauer-Saint-Étienne;Mickaël Nade-Saint-Étienne;Léo Pétrot-Saint-Étienne;Benjamin Bouchouari-Saint-Étienne;Pierre Ekwah-Saint-Étienne;Aïmen Moueffek-Saint-Étienne;Irvin Cardona-Saint-Étienne;Lucas Stassin-Saint-Étienne;Zuriko Davitashvili-Saint-Étienne;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Yvann Maçon-Saint-Étienne;Florian Tardieu-Saint-Étienne;Dylan Batubinsika-Saint-Étienne;Djylian N'Guessan-Saint-Étienne;Pierre Cornud-Saint-Étienne;Augustine Boakye-Saint-Étienne;Louis Mouton-Saint-Étienne;Mathis Amougou-Saint-Étienne;Lamine Fomba-Saint-Étienne;Mathieu Cafaro-Saint-Étienne;Brice Maubleu-Saint-Étienne;Kévin Pedro-Saint-Étienne;Yunis Abdelhamid-Saint-Étienne;Ibrahim Sissoko-Saint-Étienne;Ben Old-Saint-Étienne;Ayman Aiki-Saint-Étienne;Marwann Nzuzi-Saint-Étienne;Beres Owusu-Saint-Étienne;Dylan Chambost-Saint-Étienne;Etienne Green-Saint-Étienne;Anthony Briançon-Saint-Étienne;Nathanaël Mbuku-Saint-Étienne;Thomas Monconduit-Saint-Étienne;Ibrahima Wadji-Saint-Étienne;Mahmoud Bentayg-Saint-Étienne;Maxence Rivera-Saint-Étienne;Gaëtan Charbonnier-Saint-Étienne;Stéphane Diarra-Saint-Étienne;Victor Lobry-Saint-Étienne;Niels Nkounkou-Saint-Étienne;Jean-Philippe Krasso-Saint-Étienne;Saïdou Sow-Saint-Étienne;Kader Bamba-Saint-Étienne;Jimmy Giraudon-Saint-Étienne;Boubacar Fall-Saint-Étienne;Abdoulaye Bakayoko-Saint-Étienne;Matthieu Dreyer-Saint-Étienne;Anas Namri-Saint-Étienne;Lenny Pintor-Saint-Étienne;Sergi Palencia-Saint-Étienne;Gabriel Silva-Saint-Étienne;Mahdi Camara-Saint-Étienne;Yvan Neyou-Saint-Étienne;Adil Aouchiche-Saint-Étienne;Zaydou Youssouf-Saint-Étienne;Denis Bouanga-Saint-Étienne
2025-01-19;Saint-Étienne;2;0;7;773;769;Nantes;2;1;12;8;2;4;0.76;0.24;742;0.88;9;11;2;1;0;0;7;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;7;0.03;0.2222222222222222;653;0.0137825421133231;859.2105263157895;0.5833333333333334;9.210526315789474;4;0.52;0;1;-2;0.0161725067385444;0.0833333333333333;0.76;7.0;0;1;1;0;1;0;0;1;0.0833333333333333;0.5;0.0013477088948787;12.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Saint-Étienne;2;0;0;773;19;PSG;2;1;8;25;3;9;0.41;0.59;432;0.8;11;16;2;1;0;0;3;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0236;0.1818181818181818;346;0.0317919075144508;843.9024390243903;0.375;7.317073170731708;-17;-0.18;-4;1;-5;0.0185185185185185;0.125;0.41;3.0;0;1;1;0;0;1;1;0;0.125;0.3333333333333333;0.0023148148148148;8.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Saint-Étienne;2;0;0;773;766;Reims;2;1;14;11;4;1;0.53;0.47;532;0.83;19;10;2;1;0;0;6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;9;0.0427272727272727;0.1052631578947368;442;0.0429864253393665;833.9622641509434;0.4285714285714285;11.320754716981131;3;0.06;-3;1;9;0.0263157894736842;0.2142857142857142;0.1766666666666666;2.0;0;3;3;1;0;0;0;1;0.2142857142857142;0.75;0.0056390977443609;4.666666666666667;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Saint-Étienne;13;0;17;773;764;Marsella;6;1;4;21;2;8;0.2;0.8;222;0.72;11;8;5;1;1;0;3;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;11;0.0380952380952381;0.5454545454545454;160;0.06875;800.0;0.75;15.0;-17;-0.6000000000000001;-8;5;3;0.018018018018018;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-13;Saint-Étienne;2;2;17;773;772;Toulouse;4;3;3;11;2;4;0.62;0.38;664;0.85;15;16;4;3;0;0;3;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.0345454545454545;0.2666666666666666;564;0.026595744680851;909.6774193548388;1.0;4.838709677419355;-8;0.24;1;1;-1;0.0045180722891566;0.3333333333333333;0.62;3.0;0;1;1;0;0;1;1;0;0.3333333333333333;0.5;0.0015060240963855;3.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Saint-Étienne;2;9;17;773;764;Marsella;1;1;3;21;2;10;0.31;0.69;398;0.82;13;10;1;1;0;0;0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;9;0.0328571428571428;0.0769230769230769;326;0.0398773006134969;1051.6129032258063;0.0;0.0;-18;-0.3799999999999999;-9;0;3;0.007537688442211;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Saint-Étienne;2;9;17;773;768;Rennes;2;0;2;18;0;9;0.28;0.72;270;0.75;12;14;1;0;1;0;1;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;6;0.04;0.1666666666666666;202;0.0594059405940594;721.4285714285713;0.5;3.571428571428571;-16;-0.4399999999999999;-5;2;-2;0.0074074074074074;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Saint-Étienne;2;9;3;773;775;Montpellier;3;5;11;11;4;3;0.32;0.68;256;0.75;19;11;3;5;0;0;5;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;11;0.0618181818181818;0.1578947368421052;192;0.0989583333333333;600.0;0.4545454545454545;15.625;0;-0.36;-6;-2;8;0.04296875;0.0909090909090909;0.32;5.0;0;1;1;1;0;0;0;1;0.0909090909090909;0.25;0.00390625;11.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-10;Saint-Étienne;2;7;0;773;90;Lyon;2;3;10;17;6;7;0.38;0.62;329;0.79;13;11;2;3;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0364705882352941;0.1538461538461538;260;0.05;684.2105263157895;0.6;15.789473684210526;-7;-0.24;-1;-1;2;0.0303951367781155;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Saint-Étienne;2;7;29;773;767;Racing de Estrasburgo;2;1;13;9;3;3;0.34;0.66;387;0.83;9;4;2;1;0;0;2;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;3;0.0733333333333333;0.2222222222222222;321;0.02803738317757;944.1176470588234;0.1538461538461538;5.88235294117647;4;-0.32;-1;1;5;0.0335917312661498;0.1538461538461538;0.17;1.0;0;2;2;1;0;0;0;1;0.1538461538461538;0.6666666666666666;0.0051679586563307;6.5;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
