Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
27/9/23;Real Madrid;1;28;21;9;47;572;88;7;0;0;7;1;1;2;1;0;0;0;1
24/9/23;Real Madrid;1;22;20;5;64;603;93;10;3;0;11;1;0;1;0;0;1;1;0
20/9/23;Real Madrid;0;28;32;7;76;809;92;8;1;0;16;0;1;1;1;0;0;0;1
17/9/23;Real Madrid;1;22;17;8;52;515;87;11;3;0;4;0;2;2;1;0;0;0;1
2/9/23;Real Madrid;1;28;26;12;77;728;88;12;2;0;11;0;2;2;1;0;0;0;1
25/8/23;Real Madrid;1;22;10;3;64;635;89;14;3;0;5;0;1;1;1;0;0;1;0
19/8/23;Real Madrid;1;28;25;9;57;567;91;13;0;0;5;1;2;3;1;0;0;1;0
12/8/23;Real Madrid;1;22;14;8;55;603;87;6;1;0;5;2;0;2;1;0;0;1;0
2/8/23;Real Madrid;6;28;34;8;66;553;90;10;0;0;15;1;0;1;0;0;1;1;0
29/7/23;Real Madrid;6;22;29;5;53;498;88;10;4;0;9;0;0;0;0;0;1;1;0
26/7/23;Real Madrid;6;28;15;5;47;510;87;11;1;0;5;1;1;2;1;0;0;0;1
23/7/23;Real Madrid;6;22;13;5;60;601;88;11;0;0;5;0;3;3;1;0;0;0;1
4/6/23;Real Madrid;1;0;9;2;65;633;90;11;2;0;5;0;1;1;0;1;0;0;1
27/5/23;Real Madrid;1;0;6;3;67;737;91;10;4;0;1;1;1;2;1;0;0;1;0
24/5/23;Real Madrid;1;7;12;3;62;718;91;11;1;0;5;1;1;2;1;0;0;0;1
21/5/23;Real Madrid;1;0;13;5;74;678;87;4;2;0;9;0;0;0;0;0;1;1;0
17/5/23;Real Madrid;0;0;7;3;40;421;82;14;2;0;3;0;0;0;0;0;1;1;0
13/5/23;Real Madrid;1;0;16;3;77;847;90;5;1;0;1;0;1;1;1;0;0;0;1
9/5/23;Real Madrid;0;0;13;4;44;452;86;11;2;0;8;1;0;1;0;1;0;0;1
6/5/23;Real Madrid;19;0;17;3;59;567;85;14;5;0;6;1;1;2;1;0;0;0;1
2/5/23;Real Madrid;1;0;10;5;47;430;86;9;3;1;6;0;0;0;0;0;1;1;0
29/4/23;Real Madrid;1;0;15;8;69;679;92;12;2;0;7;3;1;4;1;0;0;0;1
25/4/23;Real Madrid;1;0;18;3;72;707;91;6;2;0;8;1;1;2;0;0;1;1;0
22/4/23;Real Madrid;1;0;17;5;66;728;90;10;1;0;8;1;1;2;1;0;0;0;1
18/4/23;Real Madrid;0;0;9;6;45;476;87;8;1;0;2;0;2;2;1;0;0;1;0
15/4/23;Real Madrid;1;0;35;11;70;700;91;7;0;0;9;0;2;2;1;0;0;1;0
12/4/23;Real Madrid;0;0;18;10;57;643;89;10;3;0;3;1;1;2;1;0;0;0;1
8/4/23;Real Madrid;1;0;18;4;49;432;88;8;0;0;6;1;1;2;0;0;1;0;1
5/4/23;Real Madrid;19;0;9;7;47;400;85;8;4;0;1;1;3;4;1;0;0;1;0
2/4/23;Real Madrid;1;3;29;17;60;544;86;17;0;0;9;4;2;6;1;0;0;0;1
19/3/23;Real Madrid;1;3;11;3;45;484;85;13;3;0;1;1;0;1;0;0;1;1;0
15/3/23;Real Madrid;0;0;17;8;54;533;85;7;0;0;5;0;1;1;1;0;0;0;1
11/3/23;Real Madrid;1;0;22;7;71;639;91;12;3;0;7;2;1;3;1;0;0;0;1
5/3/23;Real Madrid;1;1;15;5;63;673;89;13;4;0;3;0;0;0;0;1;0;1;0
2/3/23;Real Madrid;19;3;13;0;65;680;87;16;3;0;11;0;0;0;0;0;1;0;1
25/2/23;Real Madrid;1;0;18;7;62;630;90;10;3;0;7;0;1;1;0;1;0;0;1
21/2/23;Real Madrid;0;0;9;6;48;527;85;9;1;0;3;2;3;5;1;0;0;1;0
18/2/23;Real Madrid;1;0;11;6;53;509;86;7;2;0;5;0;2;2;1;0;0;1;0
15/2/23;Real Madrid;1;0;26;13;73;820;91;5;1;0;6;3;1;4;1;0;0;0;1
11/2/23;Real Madrid;20;0;17;11;67;864;93;10;0;0;6;2;3;5;1;0;0;0;1
30/9/24;Villareal;1;1;7;3;58;625;90;11;4;0;2;0;0;0;0;0;1;1;0
26/9/24;Villareal;1;1;15;4;43;400;84;14;3;0;1;0;0;0;1;0;0;1;0
22/9/24;Villareal;1;0;17;10;65;613;90;12;1;0;3;0;0;0;1;0;0;1;0
14/9/24;Villareal;1;1;21;4;46;387;80;10;3;0;6;0;0;0;1;0;0;1;0
