Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Thomas Dähne-KSV Holstein;Timo Becker-KSV Holstein;Carl Johansson-KSV Holstein;David Zec-KSV Holstein;Lasse Rosenboom-KSV Holstein;Nicolai Remberg-KSV Holstein;Armin Gigović-KSV Holstein;John Tolkin-KSV Holstein;Steven Skrzybski-KSV Holstein;Alexander Bernhardsson-KSV Holstein;Shuto Machino-KSV Holstein;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Marko Ivezić-KSV Holstein;Marco Komenda-KSV Holstein;Magnus Knudsen-KSV Holstein;Finn Porath-KSV Holstein;Phil Harres-KSV Holstein;Timon Weiner-KSV Holstein;Max Geschwill-KSV Holstein;Dominik Javorček-KSV Holstein;Ivan Nekić-KSV Holstein;Lewis Holtby-KSV Holstein;Fiete Arp-KSV Holstein;Andu Kelati-KSV Holstein;Marvin Schulz-KSV Holstein;Patrick Erras-KSV Holstein;Tymoteusz Puchacz-KSV Holstein;Benedikt Pichler-KSV Holstein;Marcel Engelhardt-KSV Holstein;Tom Rothe-KSV Holstein;Philipp Sander-KSV Holstein;Colin Kleine-Bekel-KSV Holstein;Joshua Mees-KSV Holstein;Jonas Sterner-KSV Holstein;Hólmbert Friðjónsson-KSV Holstein;Ba-Muaka Simakala-KSV Holstein;Stefan Thesker-KSV Holstein;Fabian Reese-KSV Holstein;Fin Bartels-KSV Holstein;Hauke Wahl-KSV Holstein;Mikkel Kirkeskov-KSV Holstein;Alexander Mühling-KSV Holstein;Kwasi Okyere Wriedt-KSV Holstein;Robin Himmelmann-KSV Holstein;Simon Lorenz-KSV Holstein;Tim Schreiber-KSV Holstein;Marvin Obuz-KSV Holstein;Julian Korb-KSV Holstein;Aleksandar Ignjovski-KSV Holstein;Johannes van den Bergh-KSV Holstein
2025-02-16;KSV Holstein;9;30;17;177;87;Frankfurt;0;2;10;20;4;9;0.48;0.52;492;0.85;10;16;0;2;0;0;6;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;4;0.026;0.0;418;0.0239234449760765;870.8333333333334;0.6;12.5;-10;-0.04;2;-2;-6;0.0203252032520325;0.1;0.48;6.0;0;1;1;0;0;1;1;0;0.1;0.25;0.0020325203252032;10.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;KSV Holstein;9;9;3;177;23;Bayern;1;1;10;29;6;12;0.28;0.72;298;0.8;10;7;1;1;0;0;1;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;12;0.0248275862068965;0.1;238;0.042016806722689;849.9999999999999;0.1;3.571428571428571;-19;-0.4399999999999999;-11;0;3;0.0335570469798657;0.3;0.0933333333333333;0.3333333333333333;0;3;3;0;0;1;1;0;0.3;0.5;0.0100671140939597;3.333333333333333;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;KSV Holstein;9;17;22;177;175;Wolfsburg;4;2;5;22;2;5;0.29;0.71;280;0.72;10;9;4;2;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;10;0.0322727272727272;0.4;202;0.0495049504950495;696.551724137931;0.6;10.344827586206897;-17;-0.42;-7;2;1;0.0178571428571428;0.4;0.145;1.5;1;1;2;0;1;0;1;0;0.4;1.0;0.0071428571428571;2.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;KSV Holstein;9;17;3;177;97;Hoffenheim;2;1;12;11;3;6;0.54;0.46;407;0.71;13;13;2;1;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;3;0.0418181818181818;0.1538461538461538;289;0.0449826989619377;535.1851851851851;0.3333333333333333;7.4074074074074066;1;0.08;1;1;0;0.0294840294840294;0.0833333333333333;0.54;4.0;0;1;1;0;0;1;0;1;0.0833333333333333;0.3333333333333333;0.0024570024570024;12.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;KSV Holstein;9;17;3;177;170;Friburgo;3;2;14;14;7;5;0.49;0.51;438;0.81;12;9;3;2;0;0;1;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0364285714285714;0.25;355;0.0338028169014084;724.4897959183673;0.0714285714285714;2.0408163265306123;0;-0.02;-6;1;3;0.0319634703196347;0.1428571428571428;0.245;0.5;0;2;2;0;0;1;1;0;0.1428571428571428;0.2857142857142857;0.0045662100456621;7.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;KSV Holstein;9;29;2;177;173;Augsburgo;0;4;8;17;6;4;0.37;0.63;295;0.72;11;13;0;4;0;0;3;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;8;0.0370588235294117;0.0;212;0.0518867924528301;572.972972972973;0.375;8.108108108108109;-9;-0.26;-5;-4;-2;0.0271186440677966;0.625;0.074;0.6;4;1;5;1;0;0;0;1;0.625;0.8333333333333334;0.0169491525423728;1.6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;KSV Holstein;9;2;3;177;172;Mönchengladbach;1;1;12;17;3;6;0.43;0.57;414;0.78;14;10;1;1;0;0;2;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;5;0.0335294117647058;0.0714285714285714;323;0.0433436532507739;751.1627906976744;0.1666666666666666;4.651162790697675;-5;-0.1399999999999999;-3;0;4;0.0289855072463768;0.0833333333333333;0.43;2.0;1;0;1;0;0;1;1;0;0.0833333333333333;0.3333333333333333;0.002415458937198;12.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;KSV Holstein;9;2;2;177;31;RB Leipzig;4;3;17;9;5;5;0.56;0.44;484;0.79;11;13;4;3;0;0;6;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1;0.0488888888888888;0.3636363636363636;382;0.0287958115183246;682.1428571428571;0.3529411764705882;10.714285714285714;8;0.12;5;1;-2;0.0351239669421487;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-29;KSV Holstein;9;2;6;177;176;St. Pauli;5;2;10;11;3;4;0.52;0.48;454;0.78;11;10;5;2;0;0;4;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4;0.0436363636363636;0.4545454545454545;354;0.0310734463276836;680.7692307692307;0.4;7.692307692307692;-1;0.04;0;3;1;0.0220264317180616;0.1;0.52;4.0;0;1;1;0;0;1;1;0;0.1;0.3333333333333333;0.0022026431718061;10.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;KSV Holstein;9;30;17;177;174;Mainz 05;1;0;7;18;2;7;0.38;0.62;350;0.75;11;7;1;0;0;0;2;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;6;0.0344444444444444;0.0909090909090909;262;0.0419847328244274;689.4736842105264;0.2857142857142857;5.2631578947368425;-11;-0.24;-4;1;4;0.02;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
