Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;André Onana-Manchester United;Victor Lindelöf-Manchester United;Harry Maguire-Manchester United;Leny Yoro-Manchester United;Noussair Mazraoui-Manchester United;Manuel Ugarte Ribeiro-Manchester United;Casemiro-Manchester United;Patrick Dorgu-Manchester United;Alejandro Garnacho-Manchester United;Bruno Miguel Borges Fernandes-Manchester United;Rasmus Højlund-Manchester United;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Altay Bayındır-Manchester United;Tyler Fredricson-Manchester United;Matthijs de Ligt-Manchester United;Luke Shaw-Manchester United;Kobbie Mainoo-Manchester United;Harry Amass-Manchester United;Mason Mount-Manchester United;Chido Obi-Manchester United;Christian Eriksen-Manchester United;Diogo Dalot-Manchester United;Joshua Zirkzee-Manchester United;Ayden Heaven-Manchester United;Amad Diallo-Manchester United;Lisandro Martínez-Manchester United;Toby Collyer-Manchester United;Tyrell Malacia-Manchester United;Antony dos Santos-Manchester United;Marcus Rashford-Manchester United;Jonny Evans-Manchester United;Aaron Wan-Bissaka-Manchester United;Jadon Sancho-Manchester United;Tom Heaton-Manchester United;Scott McTominay-Manchester United;Sam Murray-Manchester United;Ethan Wheatley-Manchester United;Radek Vítek-Manchester United;Will Fish-Manchester United;Ethan Williams-Manchester United;Hannibal Mejbri-Manchester United;Raphaël Varane-Manchester United;Sofyan Amrabat-Manchester United;Willy Kambwala-Manchester United;Omari Forson-Manchester United;Sergio Reguilón-Manchester United;Anthony Martial-Manchester United;Facundo Pellistri-Manchester United;Álvaro Carreras-Manchester United;Daniel Gore-Manchester United;Donny van de Beek-Manchester United;Brandon Williams-Manchester United;Nathan Bishop-Manchester United;Marc Jurado-Manchester United;Shola Shoretire-Manchester United;Isak Hansen-Aarøen-Manchester United;Joe Hugill-Manchester United;Matěj Kovář-Manchester United;David de Gea-Manchester United;Frederico Rodrigues Santos-Manchester United
2025-03-16;Manchester United;3;17;17;62;63;Leicester City;0;2;18;11;5;3;0.46;0.54;461;0.77;6;6;0;2;0;0;4;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;6;0.049090909090909095;0.0;355;0.016901408450704224;771.7391304347826;0.2222222222222222;8.695652173913043;7;-0.08000000000000002;-2;-2;0;0.039045553145336226;0.16666666666666666;0.15333333333333335;1.3333333333333333;1;2;3;1;0;0;1;0;0.16666666666666666;0.6;0.006507592190889371;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Manchester United;5;17;0;62;46;Real Sociedad;2;8;25;8;10;3;0.6;0.4;475;0.83;6;13;2;7;0;1;6;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.05;0.3333333333333333;394;0.015228426395939087;656.6666666666667;0.24;10.0;17;0.19999999999999996;2;-6;-7;0.05263157894736842;0.16;0.15;1.5;1;3;4;1;0;0;0;1;0.16;0.4;0.008421052631578947;6.25;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Manchester United;3;17;0;62;9;Arsenal;0;1;10;17;6;6;0.31;0.69;275;0.75;8;11;0;1;0;0;2;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;9;0.04058823529411765;0.0;206;0.038834951456310676;664.516129032258;0.2;6.451612903225807;-7;-0.37999999999999995;-7;-1;-3;0.03636363636363636;0.1;0.31;2.0;1;0;1;0;1;0;0;1;0.1;0.16666666666666666;0.0036363636363636364;10.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Manchester United;5;6;0;62;46;Real Sociedad;1;1;13;13;5;3;0.45;0.55;373;0.78;13;11;1;1;0;0;2;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;6;0.04230769230769231;0.07692307692307693;291;0.044673539518900345;646.6666666666666;0.15384615384615385;4.444444444444445;0;-0.10000000000000003;-4;0;2;0.03485254691689008;0.07692307692307693;0.45;2.0;0;1;1;0;1;0;1;0;0.07692307692307693;0.2;0.002680965147453083;13.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Manchester United;15;17;3;62;58;Fulham;1;2;20;12;9;5;0.4;0.6;452;0.76;10;13;1;2;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;8;0.049999999999999996;0.1;344;0.029069767441860465;860.0;0.25;12.5;8;-0.19999999999999996;-3;-1;-3;0.04424778761061947;0.05;0.4;5.0;0;1;1;0;1;0;0;1;0.05;0.1111111111111111;0.0022123893805309734;20.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Manchester United;3;17;17;62;66;Ipswich;5;4;10;12;6;3;0.44;0.56;364;0.81;9;16;4;4;1;0;5;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;6;0.04666666666666667;0.5555555555555556;295;0.030508474576271188;670.4545454545455;0.5;11.363636363636363;-2;-0.12000000000000005;-1;1;-7;0.027472527472527472;0.3;0.14666666666666667;1.6666666666666667;2;1;3;1;0;0;0;1;0.3;0.5;0.008241758241758242;3.3333333333333335;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Manchester United;3;17;3;62;64;Everton;1;4;9;9;3;8;0.63;0.37;533;0.85;9;12;1;4;0;0;8;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.04111111111111111;0.1111111111111111;453;0.019867549668874173;719.047619047619;0.8888888888888888;12.698412698412698;0;0.26;1;-3;-3;0.016885553470919325;0.2222222222222222;0.315;4.0;0;2;2;0;1;0;1;0;0.2222222222222222;0.6666666666666666;0.00375234521575985;4.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Manchester United;3;17;0;62;56;Tottenham;2;1;16;22;6;7;0.44;0.56;412;0.83;9;13;2;1;0;0;5;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;10;0.025454545454545455;0.2222222222222222;342;0.02631578947368421;777.2727272727273;0.3125;11.363636363636363;-6;-0.12000000000000005;-5;1;-4;0.038834951456310676;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Manchester United;15;6;3;62;63;Leicester City;1;0;13;6;4;3;0.56;0.44;578;0.84;10;11;1;0;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1;0.07333333333333333;0.1;486;0.0205761316872428;867.8571428571428;0.46153846153846156;10.714285714285714;7;0.12000000000000005;5;1;-1;0.02249134948096886;0.15384615384615385;0.28;3.0;0;2;2;1;0;0;0;1;0.15384615384615385;0.5;0.0034602076124567475;6.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Manchester United;3;6;17;62;65;Crystal Palace;3;1;17;11;2;3;0.67;0.33;563;0.82;12;13;3;1;0;0;11;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0;0.030000000000000002;0.25;462;0.025974025974025976;689.5522388059701;0.6470588235294118;16.417910447761194;6;0.34;11;2;-1;0.03019538188277087;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
