Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Ørjan Nyland-Sevilla;José Ángel Carmona-Sevilla;Loïc Badé-Sevilla;Ramón Martínez Gil-Sevilla;Adrià Pedrosa-Sevilla;Lucien Agoumé-Sevilla;Nemanja Gudelj-Sevilla;Dodi Lukébakio-Sevilla;Peque-Sevilla;Chidera Ejuke-Sevilla;Isaac Romero-Sevilla;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Kike Salas-Sevilla;Djibril Sow-Sevilla;Albert Sambi Lokonga-Sevilla;Akor Adams-Sevilla;Ruben Vargas-Sevilla;Juanlu Sánchez Velasco-Sevilla;Saúl Ñíguez-Sevilla;Gonzalo Montiel-Sevilla;Marcão do Nascimento-Sevilla;Stanis Idumbo Muzambo-Sevilla;Álvaro Fernández Llorente-Sevilla;Manu Bueno-Sevilla;Jesús Navas-Sevilla;Kelechi Iheanacho-Sevilla;Andrés López Gallo-Sevilla;Valentín Barco-Sevilla;Suso-Sevilla;Tanguy Nianzou-Sevilla;Lucas Ocampos-Sevilla;Darío Benavides-Sevilla;Alberto Collado-Sevilla;Sergio Ramos-Sevilla;Boubakary Soumaré-Sevilla;Youssef En-Nesyri-Sevilla;Marcos Acuña-Sevilla;Erik Lamela-Sevilla;Óliver Torres-Sevilla;Hannibal Mejbri-Sevilla;Marko Dmitrović-Sevilla;Joan Jordán-Sevilla;Alberto Flores-Sevilla;Ivan Rakitić-Sevilla;Rafa Mir-Sevilla;Federico Gattoni-Sevilla;Adnan Januzaj-Sevilla;Fernando Reges-Sevilla;Mariano Díaz Mejía-Sevilla;Yassine Bounou-Sevilla;Iván Romero-Sevilla;Alejandro Darío Gómez-Sevilla;Diego Hormigo-Sevilla;Pape Gueye-Sevilla;Alex Telles-Sevilla;Bryan Gil-Sevilla;Karim Rekik-Sevilla
2025-02-01;Sevilla;1;0;1;43;48;Getafe;6;4;13;7;1;1;0.55;0.45;383;0.79;12;15;6;4;0;0;5;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.0642857142857143;0.5;303;0.039603960396039604;550.9090909090909;0.38461538461538464;9.09090909090909;6;0.10000000000000003;-1;2;-3;0.033942558746736295;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Sevilla;1;0;1;43;49;RCD Espanyol;1;4;25;6;4;1;0.75;0.25;654;0.87;13;14;1;4;0;0;5;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1;0.041666666666666664;0.07692307692307693;569;0.022847100175746926;758.6666666666666;0.2;6.666666666666667;19;0.5;4;-3;-1;0.0382262996941896;0.04;0.75;5.0;0;1;1;0;1;0;0;1;0.04;0.25;0.0015290519877675841;25.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Sevilla;1;3;3;43;24;Girona;4;0;14;7;6;4;0.39;0.61;348;0.85;15;6;4;0;0;0;4;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;7;0.08714285714285715;0.26666666666666666;296;0.05067567567567568;758.9743589743589;0.2857142857142857;10.256410256410255;7;-0.21999999999999997;-3;4;9;0.040229885057471264;0.14285714285714285;0.195;2.0;0;2;2;1;0;0;1;0;0.14285714285714285;0.3333333333333333;0.005747126436781609;7.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Sevilla;1;3;3;43;52;Valencia C. F.;1;2;15;5;5;1;0.54;0.46;447;0.82;16;8;1;2;0;0;10;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.092;0.0625;367;0.043596730245231606;679.6296296296296;0.6666666666666666;18.51851851851852;10;0.08000000000000002;9;-1;8;0.03355704697986577;0.06666666666666667;0.54;10.0;0;1;1;0;1;0;0;1;0.06666666666666667;0.2;0.0022371364653243847;15.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Sevilla;19;0;3;43;126;Almería;1;3;15;14;4;6;0.52;0.48;437;0.85;18;10;1;3;0;0;5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2;0.03428571428571429;0.05555555555555555;371;0.04851752021563342;713.4615384615385;0.3333333333333333;9.615384615384615;1;0.040000000000000036;3;-2;8;0.034324942791762014;0.06666666666666667;0.52;5.0;1;0;1;0;0;1;1;0;0.06666666666666667;0.25;0.002288329519450801;15.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Sevilla;1;1;3;43;12;Real Madrid;2;1;10;16;5;8;0.4;0.6;426;0.87;14;5;2;1;0;0;6;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;6;0.0375;0.14285714285714285;371;0.03773584905660377;927.5;0.6;15.0;-6;-0.19999999999999996;0;1;9;0.023474178403755867;0.2;0.2;3.0;1;1;2;0;0;1;1;0;0.2;0.4;0.004694835680751174;5.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Sevilla;1;0;6;43;44;Celta de Vigo;7;3;8;10;3;2;0.44;0.56;424;0.8;12;9;7;3;0;0;3;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4;0.05600000000000001;0.5833333333333334;339;0.035398230088495575;770.4545454545455;0.375;6.818181818181818;-2;-0.12000000000000005;-1;4;3;0.018867924528301886;0.125;0.44;3.0;0;1;1;1;0;0;0;1;0.125;0.3333333333333333;0.0023584905660377358;8.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Sevilla;1;0;1;43;27;Atlético Madrid;3;4;4;14;3;9;0.42;0.58;514;0.82;8;11;3;4;0;0;3;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;5;0.041428571428571426;0.375;421;0.019002375296912115;1002.3809523809524;0.75;7.142857142857143;-10;-0.15999999999999998;-2;-1;-3;0.007782101167315175;0.75;0.13999999999999999;1.0;2;1;3;0;0;1;1;0;0.75;1.0;0.005836575875486381;1.3333333333333333;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-05;Sevilla;19;0;1;43;-1;Olot;4;1;12;17;5;5;0.59;0.41;483;0.88;16;12;4;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7;0.02411764705882353;0.25;425;0.03764705882352941;720.3389830508474;0.08333333333333333;1.6949152542372883;-5;0.18;-6;3;4;0.024844720496894408;0.25;0.19666666666666666;0.3333333333333333;1;2;3;1;0;0;1;0;0.25;0.6;0.006211180124223602;4.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-02;Sevilla;1;0;0;43;41;Osasuna;1;1;12;7;5;3;0.65;0.35;478;0.82;11;15;1;1;0;0;5;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1;0.049999999999999996;0.09090909090909091;392;0.02806122448979592;603.0769230769231;0.4166666666666667;7.692307692307692;5;0.30000000000000004;4;0;-4;0.02510460251046025;0.08333333333333333;0.65;5.0;0;1;1;0;1;0;0;1;0.08333333333333333;0.2;0.0020920502092050207;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
