Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dinko Horkaš-U. D. Las Palmas;Viti Rozada-U. D. Las Palmas;Álex Suárez-U. D. Las Palmas;Scott McKenna-U. D. Las Palmas;Mika Mármol-U. D. Las Palmas;Javi Muñoz Jiménez-U. D. Las Palmas;Dário Essugo-U. D. Las Palmas;Stefan Bajčetić-U. D. Las Palmas;Alberto Moleiro-U. D. Las Palmas;Oliver McBurnie-U. D. Las Palmas;Fábio Silva-U. D. Las Palmas;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sandro Ramírez-U. D. Las Palmas;Juanma Herzog-U. D. Las Palmas;Jasper Cillessen-U. D. Las Palmas;José Gómez Campaña-U. D. Las Palmas;Álex Muñoz-U. D. Las Palmas;Enzo Loiodice-U. D. Las Palmas;Manu Fuster-U. D. Las Palmas;Andy Pelmard-U. D. Las Palmas;Kirian Rodríguez-U. D. Las Palmas;Marvin Park-U. D. Las Palmas;Adnan Januzaj-U. D. Las Palmas;Jaime Mata-U. D. Las Palmas;Benito Ramírez del Toro-U. D. Las Palmas;Fabio González-U. D. Las Palmas;Iván Gil Calero-U. D. Las Palmas;Marc Cardona-U. D. Las Palmas;Valentín Pezzolesi-U. D. Las Palmas;Pejiño-U. D. Las Palmas;Daley Sinkgraven-U. D. Las Palmas;Álvaro Valles-U. D. Las Palmas;Álvaro Lemos-U. D. Las Palmas;Saúl Coco-U. D. Las Palmas;Munir El Haddadi-U. D. Las Palmas;Julián Araujo-U. D. Las Palmas;Sergi Cardona-U. D. Las Palmas;Sory Kaba-U. D. Las Palmas;Máximo Perrone-U. D. Las Palmas;Aarón Escandell-U. D. Las Palmas;Aboubacar Bassinga-U. D. Las Palmas;Omenuke Mfulu-U. D. Las Palmas;Cristian Herrera-U. D. Las Palmas;Éric Curbelo-U. D. Las Palmas;Gustavo Yadam Santana Hernández-U. D. Las Palmas;Jonathan Viera-U. D. Las Palmas;Álvaro Jiménez-U. D. Las Palmas;Enrique Clemente Maza-U. D. Las Palmas;Sidnei Rechel da Silva Junior-U. D. Las Palmas;Loren Morón-U. D. Las Palmas;Wilfrid Kaptoum-U. D. Las Palmas;Florin Andone-U. D. Las Palmas;Óscar Clemente-U. D. Las Palmas;Álex Domínguez-U. D. Las Palmas;Joel del Pino-U. D. Las Palmas;Joaquín Felipe González Rodríguez-U. D. Las Palmas;Saliou Mandiang-U. D. Las Palmas
2025-02-16;U. D. Las Palmas;1;3;3;50;40;R.C.D. Mallorca;4;1;9;14;4;5;0.52;0.48;429;0.81;13;7;4;1;0;0;5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;3;0.0342857142857142;0.3076923076923077;347;0.0374639769452449;667.3076923076923;0.5555555555555556;9.615384615384617;-5;0.04;2;3;6;0.0209790209790209;0.1111111111111111;0.52;5.0;0;1;1;0;0;1;1;0;0.1111111111111111;0.25;0.0023310023310023;9.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;U. D. Las Palmas;1;3;1;50;37;Villarreal;6;3;20;9;4;4;0.58;0.42;471;0.82;12;12;6;3;0;0;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;5;0.0466666666666666;0.5;386;0.0310880829015544;665.5172413793103;0.3;10.344827586206897;11;0.1599999999999999;1;3;0;0.0424628450106157;0.05;0.58;6.0;0;1;1;0;0;1;0;1;0.05;0.25;0.0021231422505307;20.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;U. D. Las Palmas;1;3;3;50;24;Girona;3;2;10;12;2;4;0.54;0.46;497;0.84;12;12;3;2;0;0;3;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;11;0.0383333333333333;0.25;417;0.0287769784172661;772.2222222222222;0.3;5.555555555555555;-2;0.08;-8;1;0;0.0201207243460764;0.1;0.54;3.0;0;1;1;0;0;1;1;0;0.1;0.5;0.0020120724346076;10.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;U. D. Las Palmas;1;3;7;50;41;Osasuna;6;8;16;16;7;4;0.52;0.48;403;0.79;14;17;5;8;1;0;4;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.03;0.4285714285714285;318;0.0440251572327044;611.5384615384615;0.25;7.692307692307692;0;0.04;2;-2;-3;0.0397022332506203;0.0625;0.52;4.0;0;1;1;0;1;0;0;1;0.0625;0.1428571428571428;0.0024813895781637;16.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;U. D. Las Palmas;1;5;3;50;12;Real Madrid;2;0;6;26;2;13;0.38;0.62;356;0.82;13;11;1;0;1;0;2;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;8;0.0238461538461538;0.1538461538461538;292;0.0445205479452054;768.421052631579;0.3333333333333333;5.2631578947368425;-20;-0.24;-6;2;2;0.0168539325842696;0.1666666666666666;0.38;2.0;1;0;1;0;0;1;1;0;0.1666666666666666;0.5;0.0028089887640449;6.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;U. D. Las Palmas;1;3;1;50;48;Getafe;2;3;15;12;7;3;0.64;0.36;456;0.8;14;17;2;3;0;0;4;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.03;0.1428571428571428;365;0.0383561643835616;570.3125;0.2666666666666666;6.25;3;0.28;-1;-1;-3;0.0328947368421052;0.0666666666666666;0.64;4.0;0;1;1;0;0;1;0;1;0.0666666666666666;0.1428571428571428;0.0021929824561403;15.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;U. D. Las Palmas;19;8;3;50;123;Elche C. F.;1;5;6;16;2;8;0.47;0.53;443;0.82;13;16;1;5;0;0;4;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.033125;0.0769230769230769;363;0.0358126721763085;772.3404255319149;0.6666666666666666;8.51063829787234;-10;-0.06;1;-4;-3;0.0135440180586907;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;U. D. Las Palmas;1;0;7;50;49;RCD Espanyol;4;2;10;9;4;2;0.58;0.42;490;0.87;9;16;4;2;0;0;2;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;2;0.0466666666666666;0.4444444444444444;426;0.0211267605633802;734.4827586206897;0.2;3.4482758620689657;1;0.1599999999999999;0;2;-7;0.0204081632653061;0.1;0.58;2.0;0;1;1;1;0;0;0;1;0.1;0.25;0.0020408163265306;10.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;U. D. Las Palmas;1;3;7;50;46;Real Sociedad;3;2;9;15;3;4;0.38;0.62;275;0.67;12;17;3;2;0;0;6;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;8;0.0413333333333333;0.25;184;0.0652173913043478;484.2105263157895;0.6666666666666666;15.789473684210526;-6;-0.24;-2;1;-5;0.0327272727272727;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;U. D. Las Palmas;1;3;7;50;51;Valladolid;4;2;11;9;5;2;0.58;0.42;510;0.84;17;13;4;2;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.0466666666666666;0.2352941176470588;428;0.0397196261682243;737.9310344827587;0.2727272727272727;5.172413793103448;2;0.1599999999999999;0;2;4;0.0215686274509803;0.1818181818181818;0.29;1.5;1;1;2;1;0;0;0;1;0.1818181818181818;0.4;0.0039215686274509;5.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
