Fecha;Equipo;Torneo;Alineacion;Remates;Remates al arco;Posesión;Pases;Precisión de los pases;Faltas;Tarjetas amarillas;Tarjetas rojas;Tiros de esquina;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local
18/2/23;Udinese;4;2;9;1;40;359;81;14;2;0;8;1;0;1;0;0;1;1;0
12/2/23;Udinese;4;23;17;8;47;394;87;12;2;0;10;2;0;2;0;1;0;0;1
5/2/23;Udinese;4;2;11;3;44;358;76;8;2;0;5;0;0;0;0;0;1;1;0
30/1/23;Udinese;4;2;26;8;56;399;78;9;1;0;14;1;0;1;0;1;0;0;1
22/1/23;Udinese;4;2;14;5;45;344;77;17;1;0;6;0;1;1;1;0;0;1;0
15/1/23;Udinese;4;2;20;4;51;379;78;10;1;0;6;1;0;1;0;0;1;0;1
7/1/23;Udinese;4;2;11;3;49;454;86;13;2;0;4;0;0;0;0;0;1;1;0
4/1/23;Udinese;4;2;21;3;61;498;88;15;2;0;8;0;1;1;0;1;0;0;1
12/11/22;Udinese;4;2;10;4;36;367;80;13;3;0;3;0;2;2;0;0;1;1;0
8/11/22;Udinese;4;2;10;2;51;436;80;12;3;0;0;1;0;1;0;1;0;1;0
4/11/22;Udinese;4;2;16;5;58;456;77;12;2;0;3;0;1;1;0;1;0;0;1
30/10/22;Udinese;4;2;13;3;60;532;82;9;0;0;4;0;0;0;0;1;0;1;0
23/10/22;Udinese;4;2;15;4;55;418;82;12;2;0;7;1;0;1;0;0;1;0;1
19/10/22;Udinese;-1;2;22;5;52;480;87;15;2;0;7;0;2;2;0;0;1;0;1
16/10/22;Udinese;4;2;12;2;45;393;80;11;4;0;3;0;0;0;0;1;0;1;0
9/10/22;Udinese;4;2;10;2;59;502;83;11;2;0;5;0;2;2;0;1;0;0;1
3/10/22;Udinese;4;2;21;8;69;553;85;11;3;0;9;0;2;2;1;0;0;1;0
18/9/22;Udinese;4;2;20;6;43;333;75;11;3;0;7;1;2;3;1;0;0;0;1
11/9/22;Udinese;4;2;17;4;68;557;89;16;3;0;6;0;3;3;1;0;0;1;0
