Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Cleiton Schwengber-Bragantino;José Andrés Hurtado-Bragantino;Pedro Henrique-Bragantino;Guzmán Rodríguez-Bragantino;Juninho Capixaba-Bragantino;Ramires-Bragantino;Gabriel Girotto Franco-Bragantino;Lucas Barbosa-Bragantino;Jhonatan dos Santos Rosa-Bragantino;Vinicinho-Bragantino;Eduardo Sasha-Bragantino;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucão-Bragantino;Henry Mosquera-Bragantino;Matheus Fernandes-Bragantino;Fábio Silva de Freitas-Bragantino;Ignacio Laquintana-Bragantino;Isidro Pitta-Bragantino;Eduardo Santos-Bragantino;Lucas Evangelista Santana de Oliveira-Bragantino;Agustín Sant'Anna-Bragantino;Guilherme Lopes de Almeida-Bragantino;Jadsom-Bragantino;Vinicius dos Santos Lago-Bragantino;Gustavinho-Bragantino;Thiago Borbas-Bragantino;Lucas Cunha-Bragantino;Lincoln Henrique Oliveira dos Santos-Bragantino;Vitor Hugo Naum dos Santos-Bragantino;Luan Cândido-Bragantino;Ivan Cavaleiro-Bragantino;Douglas Mendes-Bragantino;Raul Lô Gonçalves-Bragantino;Helinho-Bragantino;Fabrício-Bragantino;Nathan-Bragantino;Léo Realpe-Bragantino;Talisson de Almeida-Bragantino;Bruno Gonçalves-Bragantino;Leonardo Rech Ortiz-Bragantino;Aderlan Silva-Bragantino;Matheus Gonçalves-Bragantino;Luan Patrick-Bragantino;Lucas Rafael-Bragantino;Alerrandro-Bragantino;Yani Quintero-Bragantino;Marcos Vinicios-Bragantino;Cipriano-Bragantino;Natan Bernardo de Souza-Bragantino;Artur Victor Guimarães-Bragantino;Werik Popó-Bragantino;Nathan Camargo-Bragantino;Maycon Cleiton de Paula Azevedo-Bragantino;Kevin Lomónaco-Bragantino;Bruno Praxedes-Bragantino;Gabriel Novaes-Bragantino;Miguel Silveira-Bragantino;Carlos Eduardo Ferreira de Souza-Bragantino;Hyoran-Bragantino
2025-02-23;Bragantino;27;6;29;659;666;Ponte Preta;7;2;9;18;2;2;0.36;0.64;287;0.72;13;6;7;2;0;0;3;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;7;0.0355555555555555;0.5384615384615384;207;0.0628019323671497;575.0;0.3333333333333333;8.333333333333334;-9;-0.28;-4;5;7;0.0313588850174216;0.2222222222222222;0.18;1.5;2;0;2;1;0;0;1;0;0.2222222222222222;1.0;0.0069686411149825;4.5;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Bragantino;27;0;3;659;670;Mirassol;1;3;13;17;7;3;0.45;0.55;397;0.83;8;10;1;3;0;0;2;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;11;0.0323529411764705;0.125;330;0.0242424242424242;733.3333333333334;0.1538461538461538;4.444444444444445;-4;-0.1;-9;-2;-2;0.0327455919395466;0.2307692307692307;0.15;0.6666666666666666;2;1;3;1;0;0;0;1;0.2307692307692307;0.4285714285714285;0.0075566750629722;4.333333333333333;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Bragantino;27;0;1;659;-1;Esporte Clube Noroeste;0;0;20;7;5;3;0.58;0.42;488;0.85;7;5;0;0;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;7;0.06;0.0;415;0.016867469879518;715.5172413793103;0.3;10.344827586206897;13;0.1599999999999999;-1;0;2;0.040983606557377;0.1;0.29;3.0;1;1;2;1;0;0;0;1;0.1;0.4;0.0040983606557377;10.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-11;Bragantino;27;0;6;659;673;Botafogo RP;1;1;10;11;2;4;0.66;0.34;484;0.83;7;9;1;1;0;0;7;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.0309090909090909;0.1428571428571428;402;0.017412935323383;609.090909090909;0.7;10.606060606060606;-1;0.32;2;0;-2;0.0206611570247933;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Bragantino;27;14;3;659;201;São Paulo;2;2;11;8;3;0;0.36;0.64;262;0.8;11;17;1;2;1;0;8;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;7;0.08;0.1818181818181818;210;0.0523809523809523;583.3333333333334;0.7272727272727273;22.22222222222222;3;-0.28;1;0;-6;0.0419847328244274;0.0909090909090909;0.36;8.0;1;0;1;1;0;0;0;1;0.0909090909090909;0.3333333333333333;0.0038167938931297;11.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Bragantino;27;3;17;659;669;Associação Atlética Internacional;2;2;11;11;3;3;0.66;0.34;466;0.83;11;16;2;2;0;0;6;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2;0.0309090909090909;0.1818181818181818;387;0.0284237726098191;586.3636363636364;0.5454545454545454;9.09090909090909;0;0.32;4;0;-5;0.0236051502145922;0.0909090909090909;0.66;6.0;1;0;1;0;1;0;1;0;0.0909090909090909;0.3333333333333333;0.0021459227467811;11.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-31;Bragantino;27;7;6;659;671;Novorizontino;2;1;22;11;12;7;0.71;0.29;569;0.86;6;5;2;1;0;0;12;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2;0.0263636363636363;0.3333333333333333;489;0.0122699386503067;688.7323943661972;0.5454545454545454;16.901408450704228;11;0.42;10;1;1;0.0386643233743409;0.0454545454545454;0.71;12.0;1;0;1;0;0;1;0;1;0.0454545454545454;0.0833333333333333;0.0017574692442882;22.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-28;Bragantino;27;3;3;659;217;Palmeiras;4;3;14;14;5;0;0.44;0.56;318;0.79;14;14;4;3;0;0;8;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;9;0.04;0.2857142857142857;251;0.0557768924302788;570.4545454545455;0.5714285714285714;18.181818181818183;0;-0.12;-1;1;0;0.0440251572327044;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Bragantino;27;3;8;659;667;Água Santa;5;0;10;7;2;5;0.49;0.51;362;0.84;10;16;4;0;1;0;4;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;2;0.0728571428571428;0.5;304;0.0328947368421052;620.4081632653061;0.4;8.16326530612245;3;-0.02;2;5;-6;0.0276243093922651;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Bragantino;27;0;6;659;-1;Associação Esportiva Velo Clube Rioclarense;3;1;14;6;2;0;0.7;0.3;522;0.83;13;12;3;1;0;0;4;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3;0.0499999999999999;0.2307692307692307;433;0.0300230946882217;618.5714285714286;0.2857142857142857;5.714285714285714;8;0.3999999999999999;1;2;1;0.0268199233716475;0.0714285714285714;0.7;4.0;0;1;1;1;0;0;0;1;0.0714285714285714;0.5;0.0019157088122605;14.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
