Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Léo Jardim-Vasco da Gama;Paulo-Vasco da Gama;João Victor-Vasco da Gama;Luiz Gustavo Marinho Ribeiro dos Santos-Vasco da Gama;Lucas Piton-Vasco da Gama;Hugo Moura-Vasco da Gama;Tchê Tchê-Vasco da Gama;Mateus Carvalho-Vasco da Gama;Philippe Coutinho-Vasco da Gama;Rayan-Vasco da Gama;Pablo Vegetti-Vasco da Gama;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucas Freitas-Vasco da Gama;Loide Augusto-Vasco da Gama;Nuno Moreira-Vasco da Gama;Jair Rodrigues Júnior-Vasco da Gama;Victor Luis-Vasco da Gama;Paulinho-Vasco da Gama;Benjamín Garré-Vasco da Gama;Dimitri Payet-Vasco da Gama;Mauricio Lemos-Vasco da Gama;José Luis Rodríguez Bebanz-Vasco da Gama;Léo Pelé-Vasco da Gama;Leandrinho-Vasco da Gama;Alex Teixeira-Vasco da Gama;Maxsuel Alexandre Alves Soares-Vasco da Gama;Pablo Galdames Millán-Vasco da Gama;Maxime Dominguez-Vasco da Gama;Maicon Pereira Roque-Vasco da Gama;Emerson Rivaldo Rodríguez-Vasco da Gama;Jean Meneses-Vasco da Gama;Juan Sebastián Sforza-Vasco da Gama;David Corrêa da Fonseca-Vasco da Gama;Adson-Vasco da Gama;Josef de Souza Dias-Vasco da Gama;Gabriel Souza da Silva-Vasco da Gama;Robert Rojas-Vasco da Gama;Bruno Praxedes-Vasco da Gama;João Pedro-Vasco da Gama;Rosicley Pereira da Silva-Vasco da Gama;Guilherme Estrella-Vasco da Gama;José Gabriel-Vasco da Gama;Clayton-Vasco da Gama;Gary Medel-Vasco da Gama;Marlon Gomes-Vasco da Gama;Gabriel Pec-Vasco da Gama;Robson Bambu-Vasco da Gama;Manuel Capasso-Vasco da Gama;Erick Marcus-Vasco da Gama;Carlos Sebastián Ferreira-Vasco da Gama;Sergio Antonio De Luiz Junior-Vasco da Gama;Luca Orellano-Vasco da Gama;Miranda-Vasco da Gama;Figueiredo-Vasco da Gama;Zé Vitor-Vasco da Gama;Pedro Raúl-Vasco da Gama;Andrey Santos-Vasco da Gama;Matías Galarza-Vasco da Gama;Cauan Barros-Vasco da Gama;Rodrigo Alves de Holanda Santos-Vasco da Gama;Alexander-Vasco da Gama;Nené-Vasco da Gama;Thiago Rodrigues de Oliveira-Vasco da Gama;Leonardo de Matos Cruz-Vasco da Gama;Danilo Boza-Vasco da Gama;Anderson Conceição Benedito-Vasco da Gama;Luiz Henrique-Vasco da Gama;Yuri Lima Lara-Vasco da Gama;Raniel-Vasco da Gama;Edimar Fraga-Vasco da Gama;Carlos Palacios Núñez-Vasco da Gama;Eguinaldo-Vasco da Gama;Paulo Victor-Vasco da Gama;Juan Quintero Fletcher-Vasco da Gama;Matheus Antunes Ribeiro-Vasco da Gama;Fábio Roberto Gomes Netto-Vasco da Gama;Bruno Tubarão-Vasco da Gama
2025-04-08;Vasco da Gama;-1;3;3;777;807;Puerto Cabello;2;4;22;5;10;1;0.58;0.42;442;0.83;17;18;2;4;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0839999999999999;0.1176470588235294;367;0.0463215258855585;632.7586206896552;0.2272727272727272;8.620689655172415;17;0.1599999999999999;1;-2;-1;0.0497737556561085;0.0454545454545454;0.58;5.0;1;0;1;1;0;0;0;1;0.0454545454545454;0.1;0.002262443438914;22.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Vasco da Gama;10;3;28;777;652;Corinthians;2;3;10;6;3;3;0.46;0.54;414;0.87;16;18;2;3;0;0;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1;0.09;0.125;360;0.0444444444444444;782.6086956521739;0.4;8.695652173913043;4;-0.08;3;-1;-2;0.0241545893719806;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Vasco da Gama;-1;3;3;777;-1;Melgar;3;2;6;20;3;7;0.33;0.67;302;0.79;15;8;3;2;0;0;0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;16;0.0335;0.2;239;0.0627615062761506;724.2424242424242;0.0;0.0;-14;-0.34;-16;1;7;0.0198675496688741;0.5;0.11;0.0;2;1;3;0;1;0;1;0;0.5;1.0;0.009933774834437;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Vasco da Gama;10;3;3;777;662;Santos;1;1;12;11;5;2;0.54;0.46;472;0.85;11;12;1;1;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3;0.0418181818181818;0.0909090909090909;401;0.027431421446384;742.5925925925925;0.1666666666666666;3.7037037037037033;1;0.08;-1;0;-1;0.0254237288135593;0.1666666666666666;0.27;1.0;0;2;2;1;0;0;0;1;0.1666666666666666;0.4;0.0042372881355932;6.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Vasco da Gama;34;3;3;777;214;Flamengo;3;2;4;18;3;7;0.42;0.58;351;0.82;16;12;3;2;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;9;0.0322222222222222;0.1875;288;0.0555555555555555;685.7142857142858;0.5;4.761904761904762;-14;-0.1599999999999999;-7;1;4;0.0113960113960113;0.25;0.42;2.0;1;0;1;0;0;1;1;0;0.25;0.3333333333333333;0.0028490028490028;4.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Vasco da Gama;34;0;3;777;214;Flamengo;5;2;10;15;3;1;0.36;0.64;270;0.76;16;7;5;2;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.0426666666666666;0.3125;205;0.0780487804878048;569.4444444444445;0.2;5.555555555555555;-5;-0.28;-3;3;9;0.037037037037037;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Vasco da Gama;10;20;0;777;656;Cuiabá;1;0;11;11;4;4;0.68;0.32;675;0.91;8;15;1;0;0;0;5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.029090909090909;0.125;614;0.013029315960912;902.9411764705882;0.4545454545454545;7.352941176470588;0;0.36;3;1;-7;0.0162962962962962;0.1818181818181818;0.34;2.5;2;0;2;1;0;0;1;0;0.1818181818181818;0.5;0.0029629629629629;5.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Vasco da Gama;10;22;6;777;220;Atlético Mineiro;4;3;11;11;4;3;0.58;0.42;442;0.85;20;13;4;3;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.0381818181818181;0.2;376;0.0531914893617021;648.2758620689656;0.2727272727272727;5.172413793103448;0;0.1599999999999999;-3;1;7;0.0248868778280542;0.1818181818181818;0.29;1.5;0;2;2;1;0;0;0;1;0.1818181818181818;0.5;0.004524886877828;5.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Vasco da Gama;10;3;3;777;776;Atlético Goianiense;2;2;16;12;7;6;0.62;0.38;594;0.88;10;10;2;1;0;1;5;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.0316666666666666;0.2;523;0.0191204588910133;843.5483870967741;0.3125;8.064516129032258;4;0.24;2;0;0;0.0269360269360269;0.125;0.31;2.5;0;2;2;0;1;0;0;1;0.125;0.2857142857142857;0.0033670033670033;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Vasco da Gama;10;3;28;777;652;Corinthians;4;1;8;23;2;8;0.4;0.6;339;0.79;14;8;4;1;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;7;0.0260869565217391;0.2857142857142857;268;0.0522388059701492;670.0;0.75;15.0;-15;-0.1999999999999999;-1;3;6;0.023598820058997;0.125;0.4;6.0;0;1;1;0;0;1;1;0;0.125;0.5;0.0029498525073746;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
