Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Anthony Lopes-Nantes;Kelvin Amian Adou-Nantes;Jean-Charles Castelletto-Nantes;Nathan Zeze-Nantes;Sorba Thomas-Nantes;Douglas Augusto Soares Gomes-Nantes;Louis Leroux-Nantes;Nicolas Cozza-Nantes;Matthis Abline-Nantes;Mostafa Mohamed-Nantes;Moses Simon-Nantes;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Saïdou Sow-Nantes;Nicolas Pallois-Nantes;Elia Meschack-Nantes;Johann Lepenant-Nantes;Pedro Chirivella-Nantes;Marcus Coco-Nantes;Francis Coquelin-Nantes;Herba Guirassy-Nantes;Florent Mollet-Nantes;Patrik Carlgren-Nantes;Jean-Kévin Duverne-Nantes;Ignatius Ganago-Nantes;Fabien Centonze-Nantes;Alban Lafont-Nantes;Tino Kadewere-Nantes;Jean-Philippe Gbamin-Nantes;Eray Cömert-Nantes;Samuel Moutoussamy-Nantes;Moussa Sissoko-Nantes;Bénie Traoré-Nantes;Rémy Descamps-Nantes;Quentin Merlin-Nantes;Ronaël Pierre-Gabriel-Nantes;Adson-Nantes;Marquinhos-Nantes;Bastien Meupiyou-Nantes;Kader Bamba-Nantes;João Victor-Nantes;Andrei Girotto-Nantes;Charles Traoré-Nantes;Ludovic Blas-Nantes;Andy Delort-Nantes;Evann Guessand-Nantes;Jaouen Hadjam-Nantes;Sébastien Corchia-Nantes;Lohann Doucet-Nantes;Fábio da Silva-Nantes;Dennis Appiah-Nantes
2025-01-26;Nantes;2;3;0;769;90;Lyon;3;1;7;15;5;4;0.37;0.63;351;0.85;14;11;3;1;0;0;4;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;8;0.042;0.21428571428571427;298;0.04697986577181208;805.4054054054054;0.5714285714285714;10.81081081081081;-8;-0.26;-4;2;3;0.019943019943019943;0.14285714285714285;0.37;4.0;0;1;1;0;1;0;0;1;0.14285714285714285;0.2;0.002849002849002849;7.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Nantes;2;7;0;769;773;Saint-Étienne;1;2;8;12;4;2;0.24;0.76;235;0.65;11;9;1;2;0;0;7;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;7;0.06333333333333334;0.09090909090909091;153;0.0718954248366013;637.5;0.875;29.166666666666668;-4;-0.52;0;-1;2;0.03404255319148936;0.125;0.24;7.0;1;0;1;0;1;0;1;0;0.125;0.25;0.00425531914893617;8.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Nantes;13;7;3;769;5;Stade Brestois;0;2;16;8;1;4;0.62;0.38;567;0.81;10;13;0;2;0;0;7;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;3;0.0475;0.0;459;0.02178649237472767;740.3225806451613;0.4375;11.290322580645162;8;0.24;4;-2;-3;0.02821869488536155;0.0625;0.62;7.0;0;1;1;0;0;1;1;0;0.0625;1.0;0.001763668430335097;16.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Nantes;2;7;17;769;4;Mónaco;3;0;10;15;4;7;0.31;0.69;278;0.72;17;14;3;0;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;11;0.046;0.17647058823529413;200;0.085;645.1612903225806;0.3;9.67741935483871;-5;-0.37999999999999995;-8;3;3;0.03597122302158273;0.2;0.155;1.5;1;1;2;0;1;0;0;1;0.2;0.5;0.007194244604316547;5.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Nantes;2;7;3;769;15;LOSC;2;1;6;13;2;3;0.28;0.72;290;0.75;10;6;2;1;0;0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;2;0.05538461538461538;0.2;218;0.045871559633027525;778.5714285714284;0.0;0.0;-7;-0.43999999999999995;-2;1;4;0.020689655172413793;0.16666666666666666;0.28;0.0;0;1;1;0;1;0;1;0;0.16666666666666666;0.5;0.0034482758620689655;6.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Nantes;13;3;5;769;-1;Drancy;0;2;19;4;6;1;0.67;0.33;688;0.91;8;11;0;2;0;0;7;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0;0.0825;0.0;626;0.012779552715654952;934.3283582089551;0.3684210526315789;10.44776119402985;15;0.34;7;-2;-3;0.027616279069767442;0.21052631578947367;0.1675;1.75;2;2;4;1;0;0;1;0;0.21052631578947367;0.6666666666666666;0.005813953488372093;4.75;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Nantes;2;4;28;769;5;Stade Brestois;3;3;16;13;7;8;0.48;0.52;450;0.82;14;10;3;3;0;0;5;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0;0.04;0.21428571428571427;369;0.037940379403794036;768.75;0.3125;10.416666666666668;3;-0.040000000000000036;5;0;4;0.035555555555555556;0.0625;0.48;5.0;0;1;1;0;0;1;1;0;0.0625;0.14285714285714285;0.0022222222222222222;16.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Nantes;2;4;17;769;768;Rennes;1;2;14;5;2;3;0.45;0.55;385;0.8;15;9;1;1;0;1;5;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.11000000000000001;0.06666666666666667;308;0.048701298701298704;684.4444444444445;0.35714285714285715;11.11111111111111;9;-0.10000000000000003;0;-1;6;0.03636363636363636;0.07142857142857142;0.45;5.0;0;1;1;1;0;0;0;1;0.07142857142857142;0.5;0.0025974025974025974;14.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Nantes;2;4;0;769;19;PSG;0;0;5;24;2;10;0.15;0.85;184;0.66;6;3;0;0;0;0;3;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;9;0.035416666666666666;0.0;121;0.049586776859504134;806.6666666666667;0.6;20.0;-19;-0.7;-6;0;3;0.02717391304347826;0.2;0.15;3.0;1;0;1;0;1;0;1;0;0.2;0.5;0.005434782608695652;5.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Nantes;2;3;17;769;774;Le Havre;2;1;18;7;4;4;0.71;0.29;631;0.86;15;12;2;1;0;0;10;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.041428571428571426;0.13333333333333333;543;0.027624309392265192;764.7887323943662;0.5555555555555556;14.084507042253522;11;0.42;8;1;3;0.028526148969889066;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
