Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Luiz Júnior-Villarreal;Kiko Femenía-Villarreal;Juan Marcos Foyth-Villarreal;Logan Costa-Villarreal;Sergi Cardona-Villarreal;Yéremy Pino-Villarreal;Santiago Comesaña Veiga-Villarreal;Dani Parejo-Villarreal;Denis Suárez-Villarreal;Ayoze Pérez-Villarreal;Thierno Barry-Villarreal;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Alfonso Pedraza Sag-Villarreal;Tajon Buchanan-Villarreal;Álex Baena-Villarreal;Pau Navarro-Villarreal;Willy Kambwala-Villarreal;Diego Conde-Villarreal;Pape Gueye-Villarreal;Nicolas Pépé-Villarreal;Gerard Moreno Balagueró-Villarreal;Raúl Albiol-Villarreal;Eric Bertrand Bailly-Villarreal;Juan Bernat-Villarreal;Pau Cabanes-Villarreal;Alassane Diatta-Villarreal;Ramón Terrats Espacio-Villarreal;Ilias Akhomach-Villarreal;Arnaut Danjuma-Villarreal;Pepe Reina-Villarreal;Yerson Mosquera-Villarreal;Aïssa Mandi-Villarreal;Jorge Cuenca Barreno-Villarreal;Bertrand Traoré-Villarreal;Manu Trigueros-Villarreal;Alexander Sørloth-Villarreal;Filip Jörgensen-Villarreal;Alberto Moreno-Villarreal;Gonçalo Guedes-Villarreal;Francis Coquelin-Villarreal;Étienne Capoue-Villarreal;Adrià Altimira-Villarreal;José Luis Morales Nogales-Villarreal;Matteo Gabbia-Villarreal;Ben Brereton Díaz-Villarreal;Carlos Romero Serrano-Villarreal;Jorge Pascual-Villarreal;Víctor Moreno Alcalá-Villarreal;Pau Torres-Villarreal;Samuel Chukwueze-Villarreal;Nicolas Jackson-Villarreal;Giovani Lo Celso-Villarreal;Johan Mojica-Villarreal;Manuel Morlanes Ariño-Villarreal
2025-01-25;Villarreal;1;1;1;37;27;Atlético Madrid;2;4;11;20;1;8;0.41;0.59;399;0.81;14;10;2;4;0;0;6;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;5;0.0295;0.1428571428571428;323;0.0433436532507739;787.8048780487806;0.5454545454545454;14.634146341463415;-9;-0.18;1;-2;4;0.0275689223057644;0.0909090909090909;0.41;6.0;1;0;1;0;1;0;1;0;0.0909090909090909;1.0;0.0025062656641604;11.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-20;Villarreal;1;1;1;37;40;R.C.D. Mallorca;1;3;14;9;7;2;0.43;0.57;391;0.85;9;12;1;3;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;5;0.0633333333333333;0.1111111111111111;332;0.0271084337349397;772.0930232558139;0.4285714285714285;13.953488372093023;5;-0.1399999999999999;1;-2;-3;0.0358056265984654;0.2857142857142857;0.1075;1.5;4;0;4;1;0;0;0;1;0.2857142857142857;0.5714285714285714;0.0102301790281329;3.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-13;Villarreal;1;1;7;37;46;Real Sociedad;2;4;15;6;5;3;0.43;0.57;338;0.76;6;17;2;4;0;0;7;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.0949999999999999;0.3333333333333333;257;0.0233463035019455;597.6744186046511;0.4666666666666667;16.27906976744186;9;-0.1399999999999999;4;-2;-11;0.044378698224852;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Villarreal;1;1;9;37;47;Leganés;2;2;18;5;9;3;0.65;0.35;516;0.87;15;17;2;1;0;1;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1;0.0699999999999999;0.1333333333333333;449;0.0334075723830735;690.7692307692307;0.2777777777777778;7.692307692307692;13;0.3;4;0;-2;0.0348837209302325;0.2777777777777778;0.13;1.0;2;3;5;1;0;0;1;0;0.2777777777777778;0.5555555555555556;0.0096899224806201;3.6;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-18;Villarreal;1;1;3;37;42;Rayo Vallecano;5;3;14;18;5;3;0.45;0.55;371;0.77;10;15;4;3;1;0;7;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0305555555555555;0.5;286;0.0349650349650349;635.5555555555555;0.5;15.555555555555555;-4;-0.1;0;2;-5;0.0377358490566037;0.0714285714285714;0.45;7.0;1;0;1;0;1;0;0;1;0.0714285714285714;0.2;0.0026954177897574;14.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Villarreal;1;1;3;37;39;Betis;5;5;17;10;4;4;0.62;0.38;534;0.86;19;10;5;4;0;1;5;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;5;0.038;0.2631578947368421;459;0.0413943355119825;740.3225806451613;0.2941176470588235;8.064516129032258;7;0.24;0;0;9;0.0318352059925093;0.0588235294117647;0.62;5.0;0;1;1;0;0;1;0;1;0.0588235294117647;0.25;0.0018726591760299;17.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Villarreal;1;1;3;37;38;Athletic;1;2;11;12;1;4;0.58;0.42;555;0.84;10;15;1;2;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0349999999999999;0.1;466;0.0214592274678111;803.4482758620691;0.2727272727272727;5.172413793103448;-1;0.1599999999999999;0;-1;-5;0.0198198198198198;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Villarreal;19;1;7;37;-1;Pontevedra;1;0;6;15;2;3;0.27;0.73;258;0.72;9;11;1;0;0;0;3;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;6;0.0486666666666666;0.1111111111111111;186;0.0483870967741935;688.8888888888888;0.5;11.11111111111111;-9;-0.4599999999999999;-3;1;-2;0.0232558139534883;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Villarreal;1;1;0;37;41;Osasuna;4;6;16;4;7;3;0.6;0.4;498;0.82;13;12;4;6;0;0;8;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0;0.1;0.3076923076923077;408;0.0318627450980392;680.0;0.5;13.333333333333334;12;0.1999999999999999;8;-2;1;0.0321285140562249;0.125;0.3;4.0;0;2;2;0;1;0;1;0;0.125;0.2857142857142857;0.0040160642570281;8.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Villarreal;1;1;3;37;45;Alavés;1;3;13;9;3;3;0.63;0.37;478;0.84;17;21;1;3;0;0;7;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;2;0.0411111111111111;0.0588235294117647;402;0.0422885572139303;638.0952380952381;0.5384615384615384;11.11111111111111;4;0.26;5;-2;-4;0.0271966527196652;0.2307692307692307;0.21;2.333333333333333;1;2;3;1;0;0;0;1;0.2307692307692307;1.0;0.006276150627615;4.333333333333333;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
