Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Michael Zetterer-Werder Bremen;Niklas Stark-Werder Bremen;Marco Friedl-Werder Bremen;Amos Pieper-Werder Bremen;Mitchell Weiser-Werder Bremen;Jens Stage-Werder Bremen;Senne Lynen-Werder Bremen;Romano Schmid-Werder Bremen;Felix Agu-Werder Bremen;Oliver Burke-Werder Bremen;Marvin Ducksch-Werder Bremen;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Justin Njinmah-Werder Bremen;Miloš Veljković-Werder Bremen;Anthony Jung-Werder Bremen;Issa Kaboré-Werder Bremen;André Silva-Werder Bremen;Leonardo Bittencourt-Werder Bremen;Julián Malatini-Werder Bremen;Marco Grüll-Werder Bremen;Derrick Köhn-Werder Bremen;Skelly Alvero-Werder Bremen;Keke Topp-Werder Bremen;Nick Woltemade-Werder Bremen;Christian Groß-Werder Bremen;Olivier Deman-Werder Bremen;Rafael Santos Borré-Werder Bremen;Dawid Kownacki-Werder Bremen;Jiří Pavlenka-Werder Bremen;Nicolai Rapp-Werder Bremen;Naby Keïta-Werder Bremen;Niclas Füllkrug-Werder Bremen;Ilia Gruev-Werder Bremen;Lee Buchanan-Werder Bremen;Niklas Schmidt-Werder Bremen;Maximilian Philipp-Werder Bremen;Fabio Chiarodia-Werder Bremen
2025-02-21;Werder Bremen;9;2;3;171;170;Friburgo;0;3;9;13;3;8;0.64;0.36;593;0.88;8;14;0;3;0;0;7;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3;0.02769230769230769;0.0;522;0.01532567049808429;815.625;0.7777777777777778;10.9375;-4;0.28;4;-3;-6;0.01517706576728499;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Werder Bremen;9;2;3;171;97;Hoffenheim;2;3;14;15;2;6;0.62;0.38;559;0.81;14;12;2;3;0;0;6;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;4;0.025333333333333333;0.14285714285714285;453;0.03090507726269316;730.6451612903226;0.42857142857142855;9.67741935483871;-1;0.24;2;-1;2;0.025044722719141325;0.07142857142857142;0.62;6.0;1;0;1;0;0;1;0;1;0.07142857142857142;0.5;0.0017889087656529517;14.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Werder Bremen;9;4;3;171;23;Bayern;3;1;2;21;0;12;0.25;0.75;306;0.8;8;9;3;1;0;0;2;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;5;0.03571428571428571;0.375;245;0.0326530612244898;980.0;1.0;8.0;-19;-0.5;-3;2;-1;0.006535947712418301;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-31;Werder Bremen;9;2;17;171;174;Mainz 05;6;3;12;13;5;2;0.37;0.63;325;0.68;14;13;4;3;2;0;3;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;8;0.04846153846153846;0.42857142857142855;221;0.06334841628959276;597.2972972972973;0.25;8.108108108108109;-1;-0.26;-5;3;1;0.036923076923076927;0.08333333333333333;0.37;3.0;1;0;1;1;0;0;0;1;0.08333333333333333;0.2;0.003076923076923077;12.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Werder Bremen;9;30;0;171;11;Dortmund;4;2;13;8;4;4;0.55;0.45;451;0.84;15;11;4;1;0;1;5;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;5;0.05625;0.26666666666666666;379;0.0395778364116095;689.090909090909;0.38461538461538464;9.09090909090909;5;0.10000000000000003;0;2;4;0.028824833702882482;0.15384615384615385;0.275;2.5;0;2;2;0;1;0;1;0;0.15384615384615385;0.5;0.004434589800443459;6.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Werder Bremen;9;2;17;171;173;Augsburgo;1;2;20;9;2;4;0.71;0.29;657;0.87;8;14;1;2;0;0;6;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2;0.03222222222222222;0.125;572;0.013986013986013986;805.6338028169015;0.3;8.450704225352114;11;0.42;4;-1;-6;0.030441400304414;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Werder Bremen;9;30;1;171;142;Heidenheim;6;3;12;14;5;5;0.52;0.48;462;0.82;10;15;6;3;0;0;4;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;2;0.03428571428571429;0.6;379;0.026385224274406333;728.8461538461538;0.3333333333333333;7.692307692307692;-2;0.040000000000000036;2;3;-5;0.025974025974025976;0.25;0.17333333333333334;1.3333333333333333;1;2;3;0;1;0;0;1;0.25;0.6;0.006493506493506494;4.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Werder Bremen;9;9;17;171;31;RB Leipzig;1;1;7;18;2;7;0.51;0.49;536;0.82;12;7;1;1;0;0;1;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.02722222222222222;0.08333333333333333;440;0.02727272727272727;862.7450980392157;0.14285714285714285;1.9607843137254901;-11;0.020000000000000018;-3;0;5;0.013059701492537313;0.2857142857142857;0.255;0.5;1;1;2;0;0;1;1;0;0.2857142857142857;1.0;0.0037313432835820895;3.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Werder Bremen;9;2;17;171;169;FC Union Berlin;2;2;10;16;5;4;0.54;0.46;530;0.83;9;12;2;2;0;0;4;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.02875;0.2222222222222222;440;0.020454545454545454;814.8148148148148;0.4;7.4074074074074066;-6;0.08000000000000002;-5;0;-3;0.018867924528301886;0.4;0.135;1.0;3;1;4;1;0;0;0;1;0.4;0.8;0.007547169811320755;2.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Werder Bremen;9;2;6;171;176;St. Pauli;3;2;8;15;4;4;0.43;0.57;453;0.82;9;10;3;2;0;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.038;0.3333333333333333;371;0.02425876010781671;862.7906976744187;0.625;11.627906976744185;-7;-0.13999999999999996;1;1;-1;0.017660044150110375;0.25;0.215;2.5;1;1;2;1;0;0;1;0;0.25;0.5;0.004415011037527594;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
