Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;David de Gea-Fiorentina;Marin Pongračić-Fiorentina;Pietro Comuzzo-Fiorentina;Luca Ranieri-Fiorentina;Michael Folorunsho-Fiorentina;Rolando Mandragora-Fiorentina;Danilo Cataldi-Fiorentina;Nicolò Fagioli-Fiorentina;Fabiano Parisi-Fiorentina;Moise Kean-Fiorentina;Albert Guðmundsson-Fiorentina;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Pablo Marí Villar-Fiorentina;Domilson Cordeiro dos Santos-Fiorentina;Matías Agustín Moreno-Fiorentina;Yacine Adli-Fiorentina;Lucas Beltrán-Fiorentina;Nicolò Zaniolo-Fiorentina;Robin Gosens-Fiorentina;Cher Ndour-Fiorentina;Pietro Terracciano-Fiorentina;Amir Richardson-Fiorentina;Andrea Colpani-Fiorentina;Edoardo Bove-Fiorentina;Riccardo Sottil-Fiorentina;Michael Kayode-Fiorentina;Lucas Martínez Quarta-Fiorentina;Jonathan Ikoné-Fiorentina;Christian Kouamé-Fiorentina;Tommaso Martinelli-Fiorentina;Cristiano Biraghi-Fiorentina;Sofyan Amrabat-Fiorentina;Antonín Barák-Fiorentina;Alessandro Bianco-Fiorentina;Maxime Lopez-Fiorentina;Alfred Duncan-Fiorentina;Nicolás González-Fiorentina;Gaetano Castrovilli-Fiorentina;Andrea Belotti-Fiorentina;Nikola Milenković-Fiorentina;Arthur Melo-Fiorentina;Giacomo Bonaventura-Fiorentina;M'Bala Nzola-Fiorentina;Oliver Christensen-Fiorentina;Marco Faraoni-Fiorentina;Josip Brekalo-Fiorentina;Yerry Mina-Fiorentina;Niccolò Pierozzi-Fiorentina;Luka Jović-Fiorentina;Michele Cerofolini-Fiorentina;Aleksa Terzić-Fiorentina;Arthur Cabral-Fiorentina;Lorenzo Venuti-Fiorentina;Igor Julio-Fiorentina;Riccardo Saponara-Fiorentina
2025-02-23;Fiorentina;4;3;17;70;77;Hellas Verona;3;2;8;7;3;3;0.57;0.43;452;0.83;8;19;3;2;0;0;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4;0.0614285714285714;0.375;375;0.0213333333333333;657.8947368421053;0.125;1.7543859649122808;1;0.1399999999999999;-3;1;-11;0.0176991150442477;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Fiorentina;4;3;0;70;78;Como;3;2;5;8;3;4;0.51;0.49;440;0.8;14;24;3;2;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1;0.06125;0.2142857142857142;352;0.0397727272727272;690.1960784313725;0.4;3.92156862745098;-3;0.02;1;1;-10;0.0113636363636363;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-10;Fiorentina;4;23;2;70;7;Inter;3;4;7;22;2;8;0.37;0.63;346;0.83;15;16;3;4;0;0;1;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;8;0.0286363636363636;0.2;287;0.0522648083623693;775.6756756756757;0.1428571428571428;2.702702702702702;-15;-0.26;-7;-1;-1;0.0202312138728323;0.1428571428571428;0.37;1.0;1;0;1;0;0;1;1;0;0.1428571428571428;0.5;0.0028901734104046;7.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Fiorentina;4;3;2;70;7;Inter;1;0;10;11;6;2;0.28;0.72;248;0.72;11;10;1;0;0;0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;8;0.0654545454545454;0.0909090909090909;179;0.0614525139664804;639.2857142857142;0.1;3.571428571428571;-1;-0.4399999999999999;-7;1;1;0.0403225806451612;0.3;0.0933333333333333;0.3333333333333333;0;3;3;1;0;0;0;1;0.3;0.5;0.0120967741935483;3.333333333333333;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Fiorentina;4;3;3;70;83;Genoa;3;1;7;17;6;3;0.4;0.6;302;0.75;17;14;3;1;0;0;1;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;8;0.0352941176470588;0.1764705882352941;226;0.0752212389380531;565.0;0.1428571428571428;2.5;-10;-0.1999999999999999;-7;2;3;0.0231788079470198;0.2857142857142857;0.2;0.5;2;0;2;1;0;0;0;1;0.2857142857142857;0.3333333333333333;0.0066225165562913;3.5;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Fiorentina;4;1;3;70;71;Lazio;3;1;7;22;3;3;0.29;0.71;250;0.76;12;9;2;1;1;0;2;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;14;0.0322727272727272;0.25;190;0.0631578947368421;655.1724137931035;0.2857142857142857;6.896551724137932;-15;-0.42;-12;2;3;0.028;0.2857142857142857;0.145;1.0;2;0;2;1;0;0;1;0;0.2857142857142857;0.6666666666666666;0.008;3.5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Fiorentina;4;3;1;70;73;Torino;3;2;20;6;6;3;0.54;0.46;447;0.88;16;11;3;1;0;1;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;2;0.0766666666666666;0.1875;393;0.0407124681933842;727.7777777777777;0.45;16.666666666666664;14;0.08;7;1;5;0.0447427293064877;0.05;0.54;9.0;1;0;1;0;1;0;0;1;0.05;0.1666666666666666;0.0022371364653243;20.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-13;Fiorentina;4;3;17;70;80;Monza;1;4;11;10;2;3;0.66;0.34;587;0.88;9;26;1;4;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2;0.034;0.1111111111111111;517;0.0174081237911025;783.3333333333333;0.3636363636363636;6.0606060606060606;1;0.32;2;-3;-17;0.0187393526405451;0.0909090909090909;0.66;4.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.5;0.0017035775127768;11.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Fiorentina;4;17;0;70;69;Napoli;0;1;14;10;2;4;0.48;0.52;407;0.82;17;15;0;1;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2;0.052;0.0;334;0.0508982035928143;695.8333333333334;0.2857142857142857;8.333333333333334;4;-0.04;2;-1;2;0.0343980343980344;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-29;Fiorentina;4;3;3;70;14;Juventus;1;3;11;15;4;5;0.38;0.62;316;0.77;9;14;1;3;0;0;2;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;7;0.0413333333333333;0.1111111111111111;243;0.037037037037037;639.4736842105264;0.1818181818181818;5.2631578947368425;-4;-0.24;-5;-2;-5;0.0348101265822784;0.1818181818181818;0.19;1.0;1;1;2;0;1;0;1;0;0.1818181818181818;0.5;0.0063291139240506;5.5;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
