Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mathieu Gorgelin-Le Havre;Loïc Nego-Le Havre;Étienne Youte Kinkoue-Le Havre;Arouna Sangante-Le Havre;Fodé Ballo-Touré-Le Havre;Yassine Kechta-Le Havre;Junior Mwanga-Le Havre;Abdoulaye Touré-Le Havre;Josué Casimir-Le Havre;André Ayew-Le Havre;Issa Soumaré-Le Havre;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Ahmed Hassan Mahgoub-Le Havre;Gautier Lloris-Le Havre;Mahamadou Diawara-Le Havre;Timothée Pembélé-Le Havre;Antoine Joujou-Le Havre;Arthur Desmas-Le Havre;Yanis Zouaoui-Le Havre;Rassoul Ndiaye-Le Havre;Oussama Targhalline-Le Havre;Emmanuel Afriyie Mario Sabbi-Le Havre;Yoann Salmier-Le Havre;Daler Kuziáyev-Le Havre;Ilyes Housni-Le Havre;Mathéo Bodmer-Le Havre;Christopher Opéri-Le Havre;Samuel Grandsir-Le Havre;Steve Ngoura-Le Havre;Oualid El Hajjam-Le Havre;Mohamed Bayo-Le Havre;Mohamed Koné-Le Havre;Nabil Alioui-Le Havre;Andy Elysée Logbo-Le Havre;Nolan Mbemba-Le Havre;Simon Ebonog-Le Havre;Amir Richardson-Le Havre;Victor Lekhal-Le Havre;Elies Mahmoud-Le Havre;Quentin Cornette-Le Havre;Jamal Thiaré-Le Havre;Terence Kongolo-Le Havre;Alois Confais-Le Havre;Yann Kitala-Le Havre;Check Oumar Diakité-Le Havre;Zakaria Diallo-Le Havre
2025-02-23;Le Havre;2;7;17;774;772;Toulouse;1;2;11;11;3;5;0.54;0.46;444;0.86;11;13;0;2;1;0;5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.0418181818181818;0.0909090909090909;382;0.0287958115183246;707.4074074074074;0.4545454545454545;9.25925925925926;0;0.08;2;-1;-2;0.0247747747747747;0.0909090909090909;0.54;5.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.3333333333333333;0.0022522522522522;11.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Le Havre;2;7;17;774;109;Niza;2;1;14;9;4;3;0.49;0.51;446;0.84;14;16;2;0;0;1;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;2;0.0566666666666666;0.1428571428571428;375;0.0373333333333333;765.3061224489796;0.4285714285714285;12.244897959183673;5;-0.02;4;1;-2;0.0313901345291479;0.0714285714285714;0.49;6.0;1;0;1;0;0;1;0;1;0.0714285714285714;0.25;0.0022421524663677;14.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Le Havre;2;7;3;774;15;LOSC;1;2;14;14;6;5;0.32;0.68;264;0.74;8;16;1;2;0;0;10;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;8;0.0485714285714285;0.125;195;0.041025641025641;609.375;0.7142857142857143;31.25;0;-0.36;2;-1;-8;0.053030303030303;0.1428571428571428;0.16;5.0;1;1;2;1;0;0;1;0;0.1428571428571428;0.3333333333333333;0.0075757575757575;7.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Le Havre;2;7;3;774;771;Angers;5;3;13;17;5;3;0.41;0.59;354;0.86;19;8;4;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;4;0.0347058823529411;0.2631578947368421;304;0.0625;741.4634146341464;0.1538461538461538;4.878048780487805;-4;-0.18;-2;2;11;0.0367231638418079;0.0769230769230769;0.41;2.0;0;1;1;0;1;0;1;0;0.0769230769230769;0.2;0.0028248587570621;13.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Le Havre;2;3;3;774;5;Stade Brestois;2;3;11;17;1;9;0.44;0.56;366;0.77;12;14;2;3;0;0;6;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;6;0.0329411764705882;0.1666666666666666;282;0.0425531914893617;640.9090909090909;0.5454545454545454;13.636363636363637;-6;-0.12;0;-1;-2;0.0300546448087431;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Le Havre;2;1;3;774;766;Reims;2;2;7;11;2;3;0.44;0.56;390;0.83;8;9;2;2;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6;0.0509090909090909;0.25;324;0.0246913580246913;736.3636363636364;0.8571428571428571;13.636363636363637;-4;-0.12;0;0;-1;0.0179487179487179;0.1428571428571428;0.44;6.0;0;1;1;0;1;0;1;0;0.1428571428571428;0.5;0.0025641025641025;7.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Le Havre;2;8;3;774;765;Lens;2;2;8;25;4;7;0.3;0.7;247;0.67;11;14;2;2;0;0;3;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;8;0.0279999999999999;0.1818181818181818;165;0.0666666666666666;550.0;0.375;10.0;-17;-0.3999999999999999;-5;0;-3;0.0323886639676113;0.125;0.3;3.0;1;0;1;0;0;1;0;1;0.125;0.25;0.0040485829959514;8.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Le Havre;2;2;17;774;764;Marsella;0;1;4;15;1;9;0.29;0.71;390;0.84;6;12;0;1;0;0;0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.0473333333333333;0.0;328;0.0182926829268292;1131.0344827586207;0.0;0.0;-11;-0.42;-4;-1;-6;0.0102564102564102;0.25;0.29;0.0;0;1;1;0;0;1;1;0;0.25;1.0;0.0025641025641025;4.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Le Havre;13;29;4;774;-1;Stade Briochin;2;2;12;12;4;5;0.69;0.31;614;0.87;17;9;2;2;0;0;3;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2;0.0258333333333333;0.1176470588235294;534;0.0318352059925093;773.9130434782609;0.25;4.347826086956522;0;0.3799999999999999;1;0;8;0.019543973941368;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Le Havre;2;16;1;774;767;Racing de Estrasburgo;0;1;10;9;1;5;0.57;0.43;565;0.89;11;7;0;1;0;0;3;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2;0.0477777777777777;0.0;503;0.0218687872763419;882.4561403508773;0.3;5.2631578947368425;1;0.1399999999999999;1;-1;4;0.0176991150442477;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
