Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Alexander Nübel-Stuttgart;Pascal Stenzel-Stuttgart;Finn Jeltsch-Stuttgart;Jeff Chabot-Stuttgart;Maximilian Mittelstädt-Stuttgart;Atakan Karazor-Stuttgart;Angelo Stiller-Stuttgart;Jamie Leweling-Stuttgart;Deniz Undav-Stuttgart;Chris Führich-Stuttgart;Nick Woltemade-Stuttgart;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Leonidas Stergiou-Stuttgart;Fabian Rieder-Stuttgart;Ermedin Demirovic-Stuttgart;Enzo Millot-Stuttgart;Luca Jaquez-Stuttgart;Ramon Hendriks-Stuttgart;Yannik Keitel-Stuttgart;Ameen Al-Dakhil-Stuttgart;Josha Vagnoman-Stuttgart;Jacob Bruun Larsen-Stuttgart;Anthony Rouault-Stuttgart;Fabian Bredlow-Stuttgart;Anrie Chase-Stuttgart;El Bilal Touré-Stuttgart;Frans Krätzig-Stuttgart;Waldemar Anton-Stuttgart;Hiroki Itō-Stuttgart;Serhou Guirassy-Stuttgart;Mahmoud Dahoud-Stuttgart;Jeong Woo-yeong-Stuttgart;Dan-Axel Zagadou-Stuttgart;Silas-Stuttgart;Lilian Egloff-Stuttgart;Wataru Endō-Stuttgart;Florian Müller-Stuttgart;Konstantinos Mavropanos-Stuttgart;Borna Sosa-Stuttgart;Nikolas Nartey-Stuttgart;Tiago Tomás-Stuttgart;Genki Haraguchi-Stuttgart;Luca Pfeiffer-Stuttgart;Juan José Perea-Stuttgart;Gil Dias-Stuttgart;Thomas Kastanaras-Stuttgart;Naouirou Ahamada-Stuttgart
2025-02-23;Stuttgart;9;13;4;18;97;Hoffenheim;0;0;14;9;7;2;0.56;0.44;581;0.86;10;8;0;0;0;0;8;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04888888888888889;0.0;500;0.02;892.8571428571428;0.5714285714285714;14.285714285714285;5;0.12000000000000005;4;0;2;0.024096385542168676;0.07142857142857142;0.56;8.0;1;0;1;0;1;0;1;0;0.07142857142857142;0.14285714285714285;0.0017211703958691911;14.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Stuttgart;9;3;1;18;175;Wolfsburg;3;3;10;7;4;3;0.58;0.42;515;0.84;10;15;3;3;0;0;7;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;5;0.06;0.3;433;0.023094688221709007;746.551724137931;0.7;12.06896551724138;3;0.15999999999999998;2;0;-5;0.019417475728155338;0.1;0.58;7.0;0;1;1;0;0;1;0;1;0.1;0.25;0.001941747572815534;10.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Stuttgart;9;17;3;18;11;Dortmund;2;4;4;16;2;5;0.31;0.69;269;0.73;14;13;2;3;0;1;4;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9;0.043125;0.14285714285714285;196;0.07142857142857142;632.258064516129;1.0;12.903225806451614;-12;-0.37999999999999995;-5;-2;1;0.01486988847583643;0.5;0.155;2.0;0;2;2;1;0;0;1;0;0.5;1.0;0.007434944237918215;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Stuttgart;23;1;17;18;173;Augsburgo;2;1;12;6;2;3;0.61;0.39;594;0.85;14;17;2;1;0;0;4;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0;0.065;0.14285714285714285;505;0.027722772277227723;827.8688524590165;0.3333333333333333;6.557377049180328;6;0.21999999999999997;4;1;-3;0.020202020202020204;0.08333333333333333;0.61;4.0;1;0;1;1;0;0;0;1;0.08333333333333333;0.5;0.0016835016835016834;12.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Stuttgart;9;1;3;18;172;Mönchengladbach;2;2;10;13;3;6;0.55;0.45;535;0.87;11;11;2;2;0;0;2;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0;0.03461538461538462;0.18181818181818182;465;0.023655913978494623;845.4545454545454;0.2;3.6363636363636362;-3;0.10000000000000003;2;0;0;0.018691588785046728;0.1;0.55;2.0;0;1;1;0;0;1;0;1;0.1;0.3333333333333333;0.001869158878504673;10.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Stuttgart;0;3;0;18;19;PSG;2;1;10;13;2;6;0.41;0.59;424;0.81;10;8;2;1;0;0;2;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;8;0.045384615384615384;0.2;343;0.029154518950437316;836.5853658536586;0.2;4.878048780487805;-3;-0.18;-6;1;2;0.02358490566037736;0.1;0.41;2.0;0;1;1;0;0;1;0;1;0.1;0.5;0.0023584905660377358;10.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Stuttgart;9;13;17;18;174;Mainz 05;3;4;10;11;5;4;0.57;0.43;475;0.81;8;12;3;4;0;0;2;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;9;0.03909090909090909;0.375;385;0.02077922077922078;675.4385964912282;0.2;3.5087719298245617;-1;0.13999999999999996;-7;-1;-4;0.021052631578947368;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Stuttgart;0;1;3;18;36;Slovan Bratislava;3;3;21;6;7;2;0.6;0.4;498;0.8;14;10;3;3;0;0;19;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;4;0.06666666666666667;0.21428571428571427;398;0.035175879396984924;663.3333333333334;0.9047619047619048;31.666666666666668;15;0.19999999999999996;15;0;4;0.04216867469879518;0.14285714285714285;0.19999999999999998;6.333333333333333;2;1;3;1;0;0;1;0;0.14285714285714285;0.42857142857142855;0.006024096385542169;7.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Stuttgart;9;1;3;18;170;Friburgo;5;3;12;4;7;0;0.57;0.43;525;0.86;8;12;5;3;0;0;4;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.1075;0.625;452;0.017699115044247787;792.9824561403509;0.3333333333333333;7.017543859649123;8;0.13999999999999996;3;2;-4;0.022857142857142857;0.3333333333333333;0.1425;1.0;3;1;4;1;0;0;0;1;0.3333333333333333;0.5714285714285714;0.007619047619047619;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Stuttgart;9;1;17;18;31;RB Leipzig;2;5;14;6;6;3;0.58;0.42;635;0.83;10;19;2;3;0;2;5;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0;0.06999999999999999;0.2;527;0.018975332068311195;908.6206896551724;0.35714285714285715;8.620689655172415;8;0.15999999999999998;5;-3;-9;0.02204724409448819;0.14285714285714285;0.29;2.5;0;2;2;1;0;0;0;1;0.14285714285714285;0.3333333333333333;0.0031496062992125984;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
