Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marcos Felipe-Bahía;Erick-Bahía;David Macedo-Bahía;Santi Mingo-Bahía;Luciano Batista da Silva Junior-Bahía;Éverton Ribeiro-Bahía;Caio Alexandre-Bahía;Jean Lucas Oliveira-Bahía;Cauly Oliveira Souza-Bahía;Erick Pulga-Bahía;Willian José-Bahía;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Luciano Rodríguez-Bahía;Gabriel Xavier-Bahía;Julio Cesar de Rezende Miranda-Bahía;Iago Amaral Borduchi-Bahía;Nicolás Acevedo-Bahía;Rodrigo Nestor-Bahía;Ademir da Silva Santos-Bahía;Michel Araújo-Bahía;Gilberto Moraes Júnior-Bahía;Ronaldo de Oliveira Strada-Bahía;Santiago Arias-Bahía;Frederico Lippert Neto Gomes-Bahía;Kanu-Bahía;Danilo Fernandes-Bahía;Thaciano-Bahía;Adriel-Bahía;Everaldo Stum-Bahía;Gabriel Teixeira-Bahía;Carlos de Pena-Bahía;Víctor Cuesta-Bahía;Cicinho-Bahía;Rafael Ratão-Bahía;Óscar Estupiñán-Bahía;Vitor Hugo-Bahía;Yago Felipe da Costa Rocha-Bahía;Camilo Cándido-Bahía;Raul Gustavo Pereira Bicalho-Bahía;Matheus Bahia Santos-Bahía;Vinicius Mingotti-Bahía;Léo Cittadini-Bahía;Ryan-Bahía;Kayky-Bahía;André Dhominique-Bahía;Jhoanner Chávez-Bahía;Lucas Mugni-Bahía;Vítor Jacaré-Bahía;Arthur de Oliveira Sales-Bahía
2025-04-03;Bahía;-1;0;14;697;641;Internacional;1;3;21;8;7;5;0.6;0.4;588;0.9;4;13;1;3;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.05;0.25;529;0.007561436672967864;881.6666666666667;0.19047619047619047;6.666666666666667;13;0.19999999999999996;2;-2;-9;0.03571428571428571;0.047619047619047616;0.6;4.0;0;1;1;0;1;0;0;1;0.047619047619047616;0.14285714285714285;0.0017006802721088435;21.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Bahía;10;0;3;697;652;Corinthians;3;2;14;9;5;4;0.41;0.59;411;0.86;16;15;2;2;1;0;3;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.06555555555555555;0.1875;353;0.0453257790368272;860.9756097560976;0.21428571428571427;7.317073170731708;5;-0.18;-2;1;1;0.0340632603406326;0.07142857142857142;0.41;3.0;1;0;1;0;1;0;0;1;0.07142857142857142;0.2;0.0024330900243309003;14.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Bahía;-1;3;5;697;-1;Boston River;1;2;23;6;5;0;0.69;0.31;586;0.88;5;10;1;2;0;0;6;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1;0.051666666666666666;0.2;516;0.009689922480620155;747.8260869565217;0.2608695652173913;8.695652173913045;17;0.37999999999999995;5;-1;-5;0.03924914675767918;0.043478260869565216;0.69;6.0;0;1;1;1;0;0;0;1;0.043478260869565216;0.2;0.0017064846416382253;23.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Bahía;-1;3;7;697;-1;Boston River;0;0;5;2;1;1;0.66;0.34;631;0.86;8;11;0;0;0;0;1;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1;0.17;0.0;543;0.014732965009208104;822.7272727272726;0.2;1.5151515151515151;3;0.32;0;0;-3;0.00792393026941363;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Bahía;-1;3;9;697;205;The Strongest;1;4;23;3;8;0;0.73;0.27;592;0.9;6;10;1;3;0;1;5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.09000000000000001;0.16666666666666666;533;0.01125703564727955;730.1369863013699;0.21739130434782608;6.8493150684931505;20;0.45999999999999996;2;-3;-4;0.03885135135135135;0.13043478260869565;0.24333333333333332;1.6666666666666667;1;2;3;1;0;0;0;1;0.13043478260869565;0.375;0.005067567567567568;7.666666666666667;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-18;Bahía;-1;5;1;697;205;The Strongest;2;2;21;13;9;6;0.68;0.32;538;0.9;13;8;2;1;0;1;4;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;9;0.024615384615384615;0.15384615384615385;484;0.026859504132231406;711.7647058823529;0.19047619047619047;5.88235294117647;8;0.36000000000000004;-5;0;5;0.03903345724907063;0.047619047619047616;0.68;4.0;0;1;1;0;1;0;1;0;0.047619047619047616;0.1111111111111111;0.0018587360594795538;21.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Bahía;10;3;7;697;776;Atlético Goianiense;4;1;17;13;5;2;0.47;0.53;315;0.79;15;11;4;1;0;0;4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;5;0.04076923076923077;0.26666666666666666;249;0.060240963855421686;529.7872340425532;0.23529411764705882;8.51063829787234;4;-0.06000000000000005;-1;3;4;0.05396825396825397;0.11764705882352941;0.235;2.0;1;1;2;1;0;0;0;1;0.11764705882352941;0.4;0.006349206349206349;8.5;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;Bahía;10;29;28;697;652;Corinthians;4;2;12;18;2;7;0.48;0.52;474;0.88;13;12;4;2;0;0;4;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;7;0.02888888888888889;0.3076923076923077;417;0.03117505995203837;868.75;0.3333333333333333;8.333333333333334;-6;-0.040000000000000036;-3;2;1;0.02531645569620253;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Bahía;10;7;0;697;656;Cuiabá;1;4;12;11;3;2;0.56;0.44;525;0.9;8;9;1;4;0;0;4;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;3;0.04;0.125;472;0.01694915254237288;842.8571428571428;0.3333333333333333;7.142857142857142;1;0.12000000000000005;1;-3;-1;0.022857142857142857;0.16666666666666666;0.28;2.0;1;1;2;1;0;0;1;0;0.16666666666666666;0.6666666666666666;0.0038095238095238095;6.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-24;Bahía;10;0;3;697;649;Paranaense;1;2;25;6;8;3;0.74;0.26;646;0.92;7;13;1;2;0;0;11;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1;0.043333333333333335;0.14285714285714285;594;0.011784511784511785;802.7027027027027;0.44;14.864864864864865;19;0.48;10;-1;-6;0.03869969040247678;0.04;0.74;11.0;0;1;1;0;1;0;0;1;0.04;0.125;0.0015479876160990713;25.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
