Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Damián Emiliano Martínez-Aston Villa;Matty Cash-Aston Villa;Ezri Konsa-Aston Villa;Tyrone Mings-Aston Villa;Ian Maatsen-Aston Villa;Boubacar Kamara-Aston Villa;Youri Tielemans-Aston Villa;Morgan Rogers-Aston Villa;Marco Asensio-Aston Villa;John McGinn-Aston Villa;Ollie Watkins-Aston Villa;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Pau Torres-Aston Villa;Lucas Digne-Aston Villa;Amadou Onana-Aston Villa;Marcus Rashford-Aston Villa;Jacob Ramsey-Aston Villa;Andrés García Robledo-Aston Villa;Axel Disasi-Aston Villa;Donyell Malen-Aston Villa;Robin Olsen-Aston Villa;Leon Bailey-Aston Villa;Lamare Bogarde-Aston Villa;Emiliano Buendía-Aston Villa;Ross Barkley-Aston Villa;Diego Carlos-Aston Villa;Jhon Durán-Aston Villa;Jaden Philogene-Aston Villa;Joe Gauci-Aston Villa;Kosta Nedeljković-Aston Villa;Sil Swinkels-Aston Villa;Kadan Young-Aston Villa;Douglas Luiz-Aston Villa;Moussa Diaby-Aston Villa;Clément Lenglet-Aston Villa;Nicolò Zaniolo-Aston Villa;Tim Iroegbunam-Aston Villa;Alexandre Moreno Lopera-Aston Villa;Leander Dendoncker-Aston Villa;Filip Marschall-Aston Villa;Calum Chambers-Aston Villa
2025-02-28;Aston Villa;15;3;17;1;837;Cardiff;0;0;25;4;10;1;0.68;0.32;604;0.92;10;9;0;0;0;0;12;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0;0.08;0.0;556;0.0179856115107913;817.6470588235294;0.48;17.64705882352941;21;0.36;12;0;1;0.0413907284768211;0.08;0.34;6.0;0;2;2;1;0;0;0;1;0.08;0.2;0.0033112582781456;12.5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Aston Villa;3;6;17;1;65;Crystal Palace;1;3;6;19;2;6;0.65;0.35;468;0.86;10;19;1;3;0;0;8;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.0184210526315789;0.1;402;0.0248756218905472;618.4615384615385;1.3333333333333333;12.307692307692308;-13;0.3;5;-2;-9;0.0128205128205128;0.1666666666666666;0.65;8.0;0;1;1;0;0;1;1;0;0.1666666666666666;0.5;0.0021367521367521;6.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Aston Villa;3;3;3;1;53;Chelsea;1;3;12;15;6;7;0.53;0.47;484;0.86;15;16;1;3;0;0;2;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.0313333333333333;0.0666666666666666;416;0.0360576923076923;784.9056603773585;0.1666666666666666;3.773584905660377;-3;0.06;-1;-2;-1;0.024793388429752;0.1666666666666666;0.265;1.0;0;2;2;1;0;0;0;1;0.1666666666666666;0.3333333333333333;0.0041322314049586;6.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Aston Villa;3;3;3;1;2;Liverpool;1;0;9;17;4;3;0.53;0.47;449;0.84;8;6;1;0;0;0;6;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;8;0.0276470588235294;0.125;377;0.0212201591511936;711.3207547169811;0.6666666666666666;11.320754716981131;-8;0.06;-2;1;2;0.0200445434298441;0.2222222222222222;0.265;3.0;2;0;2;0;1;0;0;1;0.2222222222222222;0.5;0.0044543429844097;4.5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Aston Villa;3;3;3;1;66;Ipswich;0;4;25;4;6;3;0.76;0.24;666;0.9;7;11;0;3;0;1;16;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1;0.06;0.0;599;0.011686143572621;788.1578947368421;0.64;21.05263157894737;21;0.52;15;-4;-4;0.0375375375375375;0.04;0.76;16.0;0;1;1;0;1;0;0;1;0.04;0.1666666666666666;0.0015015015015015;25.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Aston Villa;15;3;3;1;56;Tottenham;0;3;16;11;7;5;0.52;0.48;441;0.87;11;17;0;3;0;0;4;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.0436363636363636;0.0;384;0.0286458333333333;738.4615384615385;0.25;7.692307692307692;5;0.04;-1;-3;-6;0.0362811791383219;0.125;0.26;2.0;1;1;2;1;0;0;0;1;0.125;0.2857142857142857;0.0045351473922902;8.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Aston Villa;3;3;17;1;67;Wolves;3;2;10;8;3;5;0.69;0.31;554;0.88;13;20;3;2;0;0;8;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.03875;0.2307692307692307;488;0.026639344262295;707.2463768115942;0.8;11.594202898550726;2;0.3799999999999999;3;1;-7;0.0180505415162454;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Aston Villa;0;3;0;1;20;Celtic F. C.;0;0;20;6;8;4;0.59;0.41;507;0.88;4;15;0;0;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0683333333333333;0.0;446;0.0089686098654708;755.9322033898305;0.2;6.779661016949153;14;0.18;0;0;-11;0.039447731755424;0.2;0.1475;1.0;2;2;4;1;0;0;0;1;0.2;0.5;0.0078895463510848;5.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Aston Villa;3;3;17;1;61;West Ham;2;3;14;14;4;4;0.45;0.55;378;0.81;13;16;2;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.0392857142857142;0.1538461538461538;306;0.0424836601307189;680.0;0.2857142857142857;8.88888888888889;0;-0.1;1;-1;-3;0.037037037037037;0.0714285714285714;0.45;4.0;1;0;1;0;1;0;0;1;0.0714285714285714;0.25;0.0026455026455026;14.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Aston Villa;0;3;3;1;4;Mónaco;3;1;10;12;5;4;0.61;0.39;508;0.83;14;14;3;1;0;0;7;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0325;0.2142857142857142;422;0.0331753554502369;691.8032786885246;0.7;11.475409836065571;-2;0.2199999999999999;3;2;0;0.0196850393700787;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
