Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Vicente Guaita-Celta de Vigo;Javier Rodríguez Galiano-Celta de Vigo;Yoel Lago-Celta de Vigo;Marcos Alonso Mendoza-Celta de Vigo;Sergio Carreira-Celta de Vigo;Fran Beltrán-Celta de Vigo;Pablo Durán-Celta de Vigo;Ilaix Moriba-Celta de Vigo;Iker Losada-Celta de Vigo;Williot Swedberg-Celta de Vigo;Borja Iglesias-Celta de Vigo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Carl Starfelt-Celta de Vigo;Óscar Mingueza-Celta de Vigo;Iago Aspas-Celta de Vigo;Hugo Sotelo-Celta de Vigo;Alfonso González-Celta de Vigo;Damián Rodríguez Sousa-Celta de Vigo;Mihailo Ristić-Celta de Vigo;Jailson-Celta de Vigo;Fer López-Celta de Vigo;Carlos Domínguez Cáceres-Celta de Vigo;Hugo Álvarez Antúnez-Celta de Vigo;Franco Cervi-Celta de Vigo;Iván Villar-Celta de Vigo;Jonathan Bamba-Celta de Vigo;Joseph Aidoo-Celta de Vigo;Anastasios Douvikas-Celta de Vigo;Javier Manquillo-Celta de Vigo;Miguel Román González-Celta de Vigo;Kevin Vázquez Comesaña-Celta de Vigo;Miguel Rodríguez Vidal-Celta de Vigo;Renato Tapia-Celta de Vigo;Luca de la Torre-Celta de Vigo;Jørgen Strand Larsen-Celta de Vigo;Carles Pérez-Celta de Vigo;Manuel Sánchez de la Peña-Celta de Vigo;Unai Núñez-Celta de Vigo;Tadeo Allende-Celta de Vigo;Carlos Dotor-Celta de Vigo;Agustín Marchesín-Celta de Vigo;Javi Galán-Celta de Vigo;Gabri Veiga-Celta de Vigo;Óscar Rodríguez Arnaiz-Celta de Vigo;Haris Seferović-Celta de Vigo;Hugo Mallo-Celta de Vigo;Gonçalo Paciência-Celta de Vigo;Augusto Solari-Celta de Vigo
2025-02-02;Celta de Vigo;1;6;3;44;52;Valencia C. F.;2;1;3;8;2;5;0.54;0.46;519;0.82;17;9;2;1;0;0;2;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.0575;0.11764705882352941;426;0.03990610328638498;788.8888888888888;0.6666666666666666;3.7037037037037033;-5;0.08000000000000002;-3;1;8;0.005780346820809248;0.3333333333333333;0.54;2.0;0;1;1;0;0;1;1;0;0.3333333333333333;0.5;0.0019267822736030828;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-27;Celta de Vigo;1;6;3;44;45;Alavés;3;2;5;3;2;1;0.49;0.51;464;0.8;14;15;3;2;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.17;0.21428571428571427;371;0.03773584905660377;757.1428571428571;0.8;8.16326530612245;2;-0.020000000000000018;1;1;-1;0.010775862068965518;0.2;0.49;4.0;0;1;1;0;1;0;1;0;0.2;0.5;0.0021551724137931034;5.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Celta de Vigo;1;17;1;44;38;Athletic;2;0;3;14;1;6;0.59;0.41;619;0.84;14;6;1;0;1;0;3;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.029285714285714283;0.14285714285714285;520;0.026923076923076925;881.3559322033899;1.0;5.084745762711865;-11;0.18;-1;2;8;0.004846526655896607;0.3333333333333333;0.59;3.0;0;1;1;0;0;1;0;1;0.3333333333333333;1.0;0.0016155088852988692;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Celta de Vigo;19;9;0;44;12;Real Madrid;4;2;12;23;4;11;0.41;0.59;587;0.85;11;10;4;2;0;0;6;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;11;0.025652173913043478;0.36363636363636365;499;0.022044088176352707;1217.0731707317075;0.5;14.634146341463415;-11;-0.18;-5;2;1;0.020442930153321975;0.16666666666666666;0.205;3.0;0;2;2;0;0;1;1;0;0.16666666666666666;0.5;0.0034071550255536627;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Celta de Vigo;1;3;1;44;42;Rayo Vallecano;2;2;23;8;7;5;0.49;0.51;431;0.77;9;18;1;2;1;0;3;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;3;0.06375;0.2222222222222222;332;0.02710843373493976;677.5510204081633;0.13043478260869565;6.122448979591836;15;-0.020000000000000018;0;0;-9;0.05336426914153132;0.043478260869565216;0.49;3.0;1;0;1;0;0;1;1;0;0.043478260869565216;0.14285714285714285;0.002320185614849188;23.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Celta de Vigo;19;17;3;44;114;Racing de Santander;5;4;17;7;8;3;0.66;0.34;538;0.86;18;18;5;3;0;1;11;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1;0.04857142857142858;0.2777777777777778;463;0.038876889848812095;701.5151515151515;0.6470588235294118;16.666666666666664;10;0.32;10;1;0;0.031598513011152414;0.17647058823529413;0.22;3.6666666666666665;1;2;3;1;0;0;1;0;0.17647058823529413;0.375;0.0055762081784386614;5.666666666666667;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Celta de Vigo;1;6;7;44;46;Real Sociedad;3;5;11;7;7;1;0.41;0.59;338;0.73;19;13;3;5;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;7;0.08428571428571428;0.15789473684210525;247;0.07692307692307693;602.439024390244;0.36363636363636365;9.75609756097561;4;-0.18;-3;-2;6;0.03254437869822485;0.18181818181818182;0.205;2.0;2;0;2;1;0;0;0;1;0.18181818181818182;0.2857142857142857;0.005917159763313609;5.5;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Celta de Vigo;1;6;0;44;43;Sevilla;3;7;10;8;2;3;0.56;0.44;514;0.84;9;12;3;7;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.055;0.3333333333333333;432;0.020833333333333332;771.4285714285713;0.4;7.142857142857142;2;0.12000000000000005;1;-4;-3;0.019455252918287938;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-06;Celta de Vigo;1;6;3;44;40;R.C.D. Mallorca;1;1;12;9;5;4;0.49;0.51;511;0.83;9;12;1;0;0;1;3;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3;0.05666666666666667;0.1111111111111111;424;0.02122641509433962;865.3061224489796;0.25;6.122448979591836;3;-0.020000000000000018;0;0;-3;0.023483365949119372;0.16666666666666666;0.245;1.5;1;1;2;1;0;0;0;1;0.16666666666666666;0.4;0.003913894324853229;6.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-03;Celta de Vigo;19;4;3;44;-1;Salamanca;2;2;17;16;11;1;0.48;0.52;386;0.84;13;14;2;2;0;0;3;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3;0.0325;0.15384615384615385;324;0.040123456790123455;675.0;0.17647058823529413;6.25;1;-0.040000000000000036;0;0;-1;0.04404145077720207;0.4117647058823529;0.06857142857142857;0.42857142857142855;3;4;7;1;0;0;1;0;0.4117647058823529;0.6363636363636364;0.018134715025906734;2.4285714285714284;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
