Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Michele Di Gregorio-Juventus;Pierre Kalulu-Juventus;Renato Veiga-Juventus;Lloyd Kelly-Juventus;Nicolás González-Juventus;Manuel Locatelli-Juventus;Khéphren Thuram-Juventus;Weston McKennie-Juventus;Teun Koopmeiners-Juventus;Kenan Yıldız-Juventus;Dušan Vlahović-Juventus;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Timothy Weah-Juventus;Federico Gatti-Juventus;Randal Kolo Muani-Juventus;Andrea Cambiaso-Juventus;Mattia Perin-Juventus;Francisco Conceição-Juventus;Nicolò Savona-Juventus;Douglas Luiz-Juventus;Samuel Mbangula-Juventus;Danilo da Silva-Juventus;Nicolò Fagioli-Juventus;Juan David Cabal-Juventus;Gleison Bremer-Juventus;Jonas Rouhi-Juventus;Wojciech Szczęsny-Juventus;Fabio Miretti-Juventus;Adrien Rabiot-Juventus;Samuel Iling-Junior-Juventus;Federico Chiesa-Juventus;Hans Nicolussi-Juventus;Daniele Rugani-Juventus;Filip Kostić-Juventus;Moise Kean-Juventus;Alex Sandro-Juventus;Carlos Jonás Alcaraz-Juventus;Mattia De Sciglio-Juventus;Arkadiusz Milik-Juventus;Leonardo Bonucci-Juventus;Juan Guillermo Cuadrado-Juventus;Ángel Di María-Juventus;Tommaso Barbieri-Juventus;Leandro Paredes-Juventus;Paul Pogba-Juventus;Matías Soulé-Juventus;Enzo Barrenechea-Juventus
2025-02-11;Juventus;0;3;3;14;28;PSV;0;1;12;15;8;2;0.47;0.53;397;0.85;14;12;0;1;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.035333333333333335;0.0;337;0.04154302670623145;717.0212765957447;0.4166666666666667;10.638297872340425;-3;-0.06000000000000005;1;-1;2;0.030226700251889168;0.16666666666666666;0.235;2.5;1;1;2;1;0;0;0;1;0.16666666666666666;0.25;0.005037783375314861;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Juventus;4;3;3;14;78;Como;1;3;8;16;3;6;0.47;0.53;386;0.82;15;15;1;3;0;0;1;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;9;0.033125;0.06666666666666667;317;0.0473186119873817;674.468085106383;0.125;2.127659574468085;-8;-0.06000000000000005;-8;-2;0;0.02072538860103627;0.25;0.235;0.5;1;1;2;1;0;0;1;0;0.25;0.6666666666666666;0.0051813471502590676;4.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Juventus;4;3;17;14;75;Empoli;0;2;23;10;8;3;0.56;0.44;382;0.79;14;13;0;1;0;1;8;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;6;0.044;0.0;302;0.046357615894039736;539.2857142857142;0.34782608695652173;14.285714285714285;13;0.12000000000000005;2;-2;1;0.060209424083769635;0.17391304347826086;0.14;2.0;0;4;4;1;0;0;0;1;0.17391304347826086;0.5;0.010471204188481676;5.75;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Juventus;0;3;0;14;13;Benfica;1;2;17;15;4;6;0.67;0.33;621;0.89;8;7;1;2;0;0;7;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;3;0.022000000000000002;0.125;553;0.014466546112115732;825.3731343283581;0.4117647058823529;10.44776119402985;2;0.34;4;-1;1;0.027375201288244767;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Juventus;4;3;0;14;69;Napoli;2;2;5;14;2;3;0.51;0.49;429;0.87;15;9;2;2;0;0;1;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;9;0.034999999999999996;0.13333333333333333;373;0.040214477211796246;731.3725490196078;0.2;1.9607843137254901;-9;0.020000000000000018;-8;0;6;0.011655011655011656;0.2;0.51;1.0;1;0;1;0;0;1;1;0;0.2;0.5;0.002331002331002331;5.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Juventus;0;3;3;14;26;Club Brujas;2;0;5;7;1;0;0.58;0.42;584;0.89;11;7;2;0;0;0;4;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;3;0.06;0.18181818181818182;520;0.021153846153846155;896.551724137931;0.8;6.8965517241379315;-2;0.15999999999999998;1;2;4;0.008561643835616438;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Juventus;4;3;0;14;25;Milan;0;2;15;13;6;3;0.6;0.4;558;0.91;19;11;0;2;0;0;5;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;5;0.03076923076923077;0.0;508;0.03740157480314961;846.6666666666667;0.3333333333333333;8.333333333333334;2;0.19999999999999996;0;-2;8;0.026881720430107527;0.13333333333333333;0.3;2.5;0;2;2;1;0;0;0;1;0.13333333333333333;0.3333333333333333;0.0035842293906810036;7.5;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Juventus;4;3;29;14;17;Atalanta;1;1;17;17;9;6;0.39;0.61;424;0.86;7;10;1;1;0;0;3;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.03588235294117647;0.14285714285714285;365;0.019178082191780823;935.8974358974359;0.17647058823529413;7.692307692307692;0;-0.21999999999999997;0;0;-3;0.04009433962264151;0.058823529411764705;0.39;3.0;0;1;1;0;1;0;1;0;0.058823529411764705;0.1111111111111111;0.0023584905660377358;17.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Juventus;4;3;1;14;73;Torino;1;4;15;11;9;2;0.59;0.41;533;0.91;9;18;1;4;0;0;1;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;9;0.03727272727272727;0.1111111111111111;485;0.018556701030927835;822.0338983050848;0.06666666666666667;1.6949152542372883;4;0.18;-8;-3;-9;0.028142589118198873;0.06666666666666667;0.59;1.0;1;0;1;0;1;0;1;0;0.06666666666666667;0.1111111111111111;0.001876172607879925;15.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-03;Juventus;-1;3;0;14;25;Milan;1;2;10;11;3;3;0.51;0.49;440;0.86;12;9;1;2;0;0;5;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.04454545454545455;0.08333333333333333;378;0.031746031746031744;741.1764705882352;0.5;9.803921568627452;-1;0.020000000000000018;-2;-1;3;0.022727272727272728;0.1;0.51;5.0;1;0;1;0;0;1;0;1;0.1;0.3333333333333333;0.0022727272727272726;10.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
