Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Timo Horn-Bochum;Tim Oermann-Bochum;Jakov Medić-Bochum;Bernardo Fernandes da Silva Junior-Bochum;Cristian Gamboa-Bochum;Matúš Bero-Bochum;Tom Krauß-Bochum;Maximilian Wittek-Bochum;Philipp Hofmann-Bochum;Moritz Broschinski-Bochum;Myron Boadu-Bochum;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Felix Passlack-Bochum;Ibrahima Sissoko-Bochum;Giorgos Masouras-Bochum;Gerrit Holtmann-Bochum;Ivan Ordets-Bochum;Erhan Mašović-Bochum;Patrick Drewes-Bochum;Dani de Wit-Bochum;Anthony Losilla-Bochum;Kōji Miyoshi-Bochum;Lukas Daschner-Bochum;Mats Pannewig-Bochum;Noah Loosli-Bochum;Andreas Luthe-Bochum;Keven Schlotterbeck-Bochum;Kevin Stöger-Bochum;Patrick Osterhage-Bochum;Takuma Asano-Bochum;Manuel Riemann-Bochum;Christopher Antwi-Adjei-Bochum;Philipp Förster-Bochum;Moritz-Broni Kwarteng-Bochum;Gonçalo Paciência-Bochum;Danilo Soares-Bochum;Saidy Janko-Bochum;Dominique Heintz-Bochum;Kostas Stafylidis-Bochum;Simon Zoller-Bochum;Jordi Osei-Tutu-Bochum;Vasilios Lampropoulos-Bochum;Pierre Kunde-Bochum;Jannes Horn-Bochum;Jacek Góralski-Bochum;Michael Esser-Bochum;Armel Bella-Kotchap-Bochum;Herbert Bockhorn-Bochum;Robert Tesche-Bochum;Sebastian Polter-Bochum
2025-02-09;Bochum;9;3;30;178;177;KSV Holstein;2;2;20;10;5;3;0.52;0.48;380;0.68;16;11;2;2;0;0;5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3;0.048;0.125;258;0.06201550387596899;496.15384615384613;0.25;9.615384615384615;10;0.040000000000000036;2;0;5;0.05263157894736842;0.1;0.26;2.5;2;0;2;0;1;0;1;0;0.1;0.4;0.005263157894736842;10.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Bochum;9;3;3;178;170;Friburgo;3;2;22;13;4;5;0.59;0.41;436;0.79;15;10;3;2;0;0;9;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;7;0.031538461538461536;0.2;344;0.0436046511627907;583.0508474576271;0.4090909090909091;15.254237288135593;9;0.18;2;1;5;0.05045871559633028;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Bochum;9;30;3;178;172;Mönchengladbach;3;1;10;16;4;6;0.42;0.58;359;0.77;15;6;3;1;0;0;7;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;8;0.03625;0.2;276;0.05434782608695652;657.1428571428571;0.7;16.666666666666668;-6;-0.15999999999999998;-1;2;9;0.027855153203342618;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Bochum;9;29;17;178;31;RB Leipzig;4;0;14;11;3;3;0.44;0.56;374;0.7;14;7;4;0;0;0;6;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3;0.05090909090909091;0.2857142857142857;262;0.05343511450381679;595.4545454545455;0.42857142857142855;13.636363636363637;3;-0.12000000000000005;3;4;7;0.0374331550802139;0.21428571428571427;0.14666666666666667;2.0;0;3;3;0;1;0;0;1;0.21428571428571427;1.0;0.008021390374331552;4.666666666666667;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Bochum;9;6;6;178;176;St. Pauli;1;4;13;12;5;1;0.51;0.49;380;0.71;7;15;1;3;0;1;6;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;7;0.04083333333333333;0.14285714285714285;270;0.025925925925925925;529.4117647058823;0.46153846153846156;11.76470588235294;1;0.020000000000000018;-1;-3;-8;0.034210526315789476;0.07692307692307693;0.51;6.0;0;1;1;1;0;0;0;1;0.07692307692307693;0.2;0.002631578947368421;13.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Bochum;9;2;17;178;174;Mainz 05;2;0;11;10;2;5;0.41;0.59;373;0.67;16;6;2;0;0;0;6;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;5;0.059;0.125;250;0.064;609.7560975609756;0.5454545454545454;14.634146341463415;1;-0.18;1;2;10;0.029490616621983913;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Bochum;9;2;14;178;142;Heidenheim;2;7;14;10;4;2;0.52;0.48;412;0.73;18;15;2;7;0;0;5;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2;0.048;0.1111111111111111;301;0.059800664451827246;578.8461538461538;0.35714285714285715;9.615384615384615;4;0.040000000000000036;3;-5;3;0.03398058252427184;0.14285714285714285;0.26;2.5;2;0;2;1;0;0;0;1;0.14285714285714285;0.5;0.0048543689320388345;7.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Bochum;9;6;1;178;171;Werder Bremen;1;1;12;9;2;1;0.52;0.48;446;0.77;12;10;1;1;0;0;9;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;5;0.05333333333333333;0.08333333333333333;343;0.03498542274052478;659.6153846153846;0.75;17.307692307692307;3;0.040000000000000036;4;0;2;0.026905829596412557;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-30;Bochum;9;2;2;178;173;Augsburgo;3;3;7;16;1;4;0.46;0.54;399;0.71;22;8;3;3;0;0;1;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;6;0.03375;0.13636363636363635;283;0.07773851590106007;615.2173913043478;0.14285714285714285;2.1739130434782608;-9;-0.08000000000000002;-5;0;14;0.017543859649122806;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Bochum;9;4;1;178;18;Stuttgart;3;2;9;15;2;5;0.42;0.58;420;0.82;16;7;3;2;0;0;4;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;7;0.03866666666666666;0.1875;344;0.046511627906976744;819.047619047619;0.4444444444444444;9.523809523809524;-6;-0.15999999999999998;-3;1;9;0.02142857142857143;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
