Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marko Dmitrović-Leganés;Valentin Rosier-Leganés;Jorge Sáenz-Leganés;Sergio González Poirrier-Leganés;Javier Hernández Carrera-Leganés;Renato Tapia-Leganés;Yvan Neyou-Leganés;Yan Diomande-Leganés;Seydouba Cissé-Leganés;Adrià Altimira-Leganés;Diego García Campos-Leganés;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Óscar Rodríguez Arnaiz-Leganés;Dani Raba-Leganés;Matija Nastasić-Leganés;Juan Cruz Díaz Espósito-Leganés;Darko Brašanac-Leganés;Miguel de la Fuente Escudero-Leganés;Borna Barišić-Leganés;Juan Soriano-Leganés;Munir El Haddadi-Leganés;Roberto López Alcaide-Leganés;Jackson Porozo-Leganés;Iker Bachiller-Leganés;Julián Chicco-Leganés;Sébastien Haller-Leganés;Enric Franquesa-Leganés;Aritz Arambarri-Leganés;Diego Conde-Leganés;Jorge Miramón-Leganés;Francisco Portillo Soler-Leganés;Näis Djouahra-Leganés;Allan Romeo Nyom-Leganés;Iker Undabarrena-Leganés;Óscar Ureña García-Leganés;Naím García-Leganés;Luis Perea Hernández-Leganés;Daniel Jiménez López-Leganés;Kenneth Omeruo-Leganés;Fede Vico-Leganés;Jon Karrikaburu-Leganés;Yacine Qasmi-Leganés;José Manuel Sánchez Guillén-Leganés;José Arnaiz-Leganés;Asier Riesgo-Leganés;Rubén Pardo-Leganés;Juan José Narváez-Leganés;Gaku Shibasaki-Leganés;Juan Muñoz Muñoz-Leganés;Riza Durmisi-Leganés;Duk-Leganés
2025-02-15;Leganés;1;3;3;47;45;Alavés;5;5;8;16;3;7;0.41;0.59;283;0.69;18;15;4;5;1;0;3;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.036875;0.2777777777777778;195;0.0923076923076923;475.609756097561;0.375;7.317073170731708;-8;-0.18;1;0;3;0.0282685512367491;0.375;0.1366666666666666;1.0;2;1;3;0;1;0;0;1;0.375;1.0;0.0106007067137809;2.6666666666666665;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Leganés;1;4;3;47;52;Valencia C. F.;1;1;12;19;4;4;0.56;0.44;475;0.85;9;14;1;1;0;0;3;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;9;0.0231578947368421;0.1111111111111111;404;0.0222772277227722;721.4285714285713;0.25;5.357142857142857;-7;0.12;-6;0;-5;0.0252631578947368;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Leganés;19;7;0;47;12;Real Madrid;1;3;16;20;4;12;0.41;0.59;398;0.87;15;13;1;3;0;0;3;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.0295;0.0666666666666666;346;0.0433526011560693;843.9024390243903;0.1875;7.317073170731708;-4;-0.18;-4;-2;2;0.0402010050251256;0.125;0.205;1.5;1;1;2;0;0;1;0;1;0.125;0.5;0.0050251256281407;8.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-31;Leganés;1;9;3;47;42;Rayo Vallecano;3;4;5;19;1;3;0.33;0.67;281;0.72;7;19;2;4;1;0;2;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;9;0.0352631578947368;0.4285714285714285;202;0.0346534653465346;612.1212121212121;0.4;6.0606060606060606;-14;-0.34;-7;-1;-12;0.0177935943060498;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Leganés;1;9;3;47;38;Athletic;1;1;5;29;2;3;0.32;0.68;269;0.7;8;10;1;1;0;0;1;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;16;0.0234482758620689;0.125;188;0.0425531914893617;587.5;0.2;3.125;-24;-0.36;-15;0;-2;0.0185873605947955;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Leganés;1;9;1;47;27;Atlético Madrid;1;3;9;19;3;4;0.32;0.68;304;0.78;16;6;1;3;0;0;2;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;9;0.0357894736842105;0.0625;237;0.0675105485232067;740.625;0.2222222222222222;6.25;-10;-0.36;-7;-2;10;0.0296052631578947;0.1111111111111111;0.32;2.0;0;1;1;1;0;0;0;1;0.1111111111111111;0.3333333333333333;0.0032894736842105;9.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Leganés;19;3;3;47;126;Almería;3;1;10;13;4;6;0.48;0.52;466;0.82;9;16;3;1;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.04;0.3333333333333333;382;0.0235602094240837;795.8333333333334;0.4;8.333333333333334;-3;-0.04;0;2;-7;0.0214592274678111;0.3;0.16;1.3333333333333333;1;2;3;1;0;0;1;0;0.3;0.75;0.0064377682403433;3.333333333333333;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Leganés;1;9;7;47;49;RCD Espanyol;3;2;14;15;6;5;0.47;0.53;423;0.83;19;15;2;2;1;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;8;0.0353333333333333;0.1578947368421052;351;0.0541310541310541;746.8085106382979;0.2857142857142857;8.51063829787234;-1;-0.06;-4;1;4;0.0330969267139479;0.0714285714285714;0.47;4.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.1666666666666666;0.0023640661938534;14.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Leganés;19;9;5;47;135;Cartagena;1;0;16;7;7;4;0.53;0.47;522;0.83;13;7;1;0;0;0;5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1;0.0671428571428571;0.0769230769230769;433;0.0300230946882217;816.9811320754717;0.3125;9.433962264150942;9;0.06;4;1;6;0.0306513409961685;0.125;0.265;2.5;1;1;2;1;0;0;1;0;0.125;0.2857142857142857;0.003831417624521;8.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Leganés;1;9;1;47;37;Villarreal;2;2;5;18;3;9;0.35;0.65;291;0.74;17;15;1;2;1;0;1;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;5;0.0361111111111111;0.1176470588235294;215;0.0790697674418604;614.2857142857143;0.2;2.857142857142857;-13;-0.3;-4;0;2;0.0171821305841924;0.4;0.175;0.5;2;0;2;0;0;1;0;1;0.4;0.6666666666666666;0.0068728522336769;2.5;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
