Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Mads Hermansen-Leicester City;Ricardo Pereira-Leicester City;Wout Faes-Leicester City;Conor Coady-Leicester City;Luke Thomas-Leicester City;Wilfred Ndidi-Leicester City;Boubakary Soumaré-Leicester City;Bobby Decordova-Reid-Leicester City;Bilal El Khannous-Leicester City;Stephy Mavididi-Leicester City;Jamie Vardy-Leicester City;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;James Justin-Leicester City;Caleb Okoli-Leicester City;Kasey McAteer-Leicester City;Victor Kristiansen-Leicester City;Patson Daka-Leicester City;Jannik Vestergaard-Leicester City;Facundo Buonanotte-Leicester City;Woyo Coulibaly-Leicester City;Jordan Ayew-Leicester City;Harry Winks-Leicester City;Jakub Stolarczyk-Leicester City;Danny Ward-Leicester City;Oliver Skipp-Leicester City;Hamza Choudhury-Leicester City;Abdul Fatawu Issahaku-Leicester City;Odsonne Edouard-Leicester City;Ben Nelson-Leicester City;Yunus Akgün-Leicester City;Kiernan Dewsbury-Hall-Leicester City;Callum Doyle-Leicester City;Dennis Praet-Leicester City;Arjan Raikhy-Leicester City;Marc Albrighton-Leicester City;Tom Cannon-Leicester City;Wanya Marçal-Leicester City;Cesare Casadei-Leicester City;Kelechi Iheanacho-Leicester City;Harry Souttar-Leicester City;Timothy Castagne-Leicester City;Daniel Iversen-Leicester City;Jonny Evans-Leicester City;James Maddison-Leicester City;Youri Tielemans-Leicester City;Harvey Barnes-Leicester City;Çağlar Söyüncü-Leicester City;Tetê-Leicester City;Daniel Amartey-Leicester City;Nampalys Mendy-Leicester City;Ayoze Pérez-Leicester City;Lewis Brunt-Leicester City
2025-02-15;Leicester City;3;3;0;63;9;Arsenal;2;1;6;11;2;5;0.39;0.61;321;0.71;9;10;2;1;0;0;3;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.0554545454545454;0.2222222222222222;228;0.0394736842105263;584.6153846153846;0.5;7.692307692307692;-5;-0.2199999999999999;-4;1;-1;0.0186915887850467;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Leicester City;15;3;6;63;62;Manchester United;0;1;6;13;3;4;0.44;0.56;464;0.82;11;10;0;1;0;0;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;6;0.043076923076923;0.0;380;0.0289473684210526;863.6363636363636;0.1666666666666666;2.272727272727273;-7;-0.12;-5;-1;1;0.0129310344827586;0.1666666666666666;0.44;1.0;1;0;1;0;0;1;1;0;0.1666666666666666;0.3333333333333333;0.0021551724137931;6.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Leicester City;3;3;3;63;64;Everton;0;0;9;13;1;7;0.53;0.47;489;0.81;13;7;0;0;0;0;6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;5;0.0361538461538461;0.0;396;0.0328282828282828;747.1698113207547;0.6666666666666666;11.320754716981131;-4;0.06;1;0;6;0.0184049079754601;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Leicester City;3;3;0;63;56;Tottenham;5;1;12;15;3;6;0.39;0.61;354;0.74;16;6;5;1;0;0;4;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;6;0.0406666666666666;0.3125;262;0.0610687022900763;671.7948717948718;0.3333333333333333;10.256410256410255;-3;-0.2199999999999999;-2;4;10;0.0338983050847457;0.1666666666666666;0.195;2.0;0;2;2;1;0;0;1;0;0.1666666666666666;0.6666666666666666;0.0056497175141242;6.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Leicester City;3;3;3;63;58;Fulham;3;1;8;17;4;2;0.39;0.61;380;0.77;8;8;3;1;0;0;5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.0358823529411764;0.375;293;0.0273037542662116;751.2820512820513;0.625;12.82051282051282;-9;-0.2199999999999999;3;2;0;0.0210526315789473;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Leicester City;3;3;17;63;65;Crystal Palace;0;0;21;9;4;4;0.58;0.42;609;0.85;7;6;0;0;0;0;4;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3;0.0466666666666666;0.0;518;0.0135135135135135;893.1034482758621;0.1904761904761904;6.896551724137932;12;0.1599999999999999;1;0;1;0.0344827586206896;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Leicester City;15;3;3;63;839;QPR;0;0;10;8;6;4;0.54;0.46;533;0.87;9;11;0;0;0;0;2;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;6;0.0575;0.0;464;0.0193965517241379;859.2592592592592;0.2;3.7037037037037033;2;0.08;-4;0;-2;0.0187617260787992;0.6;0.09;0.3333333333333333;3;3;6;1;0;0;0;1;0.6;1.0;0.0112570356472795;1.6666666666666667;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Leicester City;3;3;3;63;1;Aston Villa;1;0;4;13;2;5;0.39;0.61;397;0.84;11;10;1;0;0;0;2;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;6;0.0469230769230769;0.0909090909090909;333;0.033033033033033;853.8461538461538;0.5;5.128205128205128;-9;-0.2199999999999999;-4;1;1;0.0100755667506297;0.25;0.39;2.0;0;1;1;0;0;1;1;0;0.25;0.5;0.0025188916876574;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-29;Leicester City;3;3;7;63;3;Manchester City;2;1;11;14;4;5;0.54;0.46;578;0.93;11;6;2;1;0;0;4;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0328571428571428;0.1818181818181818;538;0.020446096654275;996.2962962962962;0.3636363636363636;7.4074074074074066;-3;0.08;0;1;5;0.0190311418685121;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Leicester City;3;3;3;63;2;Liverpool;2;3;4;19;1;7;0.31;0.69;310;0.76;5;17;2;3;0;0;1;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;14;0.0363157894736842;0.4;236;0.0211864406779661;761.2903225806451;0.25;3.2258064516129035;-15;-0.3799999999999999;-13;-1;-12;0.0129032258064516;0.25;0.31;1.0;1;0;1;0;0;1;1;0;0.25;1.0;0.0032258064516129;4.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
