Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Julen Agirrezabala-Athletic;Óscar de Marcos-Athletic;Dani Vivian-Athletic;Yeray Álvarez-Athletic;Iñigo Lekue-Athletic;Mikel Jauregizar-Athletic;Iñigo Ruiz de Galarreta-Athletic;Álex Berenguer-Athletic;Oihan Sancet-Athletic;Nico Williams-Athletic;Maroan Sannadi-Athletic;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Unai Simón-Athletic;Andoni Gorosabel-Athletic;Aitor Paredes-Athletic;Adama Boiro-Athletic;Beñat Prados-Athletic;Álvaro Djaló-Athletic;Unai Gómez-Athletic;Gorka Guruzeta-Athletic;Iñaki Williams-Athletic;Yuri Berchiche Izeta-Athletic;Unai Núñez-Athletic;Mikel Vesga-Athletic;Peio Canales-Athletic;Ander Herrera-Athletic;Nico Serrano-Athletic;Álex Padilla-Athletic;Dani García-Athletic;Asier Villalibre-Athletic;Iker Muniain-Athletic;Raúl García Escudero-Athletic;Imanol García de Albéniz-Athletic;Malcom Adu Ares-Athletic;Peru Nolaskoain-Athletic;Unai Egiluz-Athletic;Oier Zarraga-Athletic;Íñigo Martínez-Athletic;Ander Capa-Athletic;Mikel Balenziaga-Athletic
2025-02-23;Athletic;1;3;9;38;51;Valladolid;2;2;29;5;16;3;0.57;0.43;418;0.87;10;5;2;1;0;1;4;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.086;0.2;364;0.0274725274725274;638.5964912280702;0.1379310344827586;7.017543859649123;24;0.1399999999999999;0;0;5;0.069377990430622;0.2413793103448276;0.0814285714285714;0.5714285714285714;4;3;7;1;0;0;0;1;0.2413793103448276;0.4375;0.0167464114832535;4.142857142857143;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Athletic;1;3;3;38;49;RCD Espanyol;1;1;14;12;4;4;0.62;0.38;464;0.82;8;12;1;1;0;0;7;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;2;0.0316666666666666;0.125;380;0.0210526315789473;612.9032258064516;0.5;11.290322580645162;2;0.24;5;0;-4;0.0301724137931034;0.0714285714285714;0.62;7.0;0;1;1;0;1;0;1;0;0.0714285714285714;0.25;0.0021551724137931;14.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Athletic;1;3;3;38;24;Girona;0;4;23;3;8;1;0.44;0.56;392;0.82;7;12;0;4;0;0;11;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;2;0.1866666666666666;0.0;321;0.0218068535825545;729.5454545454545;0.4782608695652174;25.0;20;-0.12;9;-4;-5;0.0586734693877551;0.1304347826086956;0.1466666666666666;3.6666666666666665;2;1;3;1;0;0;0;1;0.1304347826086956;0.375;0.0076530612244897;7.666666666666667;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Athletic;1;1;3;38;39;Betis;1;3;12;10;4;6;0.47;0.53;394;0.77;20;10;1;3;0;0;7;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3;0.053;0.05;303;0.066006600660066;644.6808510638298;0.5833333333333334;14.893617021276595;2;-0.06;4;-2;10;0.0304568527918781;0.1666666666666666;0.235;3.5;1;1;2;0;1;0;1;0;0.1666666666666666;0.5;0.0050761421319796;6.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Athletic;5;3;2;38;98;Viktoria Plzeň;2;3;19;8;8;2;0.58;0.42;492;0.84;11;9;2;2;0;1;7;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1;0.0525;0.1818181818181818;413;0.0266343825665859;712.0689655172414;0.3684210526315789;12.06896551724138;11;0.1599999999999999;6;-1;2;0.0386178861788617;0.1578947368421052;0.1933333333333333;2.333333333333333;1;2;3;1;0;0;0;1;0.1578947368421052;0.375;0.0060975609756097;6.333333333333333;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Athletic;1;3;9;38;47;Leganés;1;1;29;5;3;2;0.68;0.32;526;0.87;10;8;1;1;0;0;16;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1;0.064;0.1;458;0.0218340611353711;673.5294117647059;0.5517241379310345;23.52941176470588;24;0.36;15;0;2;0.0551330798479087;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Athletic;5;3;3;38;104;Beşiktaş;0;3;10;11;4;9;0.53;0.47;471;0.82;15;15;0;3;0;0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.0427272727272727;0.0;386;0.038860103626943;728.3018867924528;0.1;1.8867924528301885;-1;0.06;-3;-3;0;0.0212314225053078;0.1;0.53;1.0;1;0;1;0;0;1;1;0;0.1;0.25;0.0021231422505307;10.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Athletic;1;1;17;38;44;Celta de Vigo;0;2;14;3;6;1;0.41;0.59;434;0.79;6;14;0;1;0;1;4;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.1966666666666666;0.0;343;0.0174927113702623;836.5853658536586;0.2857142857142857;9.75609756097561;11;-0.18;1;-2;-8;0.032258064516129;0.1428571428571428;0.205;2.0;0;2;2;1;0;0;1;0;0.1428571428571428;0.3333333333333333;0.0046082949308755;7.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Athletic;19;3;3;38;41;Osasuna;1;3;23;9;8;5;0.6;0.4;473;0.85;13;13;1;3;0;0;12;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.0444444444444444;0.0769230769230769;402;0.0323383084577114;670.0;0.5217391304347826;20.0;14;0.1999999999999999;9;-2;0;0.0486257928118393;0.0869565217391304;0.3;6.0;1;1;2;0;0;1;0;1;0.0869565217391304;0.25;0.0042283298097251;11.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-08;Athletic;18;3;3;38;10;Barcelona;2;0;10;14;5;8;0.43;0.57;388;0.77;13;8;2;0;0;0;7;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2;0.0407142857142857;0.1538461538461538;299;0.0434782608695652;695.3488372093024;0.7;16.27906976744186;-4;-0.1399999999999999;5;2;5;0.0257731958762886;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
