Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Zion Suzuki-Parma;Giovanni Leoni-Parma;Alessandro Vogliacco-Parma;Lautaro Rodrigo Valenti-Parma;Enrico Del Prato-Parma;Adrián Bernabé-Parma;Mandela Keita-Parma;Simon Sohm-Parma;Emanuele Valeri-Parma;Mateo Pellegrino-Parma;Ange-Yoan Bonny-Parma;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Pontus Almqvist-Parma;Hernani Azevedo Junior-Parma;Dennis Man-Parma;Nahuel Estévez-Parma;Matteo Cancellieri-Parma;Botond Balogh-Parma;Milan Djuric-Parma;Drissa Camara-Parma;Anas Haj Mohamed-Parma;Valentin Mihăilă-Parma;Antoine Hainaut-Parma;Woyo Coulibaly-Parma;Adrian Benedyczak-Parma;Yordan Osorio-Parma;Leandro Chichizola-Parma;Alessandro Circati-Parma;Mateusz Kowalski-Parma;Wylan Cyprien-Parma;Anthony Partipilo-Parma;Edoardo Corvi-Parma;Cristian Ansaldi-Parma;Antonio Čolak-Parma;Gianluca Di Chiara-Parma;Vasilios Zagaritis-Parma;Gabriel Charpentier-Parma;Tjaš Begić-Parma;Franco Vázquez-Parma;Gianluigi Buffon-Parma;Elias Cobbaut-Parma;Luca Zanimacchia-Parma;Stanko Jurić-Parma;Roberto Inglese-Parma;Jayden Oosterwolde-Parma;Gennaro Tutino-Parma;Simone Romagnoli-Parma
2025-01-26;Parma;4;3;0;76;25;Milan;5;2;12;14;5;5;0.39;0.61;312;0.8;7;14;5;2;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;7;0.04357142857142857;0.7142857142857143;250;0.028;641.025641025641;0.3333333333333333;10.256410256410255;-2;-0.21999999999999997;-3;3;-7;0.038461538461538464;0.16666666666666666;0.195;2.0;1;1;2;0;0;1;1;0;0.16666666666666666;0.4;0.00641025641025641;6.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Parma;4;3;2;76;81;Venezia;2;3;19;7;8;2;0.6;0.4;496;0.83;13;16;2;3;0;0;8;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;2;0.05714285714285715;0.15384615384615385;412;0.03155339805825243;686.6666666666667;0.42105263157894735;13.333333333333334;12;0.19999999999999996;6;-1;-3;0.038306451612903226;0.05263157894736842;0.6;8.0;0;1;1;0;1;0;0;1;0.05263157894736842;0.125;0.0020161290322580645;19.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Parma;4;3;7;76;83;Genoa;3;2;9;14;3;4;0.38;0.62;346;0.79;10;10;3;2;0;0;9;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;6;0.04428571428571428;0.3;273;0.03663003663003663;718.421052631579;1.0;23.684210526315788;-5;-0.24;3;1;0;0.02601156069364162;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Parma;4;0;17;76;73;Torino;1;2;10;12;3;4;0.38;0.62;358;0.79;9;9;1;2;0;0;7;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;8;0.051666666666666666;0.1111111111111111;283;0.03180212014134275;744.7368421052631;0.7;18.42105263157895;-2;-0.24;-1;-1;0;0.027932960893854747;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-28;Parma;4;0;29;76;80;Monza;3;6;9;10;3;4;0.44;0.56;329;0.77;16;21;3;5;0;1;4;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;6;0.05600000000000001;0.1875;253;0.06324110671936758;575.0;0.4444444444444444;9.090909090909092;-1;-0.12000000000000005;-2;-3;-5;0.02735562310030395;0.2222222222222222;0.22;2.0;0;2;2;1;0;0;0;1;0.2222222222222222;0.6666666666666666;0.0060790273556231;4.5;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Parma;4;3;17;76;74;Roma;2;1;9;19;3;9;0.4;0.6;383;0.84;9;10;2;1;0;0;2;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;5;0.031578947368421054;0.2222222222222222;322;0.027950310559006212;805.0;0.2222222222222222;5.0;-10;-0.19999999999999996;-3;1;-1;0.02349869451697128;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Parma;4;3;17;76;77;Hellas Verona;1;3;19;17;8;6;0.56;0.44;466;0.81;5;16;1;3;0;0;5;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;2;0.02588235294117647;0.2;377;0.013262599469496022;673.2142857142857;0.2631578947368421;8.928571428571427;2;0.12000000000000005;3;-2;-11;0.0407725321888412;0.10526315789473684;0.28;2.5;1;1;2;0;0;1;0;1;0.10526315789473684;0.25;0.004291845493562232;9.5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-06;Parma;4;3;2;76;7;Inter;1;1;4;18;1;5;0.43;0.57;396;0.84;3;8;1;1;0;0;1;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;10;0.03166666666666666;0.3333333333333333;333;0.009009009009009009;774.4186046511628;0.25;2.3255813953488373;-14;-0.13999999999999996;-9;0;-5;0.010101010101010102;0.25;0.43;1.0;0;1;1;0;0;1;1;0;0.25;1.0;0.0025252525252525255;4.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Parma;4;3;0;76;71;Lazio;4;3;12;23;4;8;0.28;0.72;232;0.67;17;13;4;3;0;0;4;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;10;0.03130434782608695;0.23529411764705882;155;0.10967741935483871;553.5714285714286;0.3333333333333333;14.285714285714285;-11;-0.43999999999999995;-6;1;4;0.05172413793103448;0.25;0.09333333333333334;1.3333333333333333;1;2;3;1;0;0;0;1;0.25;0.75;0.01293103448275862;4.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Parma;4;3;29;76;17;Atalanta;0;2;9;15;3;6;0.45;0.55;513;0.83;6;8;0;2;0;0;2;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;5;0.03666666666666667;0.0;426;0.014084507042253521;946.6666666666666;0.2222222222222222;4.444444444444445;-6;-0.10000000000000003;-3;-2;-2;0.017543859649122806;0.1111111111111111;0.45;2.0;0;1;1;0;0;1;0;1;0.1111111111111111;0.3333333333333333;0.001949317738791423;9.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Parma;4;3;17;76;81;Venezia;2;1;10;12;3;6;0.32;0.68;288;0.71;10;9;2;1;0;0;6;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;6;0.05666666666666667;0.2;204;0.049019607843137254;637.5;0.6;18.75;-2;-0.36000000000000004;0;1;1;0.034722222222222224;0.2;0.16;3.0;1;1;2;1;0;0;1;0;0.2;0.6666666666666666;0.006944444444444444;5.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
