Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Sergio Herrera Pirón-Osasuna;Jesús Areso-Osasuna;Enzo Boyomo-Osasuna;Alejandro Catena Marugán-Osasuna;Jorge Herrando-Osasuna;Abel Bretones-Osasuna;Jon Moncayola-Osasuna;Lucas Torró-Osasuna;Aimar Oroz-Osasuna;Ante Budimir-Osasuna;Rubén García Santos-Osasuna;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aitor Fernández Abarisketa-Osasuna;Juan Cruz Álvaro Armada-Osasuna;Pablo Ibáñez Lumbreras-Osasuna;Iker Muñoz-Osasuna;José Arnaiz-Osasuna;Raúl García de Haro-Osasuna;Bryan Zaragoza-Osasuna;Rubén Peña Jiménez-Osasuna;Moi Gómez-Osasuna;Kike Barja-Osasuna;Nacho Vidal Miralles-Osasuna;Unai García-Osasuna;Iker Benito-Osasuna;Johan Mojica-Osasuna;David García-Osasuna;Darko Brašanac-Osasuna;Ezequiel Ávila-Osasuna;Aridane Hernández-Osasuna;Manuel Sánchez de la Peña-Osasuna;Abde Ezzalzouli-Osasuna;Diego Moreno Garbayo-Osasuna;Kike García-Osasuna;Roberto Torres Morales-Osasuna
2025-02-06;Osasuna;19;3;7;41;46;Real Sociedad;5;3;9;11;3;4;0.43;0.57;300;0.7;12;19;4;3;1;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;9;0.05181818181818181;0.4166666666666667;210;0.05714285714285714;488.37209302325584;0.4444444444444444;9.30232558139535;-2;-0.13999999999999996;-5;2;-7;0.03;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Osasuna;1;0;7;41;46;Real Sociedad;3;3;11;13;4;3;0.37;0.63;319;0.78;10;8;3;3;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.04846153846153846;0.3;249;0.040160642570281124;672.972972972973;0.2727272727272727;8.108108108108109;-2;-0.26;-2;0;2;0.034482758620689655;0.18181818181818182;0.185;1.5;1;1;2;1;0;0;0;1;0.18181818181818182;0.5;0.006269592476489028;5.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-24;Osasuna;1;7;3;41;50;U. D. Las Palmas;8;6;16;16;4;7;0.48;0.52;375;0.76;17;14;8;5;0;1;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0325;0.47058823529411764;285;0.05964912280701754;593.75;0.125;4.166666666666667;0;-0.040000000000000036;-2;2;3;0.042666666666666665;0.0625;0.48;2.0;0;1;1;0;1;0;1;0;0.0625;0.25;0.0026666666666666666;16.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Osasuna;1;3;1;41;42;Rayo Vallecano;3;2;12;8;3;3;0.53;0.47;414;0.81;9;13;3;2;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.05875;0.3333333333333333;335;0.026865671641791045;632.0754716981131;0.5;11.320754716981131;4;0.06000000000000005;3;1;-4;0.028985507246376812;0.08333333333333333;0.53;6.0;0;1;1;0;1;0;0;1;0.08333333333333333;0.3333333333333333;0.0024154589371980675;12.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Osasuna;19;3;3;41;38;Athletic;3;1;9;23;5;8;0.4;0.6;335;0.76;13;13;3;1;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;12;0.02608695652173913;0.23076923076923078;255;0.050980392156862744;637.5;0.3333333333333333;7.5;-14;-0.19999999999999996;-9;2;0;0.026865671641791045;0.3333333333333333;0.13333333333333333;1.0;2;1;3;1;0;0;1;0;0.3333333333333333;0.6;0.008955223880597015;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Osasuna;1;4;1;41;27;Atlético Madrid;0;1;6;9;1;5;0.49;0.51;533;0.85;14;8;0;1;0;0;0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;4;0.05666666666666667;0.0;453;0.03090507726269316;924.4897959183673;0.0;0.0;-3;-0.020000000000000018;-4;-1;6;0.01125703564727955;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Osasuna;19;3;3;41;134;Tenerife;3;4;12;8;7;5;0.52;0.48;460;0.82;11;10;3;4;0;0;9;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.06;0.2727272727272727;377;0.029177718832891247;725.0;0.75;17.307692307692307;4;0.040000000000000036;6;-1;1;0.02608695652173913;0.16666666666666666;0.26;4.5;2;0;2;1;0;0;1;0;0.16666666666666666;0.2857142857142857;0.004347826086956522;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Osasuna;1;0;3;41;38;Athletic;0;1;6;13;3;8;0.53;0.47;429;0.78;10;13;0;1;0;0;4;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;3;0.036153846153846154;0.0;335;0.029850746268656716;632.0754716981131;0.6666666666666666;7.547169811320754;-7;0.06000000000000005;1;-1;-3;0.013986013986013986;0.16666666666666666;0.53;4.0;1;0;1;0;0;1;0;1;0.16666666666666666;0.3333333333333333;0.002331002331002331;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Osasuna;1;1;1;41;49;RCD Espanyol;1;3;6;9;0;3;0.59;0.41;502;0.84;13;13;1;3;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;5;0.04555555555555555;0.07692307692307693;422;0.030805687203791468;715.2542372881356;0.6666666666666666;6.779661016949153;-3;0.18;-1;-2;0;0.01195219123505976;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Osasuna;1;3;8;41;45;Alavés;5;3;16;6;8;3;0.6;0.4;472;0.82;13;14;5;3;0;0;8;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3;0.06666666666666667;0.38461538461538464;387;0.03359173126614987;645.0;0.5;13.333333333333334;10;0.19999999999999996;5;2;-1;0.03389830508474576;0.125;0.3;4.0;0;2;2;0;1;0;0;1;0.125;0.25;0.00423728813559322;8.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
