Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Wojciech Szczęsny-Barcelona;Jules Koundé-Barcelona;Pau Cubarsí-Barcelona;Íñigo Martínez-Barcelona;Gerard Martín-Barcelona;Fermín López Marín-Barcelona;Frenkie de Jong-Barcelona;Pedri-Barcelona;Raphinha-Barcelona;Robert Lewandowski-Barcelona;Ferran Torres-Barcelona;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Ronald Araújo-Barcelona;Gavi-Barcelona;Lamine Yamal-Barcelona;Alejandro Baldé-Barcelona;Eric García-Barcelona;Dani Olmo-Barcelona;Marc Casadó-Barcelona;Héctor Fort-Barcelona;Iñaki Peña-Barcelona;Pablo Torre-Barcelona;Ansu Fati-Barcelona;Sergi Domínguez-Barcelona;Pau Víctor-Barcelona;Marc-André ter Stegen-Barcelona;Marc Bernal-Barcelona;Álex Valle-Barcelona;Clément Lenglet-Barcelona;Andreas Christensen-Barcelona;İlkay Gündoğan-Barcelona;Unai Hernández-Barcelona;Julián Araujo-Barcelona;Vitor Roque-Barcelona;João Cancelo-Barcelona;Sergi Roberto-Barcelona;Marcos Alonso Mendoza-Barcelona;Oriol Romeu-Barcelona;João Félix-Barcelona;Marc Guiu-Barcelona;Ander Astralaga-Barcelona;Abde Ezzalzouli-Barcelona;Ousmane Dembélé-Barcelona;Sergiño Dest-Barcelona;Franck Kessié-Barcelona;Pau Prim-Barcelona;Daniel Rodríguez Crespo-Barcelona;Jordi Alba-Barcelona;Sergio Busquets-Barcelona
2025-03-05;Barcelona;0;3;0;10;13;Benfica;2;4;10;26;5;8;0.48;0.52;430;0.82;5;18;1;4;1;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;13;0.02;0.4;353;0.014164305949008499;735.4166666666667;0.4;8.333333333333334;-16;-0.040000000000000036;-9;-2;-13;0.023255813953488372;0.1;0.48;4.0;0;1;1;1;0;0;1;0;0.1;0.2;0.002325581395348837;10.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Barcelona;1;7;7;10;46;Real Sociedad;0;1;33;0;10;0;0.77;0.23;746;0.91;15;6;0;0;0;1;12;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0;0.0;0.0;679;0.022091310751104567;881.8181818181818;0.36363636363636365;15.584415584415584;33;0.54;12;-1;9;0.04423592493297587;0.12121212121212122;0.1925;3.0;2;2;4;1;0;0;0;1;0.12121212121212122;0.4;0.005361930294906166;8.25;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Barcelona;19;3;1;10;27;Atlético Madrid;0;4;16;10;9;7;0.68;0.32;677;0.88;12;10;0;4;0;0;8;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.032;0.0;596;0.020134228187919462;876.470588235294;0.5;11.76470588235294;6;0.36000000000000004;5;-4;2;0.023633677991137372;0.25;0.17;2.0;3;1;4;0;1;0;0;1;0.25;0.4444444444444444;0.005908419497784343;4.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Barcelona;1;3;3;10;50;U. D. Las Palmas;1;1;15;10;5;2;0.71;0.29;667;0.88;4;13;1;1;0;0;3;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;5;0.028999999999999998;0.25;587;0.0068143100511073255;826.7605633802817;0.2;4.225352112676057;5;0.42;-2;0;-9;0.022488755622188907;0.13333333333333333;0.355;1.5;0;2;2;1;0;0;1;0;0.13333333333333333;0.4;0.0029985007496251873;7.5;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-17;Barcelona;1;3;3;10;42;Rayo Vallecano;2;3;14;9;5;4;0.6;0.4;541;0.86;11;9;2;3;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;5;0.044444444444444446;0.18181818181818182;465;0.023655913978494623;775.0;0.2857142857142857;6.666666666666667;5;0.19999999999999996;-1;-1;2;0.025878003696857672;0.07142857142857142;0.6;4.0;1;0;1;1;0;0;0;1;0.07142857142857142;0.2;0.0018484288354898336;14.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Barcelona;1;3;3;10;43;Sevilla;3;5;10;8;6;4;0.6;0.4;507;0.85;6;14;2;5;1;0;6;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;5;0.05;0.5;431;0.013921113689095127;718.3333333333334;0.6;10.0;2;0.19999999999999996;1;-2;-8;0.01972386587771203;0.4;0.15;1.5;1;3;4;1;0;0;1;0;0.4;0.6666666666666666;0.007889546351084813;2.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Barcelona;19;0;9;10;52;Valencia C. F.;0;2;17;4;9;1;0.77;0.23;839;0.91;7;6;0;2;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0575;0.0;763;0.009174311926605505;990.9090909090909;0.23529411764705882;5.194805194805195;13;0.54;1;-2;1;0.02026221692491061;0.29411764705882354;0.154;0.8;4;1;5;1;0;0;1;0;0.29411764705882354;0.5555555555555556;0.0059594755661501785;3.4;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Barcelona;1;0;3;10;45;Alavés;5;2;11;3;4;0;0.71;0.29;625;0.88;8;20;5;2;0;0;5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2;0.09666666666666666;0.625;550;0.014545454545454545;774.6478873239437;0.45454545454545453;7.042253521126761;8;0.42;3;3;-12;0.0176;0.09090909090909091;0.71;5.0;0;1;1;1;0;0;0;1;0.09090909090909091;0.25;0.0016;11.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Barcelona;0;3;29;10;17;Atalanta;0;4;16;8;7;4;0.69;0.31;633;0.9;7;13;0;4;0;0;7;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;4;0.03875;0.0;570;0.012280701754385965;826.0869565217392;0.4375;10.144927536231885;8;0.37999999999999995;3;-4;-6;0.02527646129541864;0.125;0.345;3.5;0;2;2;0;1;0;0;1;0.125;0.2857142857142857;0.00315955766192733;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Barcelona;1;3;1;10;52;Valencia C. F.;0;1;22;7;11;2;0.72;0.28;707;0.9;10;12;0;1;0;0;14;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.04;0.0;636;0.015723270440251572;883.3333333333334;0.6363636363636364;19.444444444444446;15;0.43999999999999995;10;-1;-2;0.031117397454031116;0.3181818181818182;0.10285714285714286;2.0;5;2;7;1;0;0;0;1;0.3181818181818182;0.6363636363636364;0.009900990099009901;3.142857142857143;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
