Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Matz Sels-Nottingham Forest;Neco Williams-Nottingham Forest;Nikola Milenković-Nottingham Forest;Murillo Santiago Costa dos Santos-Nottingham Forest;Alexandre Moreno Lopera-Nottingham Forest;Nicolás Domínguez-Nottingham Forest;Elliot Anderson-Nottingham Forest;Jota Silva-Nottingham Forest;Morgan Gibbs-White-Nottingham Forest;Callum Hudson-Odoi-Nottingham Forest;Chris Wood-Nottingham Forest;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Morato-Nottingham Forest;Ryan Yates-Nottingham Forest;Anthony Elanga-Nottingham Forest;Ola Aina-Nottingham Forest;Danilo dos Santos de Oliveira-Nottingham Forest;Taiwo Awoniyi-Nottingham Forest;Ibrahim Sangaré-Nottingham Forest;Ramón Sosa-Nottingham Forest;James Ward-Prowse-Nottingham Forest;Willy Boly-Nottingham Forest;Gonzalo Montiel-Nottingham Forest;Harry Toffolo-Nottingham Forest;Moussa Niakhaté-Nottingham Forest;Giovanni Reyna-Nottingham Forest;Andrew Omobamidele-Nottingham Forest;Felipe Augusto-Nottingham Forest;Divock Origi-Nottingham Forest;Nuno Tavares-Nottingham Forest;Matt Turner-Nottingham Forest;Orel Mangala-Nottingham Forest;Odisseas Vlachodimos-Nottingham Forest;Joe Worrall-Nottingham Forest;Cheikhou Kouyaté-Nottingham Forest;Serge Aurier-Nottingham Forest;Scott McKenna-Nottingham Forest;Andrey Santos-Nottingham Forest;Brennan Johnson-Nottingham Forest;Ethan Horvath-Nottingham Forest;Wayne Hennessey-Nottingham Forest;Renan Lodi-Nottingham Forest;Keylor Navas-Nottingham Forest;Remo Freuler-Nottingham Forest;Jonjo Shelvey-Nottingham Forest;Emmanuel Dennis-Nottingham Forest;André Ayew-Nottingham Forest;Jesse Lingard-Nottingham Forest;Jack Colback-Nottingham Forest;Gustavo Scarpa-Nottingham Forest;Sam Surridge-Nottingham Forest;Dean Henderson-Nottingham Forest;Steve Cook-Nottingham Forest;Billy Fewster-Nottingham Forest;Lewis O'Brien-Nottingham Forest;Zach Abbott-Nottingham Forest
2025-03-03;Nottingham Forest;15;3;3;55;66;Ipswich;3;2;22;11;4;4;0.54;0.46;567;0.82;13;9;3;2;0;0;11;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2;0.0418181818181818;0.2307692307692307;465;0.0279569892473118;861.1111111111111;0.5;20.37037037037037;11;0.08;9;1;4;0.0388007054673721;0.0454545454545454;0.54;11.0;0;1;1;0;1;0;0;1;0.0454545454545454;0.25;0.001763668430335;22.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Nottingham Forest;3;3;0;55;9;Arsenal;1;1;6;13;2;1;0.34;0.66;268;0.74;10;17;1;1;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;11;0.0507692307692307;0.1;198;0.0505050505050505;582.3529411764705;0.5;8.823529411764705;-7;-0.32;-8;0;-7;0.0223880597014925;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Nottingham Forest;3;3;0;55;60;Newcastle;4;1;17;13;5;5;0.42;0.58;345;0.73;13;11;4;1;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0446153846153846;0.3076923076923077;252;0.0515873015873015;600.0;0.3529411764705882;14.285714285714286;4;-0.1599999999999999;-1;3;2;0.0492753623188405;0.1764705882352941;0.1399999999999999;2.0;1;2;3;0;0;1;1;0;0.1764705882352941;0.6;0.008695652173913;5.666666666666667;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Nottingham Forest;3;2;3;55;58;Fulham;0;0;8;24;2;10;0.44;0.56;404;0.84;8;13;0;0;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.0233333333333333;0.0;339;0.023598820058997;770.4545454545455;0.5;9.090909090909092;-16;-0.12;-4;0;-5;0.0198019801980198;0.125;0.44;4.0;1;0;1;0;0;1;1;0;0.125;0.5;0.0024752475247524;8.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Nottingham Forest;3;2;7;55;54;Brighton;1;3;14;10;9;5;0.37;0.63;326;0.78;8;13;1;3;0;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;6;0.063;0.125;254;0.0314960629921259;686.4864864864865;0.2857142857142857;10.81081081081081;4;-0.26;-2;-2;-5;0.0429447852760736;0.5;0.0528571428571428;0.5714285714285714;3;4;7;1;0;0;0;1;0.5;0.7777777777777778;0.0214723926380368;2.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Nottingham Forest;3;3;3;55;59;Bournemouth;3;2;18;16;4;10;0.49;0.51;338;0.74;12;9;3;2;0;0;9;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3;0.031875;0.25;250;0.048;510.2040816326531;0.5;18.367346938775512;2;-0.02;6;1;3;0.0532544378698224;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Nottingham Forest;3;3;29;55;68;Southampton;0;4;14;10;5;4;0.44;0.56;386;0.82;4;18;0;4;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;8;0.056;0.0;317;0.0126182965299684;720.4545454545455;0.1428571428571428;4.545454545454546;4;-0.12;-6;-4;-14;0.0362694300518134;0.2142857142857142;0.1466666666666666;0.6666666666666666;3;0;3;1;0;0;0;1;0.2142857142857142;0.6;0.0077720207253886;4.666666666666667;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-06;Nottingham Forest;3;3;17;55;67;Wolves;2;1;11;13;3;6;0.39;0.61;361;0.79;8;10;2;1;0;0;3;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;5;0.0469230769230769;0.25;285;0.0280701754385964;730.7692307692307;0.2727272727272727;7.692307692307692;-2;-0.2199999999999999;-2;1;-2;0.0304709141274238;0.2727272727272727;0.13;1.0;2;1;3;1;0;0;1;0;0.2727272727272727;1.0;0.0083102493074792;3.6666666666666665;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-29;Nottingham Forest;3;3;0;55;64;Everton;1;4;11;13;7;2;0.36;0.64;288;0.68;10;13;1;4;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;5;0.0492307692307692;0.1;196;0.0510204081632653;544.4444444444445;0.3636363636363636;11.11111111111111;-2;-0.28;-1;-3;-3;0.0381944444444444;0.1818181818181818;0.18;2.0;1;1;2;1;0;0;1;0;0.1818181818181818;0.2857142857142857;0.0069444444444444;5.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Nottingham Forest;3;3;3;55;56;Tottenham;3;3;10;13;3;4;0.29;0.71;261;0.73;12;13;3;2;0;1;2;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;7;0.0546153846153846;0.25;191;0.06282722513089;658.6206896551724;0.2;6.896551724137932;-3;-0.42;-5;0;-1;0.0383141762452107;0.1;0.29;2.0;1;0;1;1;0;0;0;1;0.1;0.3333333333333333;0.003831417624521;10.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Nottingham Forest;3;17;0;55;57;Brentford;4;3;10;7;6;3;0.35;0.65;303;0.77;14;10;4;3;0;0;5;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;9;0.0928571428571428;0.2857142857142857;233;0.0600858369098712;665.7142857142858;0.5;14.285714285714286;3;-0.3;-4;1;4;0.033003300330033;0.2;0.175;2.5;1;1;2;1;0;0;1;0;0.2;0.3333333333333333;0.0066006600660066;5.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Nottingham Forest;3;3;3;55;1;Aston Villa;0;1;17;8;6;2;0.51;0.49;472;0.91;12;6;0;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.06125;0.0;430;0.027906976744186;843.1372549019608;0.2352941176470588;7.84313725490196;9;0.02;1;-1;6;0.0360169491525423;0.1176470588235294;0.255;2.0;0;2;2;1;0;0;0;1;0.1176470588235294;0.3333333333333333;0.0042372881355932;8.5;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Nottingham Forest;3;3;17;55;62;Manchester United;2;0;11;17;3;7;0.28;0.72;242;0.65;13;10;2;0;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5;0.0423529411764705;0.1538461538461538;157;0.0828025477707006;560.7142857142857;0.2727272727272727;10.714285714285714;-6;-0.4399999999999999;-2;2;3;0.0454545454545454;0.2727272727272727;0.0933333333333333;1.0;1;2;3;1;0;0;1;0;0.2727272727272727;1.0;0.012396694214876;3.6666666666666665;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
