Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Álex Remiro-Real Sociedad;Hamari Traoré-Real Sociedad;Jon Martín-Real Sociedad;Aritz Elustondo-Real Sociedad;Aihen Muñoz-Real Sociedad;Beñat Turrientes-Real Sociedad;Takefusa Kubo-Real Sociedad;Pablo Marín-Real Sociedad;Luka Sučić-Real Sociedad;Sergio Gómez Martín-Real Sociedad;Mikel Oyarzabal-Real Sociedad;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jon Aramburu-Real Sociedad;Martín Zubimendi-Real Sociedad;Ander Barrenetxea Muguruza-Real Sociedad;Igor Zubeldia-Real Sociedad;Javier López Carballo-Real Sociedad;Jon Ander Olasagasti-Real Sociedad;Nayef Aguerd-Real Sociedad;Orri Óskarsson-Real Sociedad;Brais Méndez-Real Sociedad;Sheraldo Becker-Real Sociedad;Unai Marrero-Real Sociedad;Arsen Zajarián-Real Sociedad;Jon Pacheco-Real Sociedad;Jon Balda-Real Sociedad;Álvaro Odriozola-Real Sociedad;Urko González de Zárate-Real Sociedad;Umar Sadiq-Real Sociedad;Jon Magunazelaia-Real Sociedad;Luken Beitia-Real Sociedad;Kieran Tierney-Real Sociedad;Mikel Merino-Real Sociedad;Javi Galán-Real Sociedad;Robin Le Normand-Real Sociedad;André Silva-Real Sociedad;Alberto Dadie-Real Sociedad;Momo Cho-Real Sociedad;Carlos Fernández Luna-Real Sociedad;Andoni Gorosabel-Real Sociedad;Diego Rico-Real Sociedad;Asier Illarramendi-Real Sociedad;Alexander Sørloth-Real Sociedad;David Silva-Real Sociedad
2025-02-26;Real Sociedad;19;7;1;46;12;Real Madrid;0;2;11;14;6;5;0.52;0.48;450;0.86;17;9;0;2;0;0;8;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.03428571428571429;0.0;387;0.04392764857881137;744.2307692307692;0.7272727272727273;15.384615384615383;-3;0.040000000000000036;0;-2;8;0.024444444444444446;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Real Sociedad;1;7;4;46;47;Leganés;3;3;12;8;5;2;0.56;0.44;469;0.83;13;13;3;3;0;0;3;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.055;0.23076923076923078;389;0.033419023136246784;694.6428571428571;0.25;5.357142857142857;4;0.12000000000000005;0;0;0;0.0255863539445629;0.25;0.18666666666666668;1.0;1;2;3;1;0;0;0;1;0.25;0.6;0.006396588486140725;4.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-20;Real Sociedad;5;0;0;46;88;Midtjylland;1;3;22;8;10;3;0.53;0.47;326;0.8;18;11;1;2;0;1;7;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;6;0.05875;0.05555555555555555;261;0.06896551724137931;492.45283018867923;0.3181818181818182;13.20754716981132;14;0.06000000000000005;1;-2;7;0.06748466257668712;0.22727272727272727;0.10600000000000001;1.4;3;2;5;1;0;0;0;1;0.22727272727272727;0.5;0.015337423312883436;4.4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Real Sociedad;1;1;3;46;39;Betis;4;0;5;24;1;8;0.31;0.69;265;0.66;15;9;2;0;2;0;5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;5;0.028749999999999998;0.26666666666666666;175;0.08571428571428572;564.516129032258;1.0;16.129032258064516;-19;-0.37999999999999995;0;4;6;0.018867924528301886;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-13;Real Sociedad;5;3;0;46;88;Midtjylland;4;3;9;13;3;3;0.39;0.61;294;0.67;22;16;4;3;0;0;3;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;8;0.04692307692307692;0.18181818181818182;197;0.1116751269035533;505.12820512820514;0.3333333333333333;7.692307692307692;-4;-0.21999999999999997;-5;1;6;0.030612244897959183;0.2222222222222222;0.195;1.5;2;0;2;1;0;0;1;0;0.2222222222222222;0.6666666666666666;0.006802721088435374;4.5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Real Sociedad;1;0;1;46;49;RCD Espanyol;1;2;13;4;3;1;0.7;0.3;553;0.83;11;17;1;2;0;0;6;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0;0.075;0.09090909090909091;459;0.023965141612200435;655.7142857142858;0.46153846153846156;8.571428571428571;9;0.39999999999999997;6;-1;-6;0.023508137432188065;0.15384615384615385;0.35;3.0;1;1;2;1;0;0;0;1;0.15384615384615385;0.6666666666666666;0.003616636528028933;6.5;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Real Sociedad;19;7;3;46;41;Osasuna;3;5;11;9;4;3;0.57;0.43;385;0.82;19;12;3;4;0;1;9;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;4;0.04777777777777778;0.15789473684210525;316;0.060126582278481014;554.3859649122808;0.8181818181818182;15.789473684210527;2;0.13999999999999996;5;-2;7;0.02857142857142857;0.18181818181818182;0.285;4.5;2;0;2;1;0;0;0;1;0.18181818181818182;0.5;0.005194805194805195;5.5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Real Sociedad;1;7;0;46;41;Osasuna;3;3;13;11;3;4;0.63;0.37;533;0.84;8;10;3;3;0;0;5;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;3;0.03363636363636364;0.375;448;0.017857142857142856;711.1111111111111;0.38461538461538464;7.936507936507937;2;0.26;2;0;-2;0.024390243902439025;0.07692307692307693;0.63;5.0;0;1;1;0;0;1;1;0;0.07692307692307693;0.3333333333333333;0.001876172607879925;13.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Real Sociedad;5;1;3;46;107;PAOK;2;2;16;12;7;4;0.55;0.45;586;0.88;12;8;2;2;0;0;4;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;4;0.0375;0.16666666666666666;516;0.023255813953488372;938.1818181818181;0.25;7.2727272727272725;4;0.10000000000000003;0;0;4;0.027303754266211604;0.125;0.275;2.0;1;1;2;1;0;0;0;1;0.125;0.2857142857142857;0.0034129692832764505;8.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Real Sociedad;1;7;1;46;48;Getafe;3;6;13;13;4;4;0.57;0.43;366;0.65;11;15;3;6;0;0;5;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.03307692307692307;0.2727272727272727;238;0.046218487394957986;417.54385964912285;0.38461538461538464;8.771929824561404;0;0.13999999999999996;3;-3;-4;0.03551912568306011;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
