Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Florian Müller-Friburgo;Max Rosenfelder-Friburgo;Matthias Ginter-Friburgo;Philipp Lienhart-Friburgo;Jordy Makengo-Friburgo;Ritsu Dōan-Friburgo;Maximilian Eggestein-Friburgo;Patrick Osterhage-Friburgo;Vincenzo Grifo-Friburgo;Johan Manzambi-Friburgo;Junior Adamu-Friburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lucas Höler-Friburgo;Lukas Kübler-Friburgo;Christian Günter-Friburgo;Noah Atubolu-Friburgo;Kiliann Sildillia-Friburgo;Michael Gregoritsch-Friburgo;Eren Dinkci-Friburgo;Merlin Röhl-Friburgo;Nicolas Höfler-Friburgo;Maximilian Philipp-Friburgo;Bruno Ogbus-Friburgo;Yannik Keitel-Friburgo;Roland Sallai-Friburgo;Manuel Gulde-Friburgo;Noah Weißhaupt-Friburgo;Kenneth Schmidt-Friburgo;Mark Flekken-Friburgo;Jeong Woo-yeong-Friburgo;Daniel-Kofi Kyereh-Friburgo
2025-02-21;Friburgo;9;3;2;170;171;Werder Bremen;3;0;13;9;8;3;0.36;0.64;338;0.77;14;8;3;0;0;0;3;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;7;0.0711111111111111;0.2142857142857142;260;0.0538461538461538;722.2222222222223;0.2307692307692307;8.333333333333334;4;-0.28;-4;3;6;0.0384615384615384;0.3846153846153846;0.072;0.6;2;3;5;1;0;0;0;1;0.3846153846153846;0.625;0.014792899408284;2.6;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Friburgo;9;3;6;170;176;St. Pauli;0;1;5;5;3;1;0.46;0.54;447;0.8;10;10;0;1;0;0;6;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2;0.108;0.0;358;0.0279329608938547;778.2608695652174;1.2;13.043478260869565;0;-0.08;4;-1;0;0.0111856823266219;0.2;0.46;6.0;0;1;1;1;0;0;1;0;0.2;0.3333333333333333;0.0022371364653243;5.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Friburgo;9;3;3;170;142;Heidenheim;3;1;9;11;3;5;0.54;0.46;533;0.83;11;8;3;1;0;0;6;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3;0.0418181818181818;0.2727272727272727;442;0.0248868778280542;818.5185185185185;0.6666666666666666;11.11111111111111;-2;0.08;3;2;3;0.0168855534709193;0.1111111111111111;0.54;6.0;1;0;1;1;0;0;0;1;0.1111111111111111;0.3333333333333333;0.0018761726078799;9.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Friburgo;9;3;3;170;178;Bochum;2;3;13;22;5;4;0.41;0.59;317;0.71;10;15;2;3;0;0;7;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;9;0.0268181818181818;0.2;225;0.0444444444444444;548.7804878048781;0.5384615384615384;17.073170731707318;-9;-0.18;-2;-1;-5;0.0410094637223974;0.0769230769230769;0.41;7.0;1;0;1;1;0;0;1;0;0.0769230769230769;0.2;0.0031545741324921;13.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Friburgo;9;3;3;170;23;Bayern;4;2;7;7;2;3;0.34;0.66;331;0.81;15;9;4;2;0;0;2;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4;0.0942857142857142;0.2666666666666666;268;0.0559701492537313;788.235294117647;0.2857142857142857;5.88235294117647;0;-0.32;-2;2;6;0.0211480362537764;0.1428571428571428;0.34;2.0;0;1;1;0;0;1;0;1;0.1428571428571428;0.5;0.0030211480362537;7.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Friburgo;9;3;1;170;18;Stuttgart;3;5;4;12;0;7;0.43;0.57;402;0.78;12;8;3;5;0;0;1;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.0474999999999999;0.25;314;0.0382165605095541;730.232558139535;0.25;2.3255813953488373;-8;-0.1399999999999999;-3;-2;4;0.0099502487562189;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Friburgo;9;0;30;170;87;Frankfurt;1;1;7;23;5;8;0.35;0.65;327;0.76;11;8;1;1;0;0;1;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;8;0.0282608695652173;0.0909090909090909;249;0.0441767068273092;711.4285714285714;0.1428571428571428;2.857142857142857;-16;-0.3;-7;0;3;0.0214067278287461;0.1428571428571428;0.35;1.0;1;0;1;0;0;1;1;0;0.1428571428571428;0.2;0.0030581039755351;7.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Friburgo;9;3;17;170;177;KSV Holstein;2;3;14;14;5;7;0.51;0.49;460;0.78;9;12;2;3;0;0;7;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1;0.0349999999999999;0.2222222222222222;359;0.0250696378830083;703.9215686274509;0.5;13.72549019607843;0;0.02;6;-1;-3;0.0304347826086956;0.2142857142857142;0.17;2.333333333333333;2;1;3;1;0;0;0;1;0.2142857142857142;0.6;0.0065217391304347;4.666666666666667;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Friburgo;9;3;17;170;6;Leverkusen;2;1;8;20;2;12;0.33;0.67;335;0.74;9;8;2;1;0;0;2;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.0335;0.2222222222222222;248;0.0362903225806451;751.5151515151515;0.25;6.0606060606060606;-12;-0.34;-2;1;1;0.0238805970149253;0.125;0.33;2.0;0;1;1;0;0;1;1;0;0.125;0.5;0.0029850746268656;8.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-13;Friburgo;9;13;1;170;175;Wolfsburg;4;1;18;20;9;5;0.53;0.47;479;0.79;11;3;4;1;0;0;5;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;6;0.0235;0.3636363636363636;378;0.0291005291005291;713.2075471698113;0.2777777777777778;9.433962264150942;-2;0.06;-1;3;8;0.0375782881002087;0.1666666666666666;0.1766666666666666;1.6666666666666667;1;2;3;1;0;0;0;1;0.1666666666666666;0.3333333333333333;0.0062630480167014;6.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Friburgo;9;1;3;170;97;Hoffenheim;1;1;11;15;4;5;0.51;0.49;527;0.8;5;10;1;1;0;0;1;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;6;0.0326666666666666;0.2;422;0.0118483412322274;827.4509803921568;0.0909090909090909;1.96078431372549;-4;0.02;-5;0;-5;0.0208728652751423;0.0909090909090909;0.51;1.0;0;1;1;0;1;0;1;0;0.0909090909090909;0.25;0.0018975332068311;11.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
