Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Paulo Gazzaniga-Girona;Alejandro Francés-Girona;Ladislav Krejčí-Girona;Daley Blind-Girona;Miguel Gutiérrez Ortega-Girona;Iván Martín Núñez-Girona;Arthur Melo-Girona;Viktor Tsygankov-Girona;Yangel Herrera-Girona;Arnaut Danjuma-Girona;Yáser Asprilla-Girona;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arnau Martínez-Girona;David López Silva-Girona;Oriol Romeu-Girona;Abel Ruiz-Girona;Donny van de Beek-Girona;Bojan Miovski-Girona;Bryan Gil-Girona;Juanpe Ramírez-Girona;Pau López-Girona;Antal Yaakobishvili-Girona;Jhon Elmer Solís-Girona;Selvi Clua-Girona;Cristian Portugués-Girona;Kim Min-su-Girona;Christian Stuani-Girona;Juan Carlos Martín Corral-Girona;Gabriel Misehouy-Girona;Toni Villa-Girona;Eric García-Girona;Aleix García Serrano-Girona;Artem Dovbyk-Girona;Savinho-Girona;Yan Couto-Girona;Pablo Torre-Girona;Valery Fernández Estrada-Girona;Toni Fuidias-Girona;Bernardo Espinosa-Girona;Iker Almena-Girona;Ibrahima Kebe-Girona;Rodrigo Riquelme Reche-Girona;Valentín Mariano Castellanos-Girona;Reinier Jesus-Girona;Santiago Bueno-Girona;Javier Hernández Carrera-Girona;Borja García Freire-Girona;Ramón Terrats Espacio-Girona
2025-01-29;Girona;0;3;0;24;9;Arsenal;4;2;7;16;3;6;0.39;0.61;311;0.83;13;13;4;2;0;0;3;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;13;0.038125;0.3076923076923077;258;0.050387596899224806;661.5384615384615;0.42857142857142855;7.692307692307692;-9;-0.21999999999999997;-10;2;0;0.022508038585209004;0.14285714285714285;0.39;3.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.3333333333333333;0.003215434083601286;7.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Girona;1;3;3;24;42;Rayo Vallecano;1;3;12;17;5;7;0.42;0.58;400;0.77;9;19;1;3;0;0;1;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.03411764705882353;0.1111111111111111;308;0.02922077922077922;733.3333333333334;0.08333333333333333;2.380952380952381;-5;-0.15999999999999998;-3;-2;-10;0.03;0.08333333333333333;0.42;1.0;0;1;1;0;0;1;1;0;0.08333333333333333;0.2;0.0025;12.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Girona;0;3;3;24;25;Milan;2;2;11;17;4;5;0.58;0.42;536;0.89;18;12;2;2;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;6;0.024705882352941175;0.1111111111111111;477;0.03773584905660377;822.4137931034484;0.2727272727272727;5.172413793103448;-6;0.15999999999999998;-3;0;6;0.020522388059701493;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Girona;1;3;3;24;43;Sevilla;0;4;7;14;4;6;0.61;0.39;530;0.84;6;15;0;4;0;0;7;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;4;0.027857142857142858;0.0;445;0.01348314606741573;729.5081967213115;1.0;11.475409836065573;-7;0.21999999999999997;3;-4;-9;0.013207547169811321;0.14285714285714285;0.61;7.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.25;0.0018867924528301887;7.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Girona;1;8;1;24;45;Alavés;4;1;3;11;1;2;0.57;0.43;468;0.85;11;16;4;1;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;6;0.03909090909090909;0.36363636363636365;398;0.02763819095477387;698.2456140350878;1.0;5.2631578947368425;-8;0.13999999999999996;-3;3;-5;0.00641025641025641;0.3333333333333333;0.57;3.0;0;1;1;1;0;0;1;0;0.3333333333333333;1.0;0.002136752136752137;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-20;Girona;1;6;4;24;51;Valladolid;3;1;23;1;7;1;0.71;0.29;720;0.91;13;7;3;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1;0.29;0.23076923076923078;655;0.01984732824427481;922.5352112676056;0.391304347826087;12.67605633802817;22;0.42;8;2;6;0.03194444444444444;0.13043478260869565;0.23666666666666666;3.0;2;1;3;1;0;0;0;1;0.13043478260869565;0.42857142857142855;0.004166666666666667;7.666666666666667;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Girona;1;23;1;24;40;R.C.D. Mallorca;2;6;13;8;1;2;0.69;0.31;625;0.92;14;10;2;5;0;1;4;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2;0.03875;0.14285714285714285;575;0.02434782608695652;833.3333333333334;0.3076923076923077;5.797101449275363;5;0.37999999999999995;2;-4;4;0.0208;0.07692307692307693;0.69;4.0;1;0;1;0;0;1;1;0;0.07692307692307693;1.0;0.0016;13.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-10;Girona;0;3;0;24;2;Liverpool;3;2;13;15;5;7;0.37;0.63;363;0.83;11;8;3;2;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;8;0.042;0.2727272727272727;301;0.036544850498338874;813.5135135135135;0.38461538461538464;13.513513513513514;-2;-0.26;-3;1;3;0.03581267217630854;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Girona;1;3;3;24;12;Real Madrid;3;2;10;10;4;7;0.41;0.59;468;0.89;6;7;3;2;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.059;0.5;417;0.014388489208633094;1017.0731707317074;0.6;14.634146341463415;0;-0.18;3;1;-1;0.021367521367521368;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Girona;19;17;7;24;-1;UD Logroñés;2;4;17;9;2;1;0.59;0.41;677;0.87;15;16;2;4;0;0;7;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;0.04555555555555555;0.13333333333333333;589;0.025466893039049237;998.3050847457628;0.4117647058823529;11.864406779661017;8;0.18;6;-2;-1;0.025110782865583457;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
