Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marcin Bułka-Niza;Mohamed Abdelmonem-Niza;Youssouf Ndayishimiye-Niza;Melvin Bard-Niza;Jonathan Clauss-Niza;Hicham Boudaoui-Niza;Pablo Rosario-Niza;Morgan Sanson-Niza;Ali Abdi-Niza;Badredine Bouanani-Niza;Gaëtan Laborde-Niza;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jérémie Boga-Niza;Moïse Bombito-Niza;Dante Bonfim-Niza;Baptiste Santamaria-Niza;Evann Guessand-Niza;Momo Cho-Niza;Tom Louchet-Niza;Sofiane Diop-Niza;Maxime Dupé-Niza;Antoine Mendy-Niza;Yaël Nandjou-Niza;Issiaga Camara-Niza;Farès Bousnina-Niza;Youssoufa Moukoko-Niza;Tanguy Ndombélé-Niza;Billal Brahimi-Niza;Jean-Clair Todibo-Niza;Khéphren Thuram-Niza;Alexis Claude-Maurice-Niza;Jordan Lotomba-Niza;Terem Moffi-Niza;Romain Perraud-Niza;Ayoub Amraoui-Niza;Reda Belahyane-Niza;Youcef Atal-Niza;Kasper Schmeichel-Niza;Alexis Beka Beka-Niza;Ross Barkley-Niza;Aaron Ramsey-Niza;Nicolas Pépé-Niza;Mario Lemina-Niza;Joe Bryan-Niza
2025-02-08;Niza;2;17;4;109;765;Lens;1;3;16;12;8;3;0.61;0.39;626;0.88;6;19;1;2;0;1;7;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.0325;0.16666666666666666;551;0.010889292196007259;903.2786885245902;0.4375;11.475409836065573;4;0.21999999999999997;4;-2;-13;0.025559105431309903;0.125;0.305;3.5;1;1;2;1;0;0;0;1;0.125;0.25;0.003194888178913738;8.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Niza;13;17;4;109;-1;Stade Briochin;1;2;14;10;3;4;0.62;0.38;498;0.8;12;9;1;2;0;0;11;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2;0.038;0.08333333333333333;398;0.03015075376884422;641.9354838709678;0.7857142857142857;17.741935483870968;4;0.24;9;-1;3;0.028112449799196786;0.07142857142857142;0.62;11.0;0;1;1;0;0;1;1;0;0.07142857142857142;0.3333333333333333;0.002008032128514056;14.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Niza;2;17;17;109;772;Toulouse;2;2;13;15;3;4;0.46;0.54;437;0.83;20;20;2;2;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;7;0.036000000000000004;0.1;363;0.05509641873278237;789.1304347826086;0.15384615384615385;4.3478260869565215;-2;-0.08000000000000002;-5;0;0;0.029748283752860413;0.07692307692307693;0.46;2.0;1;0;1;0;1;0;1;0;0.07692307692307693;0.3333333333333333;0.002288329519450801;13.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Niza;5;17;0;109;89;Bodø/Glimt;4;0;16;18;3;7;0.45;0.55;428;0.86;10;5;4;0;0;0;5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;8;0.030555555555555558;0.4;368;0.02717391304347826;817.7777777777777;0.3125;11.11111111111111;-2;-0.10000000000000003;-3;4;5;0.037383177570093455;0.0625;0.45;5.0;0;1;1;0;1;0;0;1;0.0625;0.3333333333333333;0.002336448598130841;16.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Niza;2;17;17;109;764;Marsella;1;1;14;18;5;6;0.29;0.71;279;0.76;12;9;1;1;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;12;0.03944444444444444;0.08333333333333333;212;0.05660377358490566;731.0344827586207;0.42857142857142855;20.689655172413794;-4;-0.42;-6;0;3;0.05017921146953405;0.14285714285714285;0.145;3.0;1;1;2;1;0;0;0;1;0.14285714285714285;0.4;0.007168458781362007;7.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Niza;5;30;6;109;99;Elfsborg;1;2;22;9;6;1;0.69;0.31;626;0.89;7;5;1;2;0;0;9;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4;0.034444444444444444;0.14285714285714285;557;0.012567324955116697;807.2463768115942;0.4090909090909091;13.043478260869566;13;0.37999999999999995;5;-1;2;0.03514376996805112;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-17;Niza;2;3;3;109;15;LOSC;3;1;11;11;3;4;0.44;0.56;412;0.8;13;13;3;1;0;0;7;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;7;0.05090909090909091;0.23076923076923078;330;0.03939393939393939;750.0;0.6363636363636364;15.909090909090908;0;-0.12000000000000005;0;2;0;0.02669902912621359;0.09090909090909091;0.44;7.0;1;0;1;0;0;1;1;0;0.09090909090909091;0.3333333333333333;0.0024271844660194173;11.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Niza;13;3;3;109;-1;Bastia;0;0;12;14;4;3;0.51;0.49;422;0.82;17;6;0;0;0;0;4;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;7;0.034999999999999996;0.0;346;0.049132947976878616;678.4313725490196;0.3333333333333333;7.8431372549019605;-2;0.020000000000000018;-3;0;11;0.02843601895734597;0.08333333333333333;0.51;4.0;0;1;1;1;0;0;1;0;0.08333333333333333;0.25;0.002369668246445498;12.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Niza;2;3;3;109;766;Reims;2;4;15;12;10;3;0.45;0.55;445;0.83;7;13;2;4;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;6;0.04583333333333334;0.2857142857142857;369;0.018970189701897018;820.0;0.2;6.666666666666666;3;-0.10000000000000003;-3;-2;-6;0.033707865168539325;0.26666666666666666;0.1125;0.75;2;2;4;1;0;0;1;0;0.26666666666666666;0.4;0.008988764044943821;3.75;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-03;Niza;2;3;17;109;768;Rennes;4;3;9;10;6;5;0.45;0.55;414;0.78;11;14;3;3;1;0;3;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3;0.05500000000000001;0.36363636363636365;323;0.034055727554179564;717.7777777777777;0.3333333333333333;6.666666666666666;-1;-0.10000000000000003;0;1;-3;0.021739130434782608;0.3333333333333333;0.15;1.0;3;0;3;1;0;0;0;1;0.3333333333333333;0.5;0.007246376811594203;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
