Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marco Carnesecchi-Atalanta;Odilon Kossounou-Atalanta;Berat Djimsiti-Atalanta;Marten de Roon-Atalanta;Raoul Bellanova-Atalanta;Mario Pašalić-Atalanta;Éderson dos Santos-Atalanta;Davide Zappacosta-Atalanta;Charles De Ketelaere-Atalanta;Ademola Lookman-Atalanta;Mateo Retegui-Atalanta;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Isak Hien-Atalanta;Juan Guillermo Cuadrado-Atalanta;Sead Kolašinac-Atalanta;Stefan Posch-Atalanta;Rafael Tolói-Atalanta;Ibrahim Sulemana-Atalanta;Matteo Ruggeri-Atalanta;Lazar Samardžić-Atalanta;Marco Brescianini-Atalanta;Rui Patrício-Atalanta;Giorgio Scalvini-Atalanta;Marco Palestra-Atalanta;Nicolò Zaniolo-Atalanta;Juan Musso-Atalanta;Emil Holm-Atalanta;Teun Koopmeiners-Atalanta;Gianluca Scamacca-Atalanta;Giovanni Bonfanti-Atalanta;Hans Hateboer-Atalanta;Aleksei Miranchuk-Atalanta;El Bilal Touré-Atalanta;Mitchel Bakker-Atalanta;Luis Muriel-Atalanta;Tommaso Del Lungo-Atalanta;Michel Adopo-Atalanta;Nadir Zortea-Atalanta;Duván Zapata-Atalanta;Marco Sportiello-Atalanta;Joakim Mæhle-Atalanta;Rasmus Højlund-Atalanta;Brandon Soppy-Atalanta;José Luis Palomino-Atalanta
2025-02-23;Atalanta;4;17;30;17;75;Empoli;1;0;14;10;8;1;0.54;0.46;450;0.82;17;4;1;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.046;0.0588235294117647;369;0.046070460704607;683.3333333333333;0.2857142857142857;7.4074074074074066;4;0.08;1;1;13;0.0311111111111111;0.3571428571428571;0.108;0.8;3;2;5;1;0;0;1;0;0.3571428571428571;0.625;0.0111111111111111;2.8;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-18;Atalanta;0;29;3;17;26;Club Brujas;4;4;30;7;11;4;0.65;0.35;628;0.87;8;7;3;4;1;0;14;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0;0.0499999999999999;0.5;546;0.0146520146520146;840.0;0.4666666666666667;21.538461538461537;23;0.3;14;0;1;0.0477707006369426;0.0333333333333333;0.65;14.0;0;1;1;0;0;1;0;1;0.0333333333333333;0.0909090909090909;0.001592356687898;30.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Atalanta;4;17;5;17;79;Cagliari;1;1;9;3;2;0;0.59;0.41;606;0.88;7;11;1;1;0;0;8;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2;0.1366666666666666;0.1428571428571428;533;0.0131332082551594;903.3898305084746;0.8888888888888888;13.559322033898306;6;0.18;6;0;-4;0.0148514851485148;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-12;Atalanta;0;29;3;17;26;Club Brujas;3;0;12;11;5;4;0.46;0.54;464;0.86;11;7;3;0;0;0;2;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;4;0.049090909090909;0.2727272727272727;399;0.0275689223057644;867.391304347826;0.1666666666666666;4.3478260869565215;1;-0.08;-2;3;4;0.0258620689655172;0.0833333333333333;0.46;2.0;1;0;1;0;0;1;1;0;0.0833333333333333;0.2;0.0021551724137931;12.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Atalanta;4;17;29;17;77;Hellas Verona;1;2;17;19;7;8;0.62;0.38;602;0.87;6;10;1;2;0;0;2;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;7;0.02;0.1666666666666666;524;0.0114503816793893;845.1612903225806;0.1176470588235294;3.2258064516129035;-2;0.24;-5;-1;-4;0.0282392026578073;0.2941176470588235;0.124;0.4;4;1;5;1;0;0;1;0;0.2941176470588235;0.7142857142857143;0.0083056478405315;3.4;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Atalanta;35;29;3;17;29;Bolonia;1;2;13;13;5;3;0.55;0.45;483;0.79;14;15;1;2;0;0;4;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0346153846153846;0.0714285714285714;382;0.0366492146596858;694.5454545454545;0.3076923076923077;7.272727272727272;0;0.1;1;-1;-1;0.0269151138716356;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Atalanta;4;29;9;17;73;Torino;0;3;22;5;10;3;0.66;0.34;661;0.88;6;11;0;3;0;0;8;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0;0.068;0.0;582;0.0103092783505154;881.8181818181818;0.3636363636363636;12.12121212121212;17;0.32;8;-3;-5;0.0332829046898638;0.0454545454545454;0.66;8.0;1;0;1;0;1;0;0;1;0.0454545454545454;0.1;0.0015128593040847;22.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Atalanta;0;29;3;17;10;Barcelona;4;0;8;16;4;7;0.31;0.69;289;0.8;13;7;4;0;0;0;4;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.043125;0.3076923076923077;231;0.0562770562770562;745.1612903225806;0.5;12.903225806451614;-8;-0.3799999999999999;-3;4;6;0.0276816608996539;0.25;0.155;2.0;0;2;2;0;1;0;1;0;0.25;0.5;0.0069204152249134;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Atalanta;4;29;3;17;78;Como;3;2;5;15;3;5;0.46;0.54;402;0.81;10;15;3;2;0;0;5;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;4;0.036;0.3;326;0.0306748466257668;708.695652173913;1.0;10.869565217391305;-10;-0.08;1;1;-5;0.0124378109452736;0.4;0.23;2.5;0;2;2;1;0;0;1;0;0.4;0.6666666666666666;0.0049751243781094;2.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-21;Atalanta;0;29;8;17;32;Sturm;1;0;25;5;9;1;0.61;0.39;598;0.89;12;13;1;0;0;0;12;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1;0.078;0.0833333333333333;532;0.0225563909774436;872.1311475409836;0.48;19.672131147540984;20;0.2199999999999999;11;1;-1;0.0418060200668896;0.2;0.122;2.4;1;4;5;1;0;0;0;1;0.2;0.5555555555555556;0.0083612040133779;5.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
