Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Đorđe Petrović-Racing de Estrasburgo;Guéla Doué-Racing de Estrasburgo;Mamadou Sarr-Racing de Estrasburgo;Ismaël Doukouré-Racing de Estrasburgo;Dilane Bakwa-Racing de Estrasburgo;Andrey Santos-Racing de Estrasburgo;Valentín Barco-Racing de Estrasburgo;Diego Moreira-Racing de Estrasburgo;Habib Diarra-Racing de Estrasburgo;Samuel Amo-Ameyaw-Racing de Estrasburgo;Félix Lemaréchal-Racing de Estrasburgo;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Emanuel Emegha-Racing de Estrasburgo;Andrew Omobamidele-Racing de Estrasburgo;Sebastian Nanasi-Racing de Estrasburgo;Abakar Sylla-Racing de Estrasburgo;Karl-Johan Johnsson-Racing de Estrasburgo;Abdoul Ouattara-Racing de Estrasburgo;Rayane Messi-Racing de Estrasburgo;Sékou Mara-Racing de Estrasburgo;Amadou Cissé-Racing de Estrasburgo;Saïdou Sow-Racing de Estrasburgo;Marvin Senaya-Racing de Estrasburgo;Samir El Mourabet-Racing de Estrasburgo;Yoni Gomis-Racing de Estrasburgo;Eduard Sobol-Racing de Estrasburgo;Pape Daouda Diong-Racing de Estrasburgo;Jérémy Sebas-Racing de Estrasburgo;Caleb Wiley-Racing de Estrasburgo;Junior Mwanga-Racing de Estrasburgo;Matthieu Dreyer-Racing de Estrasburgo;Nolan Ferro-Racing de Estrasburgo;Patrick Ouotro-Racing de Estrasburgo;Alaa Bellaarouch-Racing de Estrasburgo;Frédéric Guilbert-Racing de Estrasburgo;Rabby Nzingoula-Racing de Estrasburgo;Thomas Delaine-Racing de Estrasburgo;Moïse Dion Sahi-Racing de Estrasburgo;Aboubacar Ali Abdallah-Racing de Estrasburgo;Lucas Perrin-Racing de Estrasburgo;Ibrahima Sissoko-Racing de Estrasburgo;Kevin Gameiro-Racing de Estrasburgo;Ângelo Gabriel-Racing de Estrasburgo;Jessy Deminguet-Racing de Estrasburgo;Matz Sels-Racing de Estrasburgo;Steven Baseya-Racing de Estrasburgo;Lebo Mothiba-Racing de Estrasburgo;Gerzino Nyamsi-Racing de Estrasburgo;Jean-Ricner Bellegarde-Racing de Estrasburgo;Sanjin Prcić-Racing de Estrasburgo;Colin Dagba-Racing de Estrasburgo;Morgan Sanson-Racing de Estrasburgo;Habib Diallo-Racing de Estrasburgo;Alexander Djiku-Racing de Estrasburgo;Maxime Le Marchand-Racing de Estrasburgo;Jean-Eudes Aholou-Racing de Estrasburgo;Dimitri Liénard-Racing de Estrasburgo;Ludovic Ajorque-Racing de Estrasburgo;Ronaël Pierre-Gabriel-Racing de Estrasburgo;Adrien Thomasson-Racing de Estrasburgo;Karol Fila-Racing de Estrasburgo
2025-02-23;Racing de Estrasburgo;2;17;3;767;5;Stade Brestois;3;1;3;12;1;2;0.57;0.43;542;0.86;12;12;3;1;0;0;1;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;8;0.0358333333333333;0.25;466;0.0257510729613733;817.5438596491229;0.3333333333333333;1.7543859649122808;-9;0.1399999999999999;-7;2;0;0.0055350553505535;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Racing de Estrasburgo;2;17;3;767;765;Lens;2;3;13;7;5;0;0.44;0.56;455;0.87;15;12;2;2;0;1;3;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.08;0.1333333333333333;396;0.0378787878787878;900.0;0.2307692307692307;6.818181818181818;6;-0.12;-4;-1;3;0.0285714285714285;0.1538461538461538;0.22;1.5;0;2;2;1;0;0;1;0;0.1538461538461538;0.4;0.0043956043956043;6.5;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Racing de Estrasburgo;2;17;29;767;775;Montpellier;1;4;22;11;6;2;0.59;0.41;572;0.89;12;12;1;4;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.0372727272727272;0.0833333333333333;509;0.0235756385068762;862.7118644067797;0.2727272727272727;10.16949152542373;11;0.18;4;-3;0;0.0384615384615384;0.0909090909090909;0.295;3.0;1;1;2;1;0;0;0;1;0.0909090909090909;0.3333333333333333;0.0034965034965034;11.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Racing de Estrasburgo;13;3;0;767;771;Angers;1;1;19;7;4;5;0.7;0.3;745;0.9;11;6;1;1;0;0;12;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0;0.0428571428571428;0.0909090909090909;670;0.0164179104477611;957.1428571428572;0.631578947368421;17.142857142857142;12;0.3999999999999999;12;0;5;0.0255033557046979;0.0526315789473684;0.7;12.0;1;0;1;0;0;1;0;1;0.0526315789473684;0.25;0.0013422818791946;19.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Racing de Estrasburgo;2;6;6;767;768;Rennes;3;3;7;13;3;3;0.55;0.45;517;0.85;10;14;3;3;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;6;0.0346153846153846;0.3;439;0.0227790432801822;798.1818181818181;0.2857142857142857;3.636363636363636;-6;0.1;-4;0;-4;0.0135396518375241;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Racing de Estrasburgo;2;3;17;767;15;LOSC;4;2;11;15;7;6;0.41;0.59;418;0.87;10;9;4;2;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;7;0.0393333333333333;0.4;364;0.0274725274725274;887.8048780487806;0.5454545454545454;14.634146341463415;-4;-0.18;-1;2;1;0.0263157894736842;0.1818181818181818;0.205;3.0;0;2;2;1;0;0;0;1;0.1818181818181818;0.2857142857142857;0.0047846889952153;5.5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Racing de Estrasburgo;2;7;17;767;764;Marsella;3;2;7;18;3;3;0.3;0.7;267;0.75;14;13;3;2;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;9;0.0388888888888888;0.2142857142857142;200;0.07;666.6666666666667;0.4285714285714285;10.0;-11;-0.3999999999999999;-6;1;1;0.0262172284644194;0.1428571428571428;0.3;3.0;1;0;1;0;1;0;1;0;0.1428571428571428;0.3333333333333333;0.0037453183520599;7.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Racing de Estrasburgo;13;23;4;767;-1;ES Thaon;0;2;10;12;6;3;0.66;0.34;518;0.82;6;14;0;2;0;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;0.0283333333333333;0.0;425;0.0141176470588235;643.9393939393939;0.3;4.545454545454545;-2;0.32;-3;-2;-8;0.0193050193050193;0.2;0.33;1.5;2;0;2;0;1;0;1;0;0.2;0.3333333333333333;0.0038610038610038;5.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Racing de Estrasburgo;2;8;17;767;772;Toulouse;4;1;8;19;2;5;0.46;0.54;417;0.85;14;12;4;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;3;0.0284210526315789;0.2857142857142857;354;0.03954802259887;769.5652173913043;0.25;4.3478260869565215;-11;-0.08;-1;3;2;0.0191846522781774;0.25;0.23;1.0;2;0;2;1;0;0;1;0;0.25;1.0;0.0047961630695443;4.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-05;Racing de Estrasburgo;2;1;6;767;770;Auxerre;1;2;11;14;4;7;0.61;0.39;541;0.88;10;13;1;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3;0.0278571428571428;0.1;476;0.0210084033613445;780.327868852459;0.3636363636363636;6.557377049180328;-3;0.2199999999999999;1;-1;-3;0.0203327171903881;0.2727272727272727;0.2033333333333333;1.3333333333333333;1;2;3;1;0;0;0;1;0.2727272727272727;0.75;0.0055452865064695;3.6666666666666665;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
