Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Hugo de Souza Nogueira-Corinthians;Léo Mana-Corinthians;André Ramalho-Corinthians;Cacá-Corinthians;Fabrizio Angileri-Corinthians;André Carrillo-Corinthians;José Andrés Martínez-Corinthians;Maycon de Andrade Barberan-Corinthians;Breno Bidon-Corinthians;Yuri Alberto-Corinthians;Memphis Depay-Corinthians;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Matheuzinho-Corinthians;Hugo-Corinthians;Raniele-Corinthians;Ángel Romero Villamayor-Corinthians;Charles Rigon Matos-Corinthians;Alex Santana-Corinthians;Héctor Hernández Marrero-Corinthians;Talles Magno-Corinthians;Gustavo Henrique-Corinthians;Félix Torres Caicedo-Corinthians;Matheus Donelli-Corinthians;Bidu-Corinthians;Ryan-Corinthians;Igor Coronado-Corinthians;Rodrigo Garro-Corinthians;João Pedro-Corinthians;Pedro Raúl-Corinthians;João Vitor Barros Silva-Corinthians;Luiz Eduardo Amorim de Souza-Corinthians;Fagner Conserva Lemos-Corinthians;João Victor Andrade Caetano-Corinthians;Pedro Henrique-Corinthians;Giovane Santana-Corinthians;Wesley Gassova-Corinthians;Gustavo Silva-Corinthians;Carlos Miguel dos Santos Pereira-Corinthians;Gabriel Moscardo-Corinthians;Paulinho-Corinthians;Guilherme Biro-Corinthians;Cássio Ramos-Corinthians;Raul Gustavo Pereira Bicalho-Corinthians;Fausto Vera-Corinthians;Matheus Araujo-Corinthians;Matías Rojas-Corinthians;Diego Palacios-Corinthians;Carlos Gilberto Nascimento Silva-Corinthians;Víctor Cantillo-Corinthians;Lucas Veríssimo-Corinthians;Fábio Santos Romeu-Corinthians;Giuliano Victor de Paula-Corinthians;Renato Augusto-Corinthians;Bruno Méndez Cittadini-Corinthians;Ruan de Oliveira Ferreira-Corinthians;Pedro Henrique Silva-Corinthians;Felipe Augusto-Corinthians;Murillo Santiago Costa dos Santos-Corinthians;Adson-Corinthians;Róger Guedes-Corinthians;Rafael Ramos-Corinthians;Roni Medeiros de Moura-Corinthians;Du Queiroz-Corinthians;Fabián Balbuena-Corinthians;Chrystian Barletta-Corinthians
2025-04-02;Corinthians;-1;0;7;652;-1;Huracán;2;0;14;7;3;3;0.72;0.28;573;0.88;10;7;2;0;0;0;5;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;3;0.04;0.2;504;0.0198412698412698;700.0;0.3571428571428571;6.944444444444445;7;0.4399999999999999;2;2;3;0.0244328097731239;0.0714285714285714;0.72;5.0;1;0;1;0;0;1;0;1;0.0714285714285714;0.3333333333333333;0.0017452006980802;14.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Corinthians;10;3;0;652;697;Bahía;2;3;9;14;4;5;0.59;0.41;577;0.9;15;16;2;2;0;1;5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3;0.0292857142857142;0.1333333333333333;519;0.0289017341040462;879.6610169491526;0.5555555555555556;8.474576271186441;-5;0.18;2;-1;-1;0.0155979202772963;0.1111111111111111;0.59;5.0;0;1;1;0;1;0;1;0;0.1111111111111111;0.25;0.0017331022530329;9.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-27;Corinthians;27;28;2;652;217;Palmeiras;7;5;5;10;1;3;0.4;0.6;276;0.78;19;12;5;4;2;1;3;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;10;0.06;0.3684210526315789;215;0.0883720930232558;537.5;0.6;7.5;-5;-0.1999999999999999;-7;2;7;0.0181159420289855;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Corinthians;27;0;3;652;217;Palmeiras;2;1;3;23;1;8;0.43;0.57;326;0.74;8;15;2;1;0;0;3;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;14;0.0247826086956521;0.25;241;0.0331950207468879;560.4651162790698;1.0;6.976744186046512;-20;-0.1399999999999999;-11;1;-7;0.00920245398773;0.3333333333333333;0.43;3.0;0;1;1;1;0;0;1;0;0.3333333333333333;1.0;0.0030674846625766;3.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Corinthians;-1;28;3;652;203;Barcelona SC;3;3;24;3;7;1;0.73;0.27;487;0.85;12;6;3;2;0;1;13;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;4;0.09;0.25;414;0.0289855072463768;567.1232876712329;0.5416666666666666;17.808219178082194;21;0.4599999999999999;9;0;6;0.0492813141683778;0.0833333333333333;0.365;6.5;1;1;2;1;0;0;0;1;0.0833333333333333;0.2857142857142857;0.0041067761806981;12.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Corinthians;27;28;3;652;662;Santos;4;3;11;14;4;2;0.49;0.51;363;0.77;16;17;4;1;0;2;7;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;5;0.0364285714285714;0.25;280;0.0571428571428571;571.4285714285714;0.6363636363636364;14.285714285714286;-3;-0.02;2;1;-1;0.0303030303030303;0.1818181818181818;0.245;3.5;1;1;2;1;0;0;0;1;0.1818181818181818;0.5;0.0055096418732782;5.5;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-05;Corinthians;-1;29;3;652;203;Barcelona SC;4;2;6;17;1;3;0.48;0.52;371;0.87;21;14;4;2;0;0;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;11;0.0305882352941176;0.1904761904761904;323;0.0650154798761609;672.9166666666667;0.6666666666666666;8.333333333333334;-11;-0.04;-7;2;7;0.0161725067385444;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-02;Corinthians;27;28;3;652;670;Mirassol;1;4;10;13;6;4;0.46;0.54;384;0.84;19;5;1;4;0;0;7;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;8;0.0415384615384615;0.0526315789473684;323;0.0588235294117647;702.1739130434783;0.7;15.217391304347826;-3;-0.08;-1;-3;14;0.0260416666666666;0.2;0.23;3.5;1;1;2;1;0;0;0;1;0.2;0.3333333333333333;0.0052083333333333;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Corinthians;-1;28;3;652;-1;Universidad Central;3;4;26;8;8;6;0.69;0.31;468;0.86;9;9;3;4;0;0;9;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.03875;0.3333333333333333;402;0.0223880597014925;582.608695652174;0.3461538461538461;13.043478260869566;18;0.3799999999999999;6;-1;0;0.0555555555555555;0.1153846153846153;0.2299999999999999;3.0;2;1;3;1;0;0;0;1;0.1153846153846153;0.375;0.0064102564102564;8.666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Corinthians;27;3;3;652;668;Guarani;0;3;14;8;6;2;0.58;0.42;473;0.83;11;17;0;3;0;0;4;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2;0.0525;0.0;393;0.0279898218829516;677.5862068965517;0.2857142857142857;6.896551724137932;6;0.1599999999999999;2;-3;-6;0.0295983086680761;0.1428571428571428;0.29;2.0;1;1;2;0;1;0;0;1;0.1428571428571428;0.3333333333333333;0.0042283298097251;7.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
