Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Guglielmo Vicario-Tottenham;Pedro Porro-Tottenham;Cuti Romero-Tottenham;Micky van de Ven-Tottenham;Destiny Udogie-Tottenham;Lucas Bergvall-Tottenham;Rodrigo Bentancur-Tottenham;James Maddison-Tottenham;Brennan Johnson-Tottenham;Dominic Solanke-Tottenham;Mathys Tel-Tottenham;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Archie Gray-Tottenham;Ben Davies-Tottenham;Djed Spence-Tottenham;Pape Matar Sarr-Tottenham;Yves Bissouma-Tottenham;Son Heung-Min-Tottenham;Wilson Odobert-Tottenham;Kevin Danso-Tottenham;Dejan Kulusevski-Tottenham;Antonín Kinský-Tottenham;Mikey Moore-Tottenham;Richarlison-Tottenham;Brandon Austin-Tottenham;Radu Drăgușin-Tottenham;Sergio Reguilón-Tottenham;Timo Werner-Tottenham;Fraser Forster-Tottenham;Will Lankshear-Tottenham;Emerson Royal-Tottenham;Jamie Donley-Tottenham;Oliver Skipp-Tottenham;Manor Solomon-Tottenham;Pierre-Emile Højbjerg-Tottenham;Giovani Lo Celso-Tottenham;Bryan Gil-Tottenham;Eric Dier-Tottenham;Davinson Sánchez-Tottenham;Ivan Perišić-Tottenham;Harry Kane-Tottenham;Japhet Tanganga-Tottenham;Clément Lenglet-Tottenham;Arnaut Danjuma-Tottenham;Hugo Lloris-Tottenham;Lucas Moura-Tottenham;Matt Doherty-Tottenham;Ryan Sessegnon-Tottenham
2025-03-16;Tottenham;3;0;3;56;58;Fulham;0;0;12;13;4;4;0.43;0.57;411;0.85;10;13;0;0;0;0;5;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;6;0.0438461538461538;0.0;349;0.0286532951289398;811.6279069767442;0.4166666666666667;11.627906976744184;-1;-0.1399999999999999;-1;0;-3;0.0291970802919708;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Tottenham;5;0;3;56;101;AZ;0;1;17;10;4;2;0.61;0.39;529;0.83;6;12;0;1;0;0;5;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2;0.039;0.0;439;0.0136674259681093;719.672131147541;0.2941176470588235;8.19672131147541;7;0.2199999999999999;3;-1;-6;0.0321361058601134;0.1764705882352941;0.2033333333333333;1.6666666666666667;1;2;3;1;0;0;0;1;0.1764705882352941;0.75;0.0056710775047258;5.666666666666667;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Tottenham;3;0;3;56;59;Bournemouth;3;3;12;17;4;8;0.61;0.39;528;0.81;15;16;3;3;0;0;3;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;6;0.0229411764705882;0.2;428;0.0350467289719626;701.6393442622951;0.25;4.918032786885246;-5;0.2199999999999999;-3;0;-1;0.0227272727272727;0.1666666666666666;0.305;1.5;0;2;2;0;1;0;0;1;0.1666666666666666;0.5;0.0037878787878787;6.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Tottenham;5;0;3;56;101;AZ;1;3;7;12;1;5;0.62;0.38;583;0.87;12;14;1;3;0;0;2;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;7;0.0316666666666666;0.0833333333333333;507;0.0236686390532544;817.741935483871;0.2857142857142857;3.2258064516129035;-5;0.24;-5;-2;-2;0.0120068610634648;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Tottenham;3;0;3;56;3;Manchester City;3;0;11;12;6;5;0.56;0.44;529;0.87;12;15;3;0;0;0;8;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0366666666666666;0.25;460;0.0260869565217391;821.4285714285713;0.7272727272727273;14.285714285714285;-1;0.12;5;3;-3;0.0207939508506616;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Tottenham;3;0;3;56;66;Ipswich;1;2;10;17;6;5;0.59;0.41;533;0.86;14;15;1;2;0;0;4;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0241176470588235;0.0714285714285714;458;0.0305676855895196;776.271186440678;0.4;6.779661016949153;-7;0.18;0;-1;-1;0.0187617260787992;0.4;0.1475;1.0;2;2;4;1;0;0;1;0;0.4;0.6666666666666666;0.0075046904315197;2.5;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Tottenham;3;0;17;56;62;Manchester United;1;2;22;16;7;6;0.56;0.44;521;0.88;13;9;1;2;0;0;10;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;5;0.0275;0.0769230769230769;458;0.0283842794759825;817.8571428571428;0.4545454545454545;17.857142857142854;6;0.12;5;-1;4;0.0422264875239923;0.0454545454545454;0.56;10.0;1;0;1;1;0;0;0;1;0.0454545454545454;0.1428571428571428;0.0019193857965451;22.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Tottenham;15;3;3;56;1;Aston Villa;3;0;11;16;5;7;0.48;0.52;412;0.84;17;11;3;0;0;0;5;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;4;0.0325;0.1764705882352941;346;0.0491329479768786;720.8333333333334;0.4545454545454545;10.416666666666668;-5;-0.04;1;3;6;0.0266990291262135;0.0909090909090909;0.48;5.0;0;1;1;0;0;1;1;0;0.0909090909090909;0.2;0.0024271844660194;11.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-06;Tottenham;14;0;3;56;2;Liverpool;0;0;5;26;0;10;0.36;0.64;327;0.77;8;5;0;0;0;0;4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;14;0.0246153846153846;0.0;252;0.0317460317460317;700.0;0.8;11.11111111111111;-21;-0.28;-10;0;3;0.0152905198776758;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Tottenham;3;3;3;56;57;Brentford;1;0;13;20;2;4;0.46;0.54;432;0.82;11;4;1;0;0;0;3;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;10;0.027;0.0909090909090909;354;0.0310734463276836;769.5652173913043;0.2307692307692307;6.521739130434782;-7;-0.08;-7;1;7;0.0300925925925925;0.1538461538461538;0.23;1.5;1;1;2;1;0;0;1;0;0.1538461538461538;1.0;0.0046296296296296;6.5;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
