Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kevin Trapp-Frankfurt;Lucas Silva Melo-Frankfurt;Robin Koch-Frankfurt;Arthur Theate-Frankfurt;Rasmus Nissen Kristensen-Frankfurt;Ellyes Skhiri-Frankfurt;Hugo Larsson-Frankfurt;Nathaniel Brown-Frankfurt;Ansgar Knauff-Frankfurt;Jean-Mattéo Bahoya-Frankfurt;Hugo Ekitike-Frankfurt;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Nnamdi Collins-Frankfurt;Farès Chaïbi-Frankfurt;Michy Batshuayi-Frankfurt;Kauã Santos-Frankfurt;Mario Götze-Frankfurt;Oscar Højlund-Frankfurt;Can Uzun-Frankfurt;Elye Wahi-Frankfurt;Omar Marmoush-Frankfurt;Mahmoud Dahoud-Frankfurt;Niels Nkounkou-Frankfurt;Igor Matanović-Frankfurt;Éric Junior Dina-Ebimbe-Frankfurt;Aurèle Amenda-Frankfurt;Aurélio Buta-Frankfurt;Willian Pacho-Frankfurt;Philipp Max-Frankfurt;Makoto Hasebe-Frankfurt;Donny van de Beek-Frankfurt;Saša Kalajdžić-Frankfurt;Jens Grahl-Frankfurt;Hrvoje Smolčić-Frankfurt;Elias Baum-Frankfurt;Jens Petter Hauge-Frankfurt;Jessic Ngankam-Frankfurt;Paxten Aaronson-Frankfurt;Sebastian Rode-Frankfurt;Kristijan Jakić-Frankfurt;Randal Kolo Muani-Frankfurt;Jesper Lindstrøm-Frankfurt;Evan N’Dicka-Frankfurt;Djibril Sow-Frankfurt;Daichi Kamada-Frankfurt;Christopher Lenz-Frankfurt;Almamy Touré-Frankfurt;Rafael Santos Borré-Frankfurt
2025-03-09;Frankfurt;9;3;2;87;169;FC Union Berlin;3;0;14;11;3;3;0.68;0.32;605;0.84;10;8;3;0;0;0;1;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;5;0.029090909090909;0.3;508;0.0196850393700787;747.0588235294117;0.0714285714285714;1.4705882352941175;3;0.36;-4;3;2;0.0231404958677685;0.0714285714285714;0.68;1.0;1;0;1;0;0;1;0;1;0.0714285714285714;0.3333333333333333;0.0016528925619834;14.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Frankfurt;5;3;0;87;85;Ajax;2;2;17;12;5;3;0.47;0.53;480;0.83;10;8;2;2;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;7;0.0441666666666666;0.2;398;0.0251256281407035;846.8085106382979;0.2352941176470588;8.51063829787234;5;-0.06;-3;0;2;0.0354166666666666;0.1176470588235294;0.235;2.0;1;1;2;1;0;0;1;0;0.1176470588235294;0.4;0.0041666666666666;8.5;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Frankfurt;9;30;17;87;6;Leverkusen;1;1;7;20;3;9;0.4;0.6;408;0.79;9;7;1;1;0;0;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.03;0.1111111111111111;322;0.0279503105590062;805.0;0.2857142857142857;5.0;-13;-0.1999999999999999;-4;0;2;0.017156862745098;0.1428571428571428;0.4;2.0;1;0;1;0;0;1;0;1;0.1428571428571428;0.3333333333333333;0.0024509803921568;7.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Frankfurt;9;17;3;87;23;Bayern;1;1;7;19;2;12;0.36;0.64;438;0.8;7;8;1;1;0;0;1;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0336842105263157;0.1428571428571428;350;0.02;972.2222222222224;0.1428571428571428;2.7777777777777777;-12;-0.28;-3;0;-1;0.0159817351598173;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;Frankfurt;9;17;30;87;177;KSV Holstein;2;0;20;10;9;4;0.52;0.48;515;0.85;16;10;2;0;0;0;4;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;6;0.048;0.125;438;0.0365296803652968;842.3076923076923;0.2;7.692307692307692;10;0.04;-2;2;6;0.0388349514563106;0.15;0.1733333333333333;1.3333333333333333;2;1;3;1;0;0;0;1;0.15;0.3333333333333333;0.0058252427184466;6.666666666666667;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Frankfurt;9;1;3;87;172;Mönchengladbach;3;3;15;8;7;3;0.47;0.53;467;0.86;9;10;3;3;0;0;1;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;6;0.06625;0.3333333333333333;402;0.0223880597014925;855.3191489361702;0.0666666666666666;2.127659574468085;7;-0.06;-5;0;-1;0.032119914346895;0.0666666666666666;0.47;1.0;1;0;1;0;1;0;1;0;0.0666666666666666;0.1428571428571428;0.0021413276231263;15.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Frankfurt;9;17;14;87;175;Wolfsburg;1;3;16;11;4;2;0.62;0.38;560;0.83;8;8;1;3;0;0;9;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1;0.0345454545454545;0.125;465;0.0172043010752688;750.0;0.5625;14.516129032258064;5;0.24;8;-2;0;0.0285714285714285;0.0625;0.62;9.0;0;1;1;0;1;0;0;1;0.0625;0.25;0.0017857142857142;16.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Frankfurt;5;1;17;87;74;Roma;0;1;6;15;2;3;0.53;0.47;608;0.9;15;6;0;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;5;0.0313333333333333;0.0;547;0.0274223034734917;1032.0754716981132;0.3333333333333333;3.773584905660377;-9;0.06;-3;-1;9;0.0098684210526315;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Frankfurt;9;17;3;87;97;Hoffenheim;0;3;12;24;7;8;0.51;0.49;470;0.84;8;16;0;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;9;0.0204166666666666;0.0;395;0.020253164556962;774.5098039215686;0.25;5.88235294117647;-12;0.02;-6;-3;-8;0.025531914893617;0.1666666666666666;0.255;1.5;1;1;2;0;1;0;1;0;0.1666666666666666;0.2857142857142857;0.0042553191489361;6.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Frankfurt;5;3;1;87;100;Ferencváros;3;0;14;1;8;0;0.69;0.31;719;0.88;11;5;3;0;0;0;7;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.31;0.2727272727272727;633;0.0173775671406003;917.391304347826;0.5;10.144927536231885;13;0.3799999999999999;5;3;6;0.019471488178025;0.1428571428571428;0.345;3.5;0;2;2;1;0;0;0;1;0.1428571428571428;0.25;0.0027816411682892;7.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
