Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Christos Mandas-Lazio;Manuel Lazzari-Lazio;Mario Gila-Lazio;Alessio Romagnoli-Lazio;Adam Marušić-Lazio;Nicolò Rovella-Lazio;Mattéo Guendouzi-Lazio;Gustav Isaksen-Lazio;Pedro-Lazio;Mattia Zaccagni-Lazio;Valentín Mariano Castellanos-Lazio;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Samuel Gigot-Lazio;Luca Pellegrini-Lazio;Fisayo Dele-Bashiru-Lazio;Elseid Hysaj-Lazio;Matías Vecino-Lazio;Boulaye Dia-Lazio;Nuno Tavares-Lazio;Reda Belahyane-Lazio;Loum Tchaouna-Lazio;Ivan Provedel-Lazio;Patricio Gabarrón-Lazio;Tijjani Noslin-Lazio;Gaetano Castrovilli-Lazio;Nicolò Casale-Lazio;Daichi Kamada-Lazio;Felipe Anderson-Lazio;Ciro Immobile-Lazio;Luis Alberto Romero Alconchel-Lazio;Danilo Cataldi-Lazio;Sergej Milinković-Savić-Lazio;Marcos Antônio Silva Santos-Lazio;Matteo Cancellieri-Lazio;Toma Bašić-Lazio;Luís Maximiano-Lazio
2025-02-25;Lazio;35;3;2;71;7;Inter;5;2;13;4;6;2;0.49;0.51;452;0.88;11;5;5;2;0;0;8;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.1275;0.4545454545454545;398;0.0276381909547738;812.2448979591837;0.6153846153846154;16.3265306122449;9;-0.02;5;3;6;0.0287610619469026;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Lazio;4;3;23;71;81;Venezia;2;4;9;9;3;2;0.64;0.36;560;0.88;12;21;2;4;0;0;6;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;6;0.04;0.1666666666666666;493;0.024340770791075;770.3125;0.6666666666666666;9.375;0;0.28;0;-2;-9;0.0160714285714285;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Lazio;4;3;2;71;69;Napoli;2;2;12;5;5;2;0.53;0.47;460;0.88;9;19;2;2;0;0;7;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.094;0.2222222222222222;405;0.0222222222222222;764.1509433962264;0.5833333333333334;13.20754716981132;7;0.06;6;0;-10;0.0260869565217391;0.1666666666666666;0.265;3.5;1;1;2;0;1;0;0;1;0.1666666666666666;0.4;0.0043478260869565;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;Lazio;4;3;17;71;80;Monza;0;1;26;3;10;1;0.61;0.39;565;0.92;10;12;0;1;0;0;8;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1;0.13;0.0;520;0.0192307692307692;852.4590163934427;0.3076923076923077;13.114754098360656;23;0.2199999999999999;7;-1;-2;0.0460176991150442;0.1923076923076923;0.122;1.6;1;4;5;1;0;0;0;1;0.1923076923076923;0.5;0.0088495575221238;5.2;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;Lazio;4;3;8;71;79;Cagliari;0;0;11;15;6;5;0.62;0.38;557;0.9;9;14;0;0;0;0;7;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;7;0.0253333333333333;0.0;501;0.0179640718562874;808.0645161290323;0.6363636363636364;11.290322580645162;-4;0.24;0;0;-5;0.0197486535008976;0.1818181818181818;0.31;3.5;1;1;2;1;0;0;1;0;0.1818181818181818;0.3333333333333333;0.0035906642728904;5.5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Lazio;5;3;3;71;103;Braga;1;0;12;8;4;4;0.5;0.5;500;0.87;15;13;1;0;0;0;7;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;4;0.0625;0.0666666666666666;435;0.0344827586206896;870.0;0.5833333333333334;14.0;4;0.0;3;1;2;0.024;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Lazio;4;3;1;71;70;Fiorentina;1;3;22;7;3;3;0.71;0.29;571;0.89;9;12;1;2;0;1;14;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;2;0.0414285714285714;0.1111111111111111;508;0.0177165354330708;715.492957746479;0.6363636363636364;19.71830985915493;15;0.42;12;-2;-3;0.0385288966725043;0.0454545454545454;0.71;14.0;0;1;1;0;0;1;0;1;0.0454545454545454;0.3333333333333333;0.0017513134851138;22.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-23;Lazio;5;3;7;71;46;Real Sociedad;2;2;19;9;6;4;0.78;0.22;833;0.93;10;6;2;1;0;1;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0244444444444444;0.2;775;0.0129032258064516;993.5897435897436;0.1578947368421052;3.846153846153846;10;0.56;0;0;4;0.0228091236494597;0.1578947368421052;0.26;1.0;3;0;3;1;0;0;0;1;0.1578947368421052;0.5;0.0036014405762304;6.333333333333333;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Lazio;4;3;29;71;77;Hellas Verona;2;5;14;16;5;3;0.65;0.35;599;0.89;8;10;2;4;0;1;6;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.021875;0.25;533;0.0150093808630394;820.0;0.4285714285714285;9.23076923076923;-2;0.3;1;-3;-2;0.023372287145242;0.2142857142857142;0.2166666666666666;2.0;2;1;3;1;0;0;1;0;0.2142857142857142;0.6;0.005008347245409;4.666666666666667;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Lazio;4;3;3;71;78;Como;3;3;12;17;4;4;0.36;0.64;268;0.74;14;15;2;3;1;0;7;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;7;0.0376470588235294;0.2142857142857142;198;0.0707070707070707;550.0;0.5833333333333334;19.444444444444446;-5;-0.28;0;0;-1;0.044776119402985;0.0833333333333333;0.36;7.0;1;0;1;0;1;0;0;1;0.0833333333333333;0.25;0.003731343283582;12.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
