Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;João Ricardo Riedi-Fortaleza;Eros Mancuso-Fortaleza;David Luiz-Fortaleza;Gustavo Mancha-Fortaleza;Bruno Pacheco-Fortaleza;Calebe-Fortaleza;Zé Welison-Fortaleza;Guillermo Matías Fernández-Fortaleza;Allanzinho-Fortaleza;Kervin Andrade-Fortaleza;Deyverson-Fortaleza;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Guilherme de Jesus da Silva-Fortaleza;Benjamín Kuscevic-Fortaleza;Cristian Chagas Tarouco-Fortaleza;Diogo Barbosa-Fortaleza;Yago Pikachu-Fortaleza;Lucas Pacheco Affini-Fortaleza;Matheus Rossetto-Fortaleza;Bruno César Pereira Silva-Fortaleza;Juan Martín Lucero-Fortaleza;Breno Henrique Vasconcelos Lopes-Fortaleza;Leandro Emmanuel Martínez-Fortaleza;Marinho-Fortaleza;Moisés Vieira da Veiga-Fortaleza;Emanuel Brítez-Fortaleza;Hércules Pereira do Nascimento-Fortaleza;Tomás Pochettino-Fortaleza;Tomás Cardona-Fortaleza;Felipe Jonatan-Fortaleza;Renato Kayser-Fortaleza;Pedro Augusto-Fortaleza;Imanol Machuca-Fortaleza;Dudu-Fortaleza;Kauan-Fortaleza;Gonzalo Escobar-Fortaleza;Thiago Galhardo-Fortaleza;Marcelo da Conceição Benevenuto Malaquias-Fortaleza;Guilherme Vieira dos Santos-Fortaleza;Caio Alexandre-Fortaleza;Lucas Crispim-Fortaleza;Tobias Figueiredo-Fortaleza;Fernando Miguel Kaufmann-Fortaleza;Silvio Romero-Fortaleza;Vinicius Zanocelo-Fortaleza;Romarinho-Fortaleza;Brayan Ceballos-Fortaleza;Kozlinski-Fortaleza;Gastón Ávila-Fortaleza
2025-04-06;Fortaleza;10;7;3;644;670;Mirassol;3;2;7;20;3;5;0.29;0.71;257;0.66;12;15;3;2;0;0;1;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;8;0.0355;0.25;170;0.0705882352941176;586.2068965517242;0.1428571428571428;3.4482758620689657;-13;-0.42;-7;1;-3;0.0272373540856031;0.1428571428571428;0.29;1.0;1;0;1;0;1;0;1;0;0.1428571428571428;0.3333333333333333;0.0038910505836575;7.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Fortaleza;-1;4;17;644;653;Racing;1;3;14;24;4;13;0.59;0.41;351;0.78;10;21;1;3;0;0;3;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8;0.0170833333333333;0.1;274;0.0364963503649635;464.40677966101697;0.2142857142857142;5.084745762711865;-10;0.18;-5;-2;-11;0.0398860398860398;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Fortaleza;10;4;3;644;197;Fluminense;1;0;5;15;3;1;0.29;0.71;282;0.76;16;5;1;0;0;0;4;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5;0.0473333333333333;0.0625;214;0.0747663551401869;737.9310344827587;0.8;13.793103448275865;-10;-0.42;-1;1;11;0.0177304964539007;0.4;0.145;2.0;2;0;2;1;0;0;0;1;0.4;0.6666666666666666;0.0070921985815602;2.5;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-08;Fortaleza;10;3;22;644;641;Internacional;1;2;10;11;5;1;0.37;0.63;292;0.74;8;13;1;2;0;0;4;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;0.0572727272727272;0.125;216;0.037037037037037;583.7837837837837;0.4;10.81081081081081;-1;-0.26;1;-1;-5;0.0342465753424657;0.3;0.1233333333333333;1.3333333333333333;2;1;3;1;0;0;0;1;0.3;0.6;0.0102739726027397;3.333333333333333;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Fortaleza;10;3;3;644;776;Atlético Goianiense;3;4;12;27;4;10;0.44;0.56;372;0.8;16;13;3;4;0;0;3;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0207407407407407;0.1875;298;0.0536912751677852;677.2727272727273;0.25;6.818181818181818;-15;-0.12;-2;-1;3;0.032258064516129;0.0833333333333333;0.44;3.0;1;0;1;0;0;1;1;0;0.0833333333333333;0.25;0.0026881720430107;12.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Fortaleza;10;3;4;644;693;Vitória;3;4;11;19;2;8;0.72;0.28;552;0.89;10;13;3;4;0;0;8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;0.0147368421052631;0.3;491;0.020366598778004;681.9444444444445;0.7272727272727273;11.11111111111111;-8;0.4399999999999999;1;-1;-3;0.019927536231884;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-26;Fortaleza;10;3;13;644;214;Flamengo;2;3;7;16;1;4;0.39;0.61;315;0.79;16;14;2;2;0;1;5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.038125;0.125;249;0.0642570281124498;638.4615384615385;0.7142857142857143;12.82051282051282;-9;-0.2199999999999999;0;-1;2;0.0222222222222222;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-22;Fortaleza;10;2;3;644;197;Fluminense;3;1;11;10;5;5;0.25;0.75;233;0.78;11;9;3;1;0;0;3;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8;0.075;0.2727272727272727;182;0.0604395604395604;728.0;0.2727272727272727;12.0;1;-0.5;-5;2;2;0.0472103004291845;0.1818181818181818;0.125;1.5;2;0;2;0;1;0;1;0;0.1818181818181818;0.4;0.0085836909871244;5.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-09;Fortaleza;10;13;0;644;777;Vasco da Gama;1;1;14;4;8;2;0.4;0.6;343;0.8;13;11;1;1;0;0;5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.15;0.0769230769230769;274;0.0474452554744525;685.0;0.3571428571428571;12.5;10;-0.1999999999999999;4;0;2;0.0408163265306122;0.2142857142857142;0.1333333333333333;1.6666666666666667;1;2;3;1;0;0;0;1;0.2142857142857142;0.375;0.0087463556851311;4.666666666666667;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-02;Fortaleza;10;30;3;644;779;Juventude;2;3;11;17;4;6;0.4;0.6;298;0.75;14;7;2;3;0;0;3;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;0.0352941176470588;0.1428571428571428;224;0.0625;560.0;0.2727272727272727;7.5;-6;-0.1999999999999999;-2;-1;7;0.0369127516778523;0.2727272727272727;0.1333333333333333;1.0;2;1;3;1;0;0;1;0;0.2727272727272727;0.75;0.0100671140939597;3.6666666666666665;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
