Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Luca Philipp-Hoffenheim;Arthur Chaves-Hoffenheim;Leo Skiri Østigård-Hoffenheim;Stanley N'Soki-Hoffenheim;Pavel Kadeřábek-Hoffenheim;Anton Stach-Hoffenheim;Tom Bischof-Hoffenheim;Bazoumana Touré-Hoffenheim;Andrej Kramarić-Hoffenheim;Marius Bülter-Hoffenheim;Adam Hložek-Hoffenheim;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Oliver Baumann-Hoffenheim;Kevin Akpoguma-Hoffenheim;Dennis Geiger-Hoffenheim;Valentin Gendrey-Hoffenheim;Haris Tabaković-Hoffenheim;David Jurásek-Hoffenheim;Gift Orban-Hoffenheim;Finn Ole Becker-Hoffenheim;Umut Tohumcu-Hoffenheim;Diadie Samassékou-Hoffenheim;Alexander Prass-Hoffenheim;Max Moerstedt-Hoffenheim;Robin Hranáč-Hoffenheim;Erencan Yardimci-Hoffenheim;David Mokwa-Hoffenheim;Jacob Bruun Larsen-Hoffenheim;Mërgim Berisha-Hoffenheim;Florian Grillitsch-Hoffenheim;Tim Drexler-Hoffenheim;Grischa Prömel-Hoffenheim;Ozan Kabak-Hoffenheim;Maximilian Beier-Hoffenheim;Ihlas Bebou-Hoffenheim;Robert Skov-Hoffenheim;Wout Weghorst-Hoffenheim;John Anthony Brooks-Hoffenheim;Kevin Vogt-Hoffenheim;Attila Szalai-Hoffenheim;Angelo Stiller-Hoffenheim;Sebastian Rudy-Hoffenheim;José Ángel Esmorís Tasende-Hoffenheim;Christoph Baumgartner-Hoffenheim;Moanes Dabour-Hoffenheim;Thomas Delaney-Hoffenheim;Kasper Dolberg-Hoffenheim;Georginio Rutter-Hoffenheim;Eduardo Quaresma-Hoffenheim;Muhammed Damar-Hoffenheim
2025-02-16;Hoffenheim;9;3;2;97;171;Werder Bremen;3;2;15;14;6;2;0.38;0.62;340;0.71;12;14;3;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;6;0.0442857142857142;0.25;241;0.0497925311203319;634.2105263157895;0.2666666666666666;10.526315789473683;1;-0.24;-2;1;-2;0.0441176470588235;0.2;0.1266666666666666;1.3333333333333333;2;1;3;1;0;0;1;0;0.2;0.5;0.0088235294117647;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Hoffenheim;9;3;3;97;169;FC Union Berlin;2;1;16;22;4;7;0.65;0.35;567;0.84;9;16;2;1;0;0;8;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.0159090909090909;0.2222222222222222;476;0.01890756302521;732.3076923076923;0.5;12.307692307692308;-6;0.3;4;1;-7;0.0282186948853615;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Hoffenheim;9;17;17;97;6;Leverkusen;3;3;16;9;7;5;0.52;0.48;531;0.83;7;14;3;2;0;1;3;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;3;0.0533333333333333;0.4285714285714285;441;0.0158730158730158;848.0769230769231;0.1875;5.769230769230769;7;0.04;0;0;-7;0.0301318267419962;0.0625;0.52;3.0;0;1;1;0;0;1;1;0;0.0625;0.1428571428571428;0.0018832391713747;16.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-30;Hoffenheim;5;0;7;97;84;Anderlecht;5;0;10;19;6;6;0.51;0.49;465;0.78;13;7;5;0;0;0;4;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7;0.0257894736842105;0.3846153846153846;363;0.0358126721763085;711.7647058823529;0.4;7.84313725490196;-9;0.02;-3;5;6;0.021505376344086;0.4;0.1275;1.0;1;3;4;1;0;0;1;0;0.4;0.6666666666666666;0.0086021505376344;2.5;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Hoffenheim;9;3;17;97;87;Frankfurt;3;0;24;12;8;7;0.49;0.51;427;0.83;16;8;3;0;0;0;9;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.0425;0.1875;354;0.0451977401129943;722.4489795918367;0.375;18.367346938775512;12;-0.02;6;3;8;0.0562060889929742;0.0833333333333333;0.245;4.5;0;2;2;0;1;0;0;1;0.0833333333333333;0.25;0.0046838407494145;12.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Hoffenheim;9;3;17;97;177;KSV Holstein;1;2;11;12;6;3;0.46;0.54;351;0.7;13;13;1;2;0;0;3;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.045;0.0769230769230769;246;0.0528455284552845;534.7826086956521;0.2727272727272727;6.521739130434782;-1;-0.08;-1;-1;0;0.0313390313390313;0.2727272727272727;0.1533333333333333;1.0;2;1;3;1;0;0;1;0;0.2727272727272727;0.5;0.0085470085470085;3.6666666666666665;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Hoffenheim;9;3;3;97;23;Bayern;1;1;5;25;2;10;0.35;0.65;411;0.82;10;8;1;1;0;0;1;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;13;0.026;0.1;337;0.029673590504451;962.8571428571428;0.2;2.857142857142857;-20;-0.3;-12;0;2;0.0121654501216545;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Hoffenheim;9;1;3;97;172;Mönchengladbach;0;0;18;5;8;3;0.65;0.35;651;0.88;14;6;0;0;0;0;8;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;4;0.0699999999999999;0.0;573;0.0244328097731239;881.5384615384615;0.4444444444444444;12.307692307692308;13;0.3;4;0;8;0.0276497695852534;0.0555555555555555;0.65;8.0;0;1;1;0;0;1;0;1;0.0555555555555555;0.125;0.0015360983102918;18.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Hoffenheim;9;1;3;97;11;Dortmund;2;5;12;6;1;2;0.46;0.54;368;0.78;10;9;2;5;0;0;9;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;3;0.09;0.2;287;0.0348432055749128;623.9130434782609;0.75;19.565217391304348;6;-0.08;6;-3;1;0.0326086956521739;0.0833333333333333;0.46;9.0;0;1;1;0;1;0;1;0;0.0833333333333333;1.0;0.0027173913043478;12.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-12;Hoffenheim;5;3;3;97;93;FCSB;4;3;14;8;3;4;0.69;0.31;662;0.85;17;18;4;3;0;0;4;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;2;0.03875;0.2352941176470588;563;0.0301953818827708;815.9420289855074;0.2857142857142857;5.797101449275363;6;0.3799999999999999;2;1;-1;0.0211480362537764;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
