Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Kepa Arrizabalaga-Bournemouth;Julián Araujo-Bournemouth;Illya Zabarnyi-Bournemouth;Dean Huijsen-Bournemouth;Milos Kerkez-Bournemouth;Tyler Adams-Bournemouth;Lewis Cook-Bournemouth;Marcus Tavernier-Bournemouth;Justin Kluivert-Bournemouth;Dango Ouattara-Bournemouth;Francisco Evanilson de Lima Barbosa-Bournemouth;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Adam Smith-Bournemouth;Alex Scott-Bournemouth;Antoine Semenyo-Bournemouth;Marcos Senesi-Bournemouth;Ryan Christie-Bournemouth;Julio Soler-Bournemouth;David Brooks-Bournemouth;James Hill-Bournemouth;Ben Winterburn-Bournemouth;Daniel Jebbison-Bournemouth;Mark Travers-Bournemouth;Max Aarons-Bournemouth;Philip Billing-Bournemouth;Enes Ünal-Bournemouth;Norberto Murara-Bournemouth;Luis Sinisterra-Bournemouth;Romain Faivre-Bournemouth;Jaidon Anthony-Bournemouth;Dominic Solanke-Bournemouth;Lloyd Kelly-Bournemouth;Chris Mepham-Bournemouth;Kieffer Moore-Bournemouth;Andrei Radu-Bournemouth;Joe Rothwell-Bournemouth;Hamed Traorè-Bournemouth;Jefferson Lerma-Bournemouth;Matías Viña-Bournemouth;Jack Stephens-Bournemouth;Jordan Zemura-Bournemouth;Jack Stacey-Bournemouth;Ben Pearson-Bournemouth;Junior Stanislas-Bournemouth;Jamal Lowe-Bournemouth;Ryan Fredericks-Bournemouth
2025-03-01;Bournemouth;15;3;17;59;67;Wolves;5;6;31;9;10;3;0.68;0.32;630;0.83;17;11;5;5;0;1;18;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.0355555555555555;0.2941176470588235;523;0.0325047801147227;769.1176470588234;0.5806451612903226;26.47058823529412;22;0.36;17;-1;6;0.0492063492063492;0.032258064516129;0.68;18.0;1;0;1;0;1;0;0;1;0.032258064516129;0.1;0.0015873015873015;31.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Bournemouth;3;3;3;59;54;Brighton;1;2;19;11;5;4;0.57;0.43;467;0.79;14;12;1;2;0;0;9;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1;0.039090909090909;0.0714285714285714;369;0.037940379403794;647.3684210526317;0.4736842105263157;15.789473684210527;8;0.1399999999999999;8;-1;2;0.0406852248394004;0.0526315789473684;0.57;9.0;0;1;1;0;0;1;1;0;0.0526315789473684;0.2;0.0021413276231263;19.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Bournemouth;3;3;17;59;67;Wolves;4;3;8;13;3;5;0.45;0.55;360;0.76;17;9;3;3;1;0;6;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;7;0.0423076923076923;0.2352941176470588;274;0.0620437956204379;608.8888888888889;0.75;13.333333333333332;-5;-0.1;-1;1;8;0.0222222222222222;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Bournemouth;3;3;29;59;68;Southampton;3;1;14;11;7;4;0.56;0.44;483;0.82;15;13;3;1;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;4;0.04;0.2;396;0.0378787878787878;707.1428571428571;0.4285714285714285;10.714285714285714;3;0.12;2;2;2;0.0289855072463768;0.2142857142857142;0.1866666666666666;2.0;2;1;3;1;0;0;1;0;0.2142857142857142;0.4285714285714285;0.0062111801242236;4.666666666666667;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Bournemouth;15;3;3;59;64;Everton;4;1;18;11;8;1;0.42;0.58;327;0.72;13;8;4;1;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;6;0.0527272727272727;0.3076923076923077;235;0.0553191489361702;559.5238095238095;0.3333333333333333;14.285714285714286;7;-0.1599999999999999;0;3;5;0.055045871559633;0.1111111111111111;0.21;3.0;2;0;2;1;0;0;1;0;0.1111111111111111;0.25;0.0061162079510703;9.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Bournemouth;3;3;3;59;2;Liverpool;2;3;14;19;3;7;0.49;0.51;409;0.79;15;9;2;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;3;0.0268421052631578;0.1333333333333333;323;0.0464396284829721;659.1836734693877;0.2142857142857142;6.122448979591836;-5;-0.02;0;-1;6;0.0342298288508557;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Bournemouth;3;3;3;59;55;Nottingham Forest;2;3;16;18;10;4;0.51;0.49;358;0.8;9;12;2;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;9;0.0272222222222222;0.2222222222222222;286;0.0314685314685314;560.7843137254902;0.1875;5.88235294117647;-2;0.02;-6;-1;-3;0.0446927374301676;0.3125;0.102;0.6;1;4;5;1;0;0;0;1;0.3125;0.5;0.0139664804469273;3.2;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Bournemouth;3;3;0;59;60;Newcastle;6;1;19;13;10;5;0.44;0.56;321;0.75;18;7;6;1;0;0;6;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;7;0.043076923076923;0.3333333333333333;241;0.0746887966804979;547.7272727272727;0.3157894736842105;13.636363636363637;6;-0.12;-1;5;11;0.0591900311526479;0.2105263157894736;0.11;1.5;2;2;4;1;0;0;1;0;0.2105263157894736;0.4;0.0124610591900311;4.75;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Bournemouth;3;3;3;59;53;Chelsea;3;2;7;26;3;10;0.43;0.57;320;0.77;16;15;3;2;0;0;3;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;9;0.0219230769230769;0.1875;246;0.065040650406504;572.0930232558139;0.4285714285714285;6.976744186046512;-19;-0.1399999999999999;-6;1;1;0.021875;0.2857142857142857;0.215;1.5;0;2;2;0;1;0;1;0;0.2857142857142857;0.6666666666666666;0.00625;3.5;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Bournemouth;15;3;1;59;823;Albion;1;3;17;6;6;2;0.54;0.46;484;0.84;17;9;1;3;0;0;5;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3;0.0766666666666666;0.0588235294117647;407;0.0417690417690417;753.7037037037037;0.2941176470588235;9.25925925925926;11;0.08;2;-2;8;0.0351239669421487;0.2941176470588235;0.108;1.0;3;2;5;1;0;0;0;1;0.2941176470588235;0.8333333333333334;0.0103305785123966;3.4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
