Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Augusto Batalla-Rayo Vallecano;Andrei Rațiu-Rayo Vallecano;Florian Lejeune-Rayo Vallecano;Pathé Ciss-Rayo Vallecano;Pep Chavarría-Rayo Vallecano;Óscar Valentín-Rayo Vallecano;Gerard Gumbau-Rayo Vallecano;Jorge de Frutos Sebastián-Rayo Vallecano;Pedro Díaz Fanjul-Rayo Vallecano;Álvaro García Rivera-Rayo Vallecano;Randy Nteka-Rayo Vallecano;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aridane Hernández-Rayo Vallecano;Luis Alfonso Espino García-Rayo Vallecano;Unai López-Rayo Vallecano;Pelayo Fernández-Rayo Vallecano;Óscar Trejo-Rayo Vallecano;Sergio Guardiola Navarro-Rayo Vallecano;Adrián Embarba-Rayo Vallecano;Abdul Mumin-Rayo Vallecano;Isaac Palazón Camacho-Rayo Vallecano;Sergio Camello-Rayo Vallecano;Dani Cárdenas-Rayo Vallecano;Iván Balliu-Rayo Vallecano;James Rodríguez-Rayo Vallecano;Raúl de Tomás-Rayo Vallecano;Radamel Falcao García-Rayo Vallecano;Stole Dimitrievski-Rayo Vallecano;Miguel Crespo-Rayo Vallecano;Kike Pérez-Rayo Vallecano;Martín Pascual Castillo-Rayo Vallecano;Diego Méndez Molero-Rayo Vallecano;Tiago Manuel Dias Correia-Rayo Vallecano;Alejandro Catena Marugán-Rayo Vallecano;Francisco José García Torres-Rayo Vallecano;Santiago Comesaña Veiga-Rayo Vallecano;Salvi Sánchez-Rayo Vallecano;Andrés Martín García-Rayo Vallecano;Mario Hernández Fernández-Rayo Vallecano;Diego López Rodríguez-Rayo Vallecano;Mario Suárez-Rayo Vallecano;Esteban Saveljich-Rayo Vallecano;Pablo Muñoz Crespo-Rayo Vallecano
2025-01-31;Rayo Vallecano;1;3;9;42;47;Leganés;4;3;19;5;3;1;0.67;0.33;555;0.89;19;7;4;2;0;1;9;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;2;0.066;0.2105263157894736;494;0.0384615384615384;737.3134328358209;0.4736842105263157;13.43283582089552;14;0.34;7;1;12;0.0342342342342342;0.0526315789473684;0.67;9.0;0;1;1;1;0;0;1;0;0.0526315789473684;0.3333333333333333;0.0018018018018018;19.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Rayo Vallecano;1;3;3;42;24;Girona;3;1;17;12;7;5;0.58;0.42;527;0.83;19;9;3;1;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1;0.0349999999999999;0.1578947368421052;437;0.0434782608695652;753.4482758620691;0.2352941176470588;6.896551724137932;5;0.1599999999999999;3;2;10;0.032258064516129;0.1176470588235294;0.29;2.0;0;2;2;1;0;0;0;1;0.1176470588235294;0.2857142857142857;0.0037950664136622;8.5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Rayo Vallecano;1;1;3;42;41;Osasuna;2;3;8;12;3;3;0.47;0.53;399;0.77;13;9;2;3;0;0;3;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;6;0.0441666666666666;0.1538461538461538;307;0.0423452768729641;653.1914893617021;0.375;6.382978723404256;-4;-0.06;-3;-1;4;0.0200501253132832;0.125;0.47;3.0;1;0;1;0;1;0;1;0;0.125;0.3333333333333333;0.0025062656641604;8.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-16;Rayo Vallecano;19;3;7;42;46;Real Sociedad;3;1;12;14;3;5;0.52;0.48;412;0.75;12;17;2;1;1;0;2;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;6;0.0342857142857142;0.25;309;0.0388349514563106;594.2307692307692;0.1666666666666666;3.846153846153846;-2;0.04;-4;2;-5;0.029126213592233;0.0833333333333333;0.52;2.0;1;0;1;0;0;1;1;0;0.0833333333333333;0.3333333333333333;0.0024271844660194;12.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-10;Rayo Vallecano;1;1;3;42;44;Celta de Vigo;2;2;8;23;5;7;0.51;0.49;443;0.8;18;9;2;1;0;1;3;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3;0.0213043478260869;0.1111111111111111;354;0.0508474576271186;694.1176470588235;0.375;5.88235294117647;-15;0.02;0;0;9;0.0180586907449209;0.25;0.255;1.5;1;1;2;1;0;0;0;1;0.25;0.4;0.0045146726862302;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-03;Rayo Vallecano;19;3;3;42;132;Racing Ferrol;3;2;10;18;6;2;0.55;0.45;468;0.8;15;11;3;2;0;0;4;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;9;0.025;0.2;374;0.0401069518716577;680.0;0.4;7.272727272727272;-8;0.1;-5;1;4;0.0213675213675213;0.3;0.1833333333333333;1.3333333333333333;2;1;3;1;0;0;1;0;0.3;0.5;0.0064102564102564;3.333333333333333;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-22;Rayo Vallecano;1;3;3;42;39;Betis;4;0;10;14;4;5;0.44;0.56;346;0.76;14;9;4;0;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;5;0.04;0.2857142857142857;263;0.053231939163498;597.7272727272727;0.5;11.363636363636363;-4;-0.12;0;4;5;0.0289017341040462;0.1;0.44;5.0;0;1;1;0;1;0;1;0;0.1;0.25;0.0028901734104046;10.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-18;Rayo Vallecano;1;3;1;42;37;Villarreal;3;5;18;14;3;5;0.55;0.45;454;0.81;15;10;3;4;0;1;7;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;7;0.0321428571428571;0.2;368;0.0407608695652173;669.090909090909;0.3888888888888889;12.727272727272728;4;0.1;0;-2;5;0.039647577092511;0.0555555555555555;0.55;7.0;1;0;1;0;1;0;1;0;0.0555555555555555;0.3333333333333333;0.0022026431718061;18.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Rayo Vallecano;1;1;3;42;12;Real Madrid;4;2;14;13;5;6;0.33;0.67;313;0.75;18;8;4;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;3;0.0515384615384615;0.2222222222222222;235;0.076595744680851;712.1212121212121;0.2857142857142857;12.12121212121212;1;-0.34;1;2;10;0.0447284345047923;0.2142857142857142;0.11;1.3333333333333333;2;1;3;0;1;0;0;1;0.2142857142857142;0.6;0.0095846645367412;4.666666666666667;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Rayo Vallecano;1;3;9;42;52;Valencia C. F.;2;2;6;14;1;6;0.39;0.61;311;0.66;12;5;2;2;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;9;0.0435714285714285;0.1666666666666666;205;0.0585365853658536;525.6410256410256;0.6666666666666666;10.256410256410255;-8;-0.2199999999999999;-5;0;7;0.0192926045016077;0.1666666666666666;0.39;4.0;1;0;1;1;0;0;1;0;0.1666666666666666;1.0;0.0032154340836012;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
