Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Robert Sánchez-Chelsea;Reece James-Chelsea;Trevoh Chalobah-Chelsea;Levi Colwill-Chelsea;Marc Cucurella-Chelsea;Enzo Fernández-Chelsea;Moisés Caicedo-Chelsea;Noni Madueke-Chelsea;Cole Palmer-Chelsea;Pedro Neto-Chelsea;Nicolas Jackson-Chelsea;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Filip Jörgensen-Chelsea;Josh Acheampong-Chelsea;Tosin Adarabioyo-Chelsea;Benoît Badiashile-Chelsea;Kiernan Dewsbury-Hall-Chelsea;Jadon Sancho-Chelsea;Christopher Nkunku-Chelsea;Malo Gusto-Chelsea;Tyrique George-Chelsea;Wesley Fofana-Chelsea;Shim Mheuka-Chelsea;Roméo Lavia-Chelsea;Axel Disasi-Chelsea;Renato Veiga-Chelsea;João Félix-Chelsea;Marc Guiu-Chelsea;Cesare Casadei-Chelsea;Mijailo Mudryk-Chelsea;Raheem Sterling-Chelsea;Carney Chukwuemeka-Chelsea;Đorđe Petrović-Chelsea;Thiago Silva-Chelsea;Conor Gallagher-Chelsea;Alfie Gilchrist-Chelsea;Ben Chilwell-Chelsea;Armando Broja-Chelsea;Ian Maatsen-Chelsea;Lesley Ugochukwu-Chelsea;Bashir Humphreys-Chelsea;Diego Moreira-Chelsea;Mason Burstow-Chelsea;Kepa Arrizabalaga-Chelsea;Gaga Słonina-Chelsea;Andrey Santos-Chelsea;Jamie Cumming-Chelsea;César Azpilicueta-Chelsea;Lewis Hall-Chelsea;Ruben Loftus-Cheek-Chelsea;Kai Havertz-Chelsea;Édouard Mendy-Chelsea;Mateo Kovačić-Chelsea;N'Golo Kanté-Chelsea;Pierre Emerick Aubameyang-Chelsea;Denis Zakaria-Chelsea;Christian Pulisic-Chelsea;Kalidou Koulibaly-Chelsea;Reggie Walsh-Chelsea
2025-03-16;Chelsea;3;3;0;53;9;Arsenal;3;3;8;12;2;4;0.6;0.4;515;0.86;13;10;3;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;5;0.0333333333333333;0.2307692307692307;443;0.0293453724604966;738.3333333333334;0.5;6.666666666666667;-4;0.1999999999999999;-1;0;3;0.0155339805825242;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Chelsea;21;3;9;53;158;København;2;1;11;10;5;1;0.54;0.46;559;0.89;9;7;2;1;0;0;1;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;6;0.046;0.2222222222222222;498;0.0180722891566265;922.2222222222222;0.0909090909090909;1.851851851851852;1;0.08;-5;1;2;0.0196779964221824;0.0909090909090909;0.54;1.0;0;1;1;1;0;0;0;1;0.0909090909090909;0.2;0.0017889087656529;11.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Chelsea;3;3;17;53;63;Leicester City;1;0;20;3;7;3;0.57;0.43;541;0.86;12;13;1;0;0;0;12;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.1433333333333333;0.0833333333333333;465;0.0258064516129032;815.7894736842106;0.6;21.05263157894737;17;0.1399999999999999;10;1;-1;0.0369685767097966;0.05;0.57;12.0;0;1;1;1;0;0;0;1;0.05;0.1428571428571428;0.0018484288354898;20.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Chelsea;21;3;9;53;158;København;1;4;5;5;2;2;0.63;0.37;720;0.92;5;10;1;4;0;0;0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1;0.074;0.2;662;0.0075528700906344;1050.7936507936508;0.0;0.0;0;0.26;-1;-3;-5;0.0069444444444444;0.4;0.315;0.0;0;2;2;1;0;0;1;0;0.4;1.0;0.0027777777777777;2.5;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-25;Chelsea;3;3;9;53;68;Southampton;1;2;19;7;10;2;0.6;0.4;620;0.9;6;9;1;2;0;0;4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.0571428571428571;0.1666666666666666;558;0.010752688172043;930.0;0.2105263157894736;6.666666666666667;12;0.1999999999999999;2;-1;-3;0.0306451612903225;0.2105263157894736;0.15;1.0;3;1;4;1;0;0;0;1;0.2105263157894736;0.4;0.0064516129032258;4.75;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Chelsea;3;3;3;53;1;Aston Villa;3;1;15;12;7;6;0.47;0.53;446;0.88;16;15;3;1;0;0;3;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;2;0.0441666666666666;0.1875;392;0.0408163265306122;834.0425531914894;0.2;6.382978723404256;3;-0.06;1;2;1;0.0336322869955156;0.0666666666666666;0.47;3.0;1;0;1;0;0;1;1;0;0.0666666666666666;0.1428571428571428;0.0022421524663677;15.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-14;Chelsea;3;3;9;53;54;Brighton;2;1;8;13;0;5;0.7;0.3;735;0.9;15;12;2;1;0;0;9;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;2;0.023076923076923;0.1333333333333333;662;0.0226586102719033;945.7142857142858;1.125;12.857142857142858;-5;0.3999999999999999;7;1;3;0.0108843537414965;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Chelsea;15;3;3;53;54;Brighton;2;2;7;6;1;3;0.58;0.42;561;0.88;3;8;2;2;0;0;3;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;4;0.0699999999999999;0.6666666666666666;494;0.0060728744939271;851.7241379310345;0.4285714285714285;5.172413793103448;1;0.1599999999999999;-1;0;-5;0.0124777183600713;0.1428571428571428;0.58;3.0;1;0;1;0;0;1;1;0;0.1428571428571428;1.0;0.0017825311942959;7.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;Chelsea;3;3;17;53;61;West Ham;3;1;22;14;3;5;0.68;0.32;597;0.86;11;10;3;1;0;0;4;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0228571428571428;0.2727272727272727;513;0.0214424951267056;754.4117647058823;0.1818181818181818;5.88235294117647;8;0.36;1;2;1;0.0368509212730318;0.0909090909090909;0.34;2.0;0;2;2;1;0;0;0;1;0.0909090909090909;0.6666666666666666;0.0033500837520938;11.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Chelsea;3;3;0;53;3;Manchester City;2;3;10;15;4;6;0.43;0.57;425;0.82;8;6;2;3;0;0;3;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.038;0.25;348;0.0229885057471264;809.3023255813954;0.3;6.976744186046512;-5;-0.1399999999999999;1;-1;2;0.0235294117647058;0.1;0.43;3.0;1;0;1;0;0;1;1;0;0.1;0.25;0.0023529411764705;10.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
