Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Marco Bizot-Stade Brestois;Kenny Lala-Stade Brestois;Edimilson Fernandes-Stade Brestois;Abdoulaye Ndiaye-Stade Brestois;Massadio Haïdara-Stade Brestois;Mahdi Camara-Stade Brestois;Hugo Magnetti-Stade Brestois;Kamory Doumbia-Stade Brestois;Romain Del Castillo-Stade Brestois;Ludovic Ajorque-Stade Brestois;Mathias Pereira Lage-Stade Brestois;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Brendan Chardonnet-Stade Brestois;Pierre Lees-Melou-Stade Brestois;Grégoire Coudert-Stade Brestois;Julien Le Cardinal-Stade Brestois;Abdallah Sima-Stade Brestois;Justin Bourgault-Stade Brestois;Mama Baldé-Stade Brestois;Romain Faivre-Stade Brestois;Luck Zogbé-Stade Brestois;Soumaïla Coulibaly-Stade Brestois;Ibrahim Salah-Stade Brestois;Jordan Amavi-Stade Brestois;Jonas Martin-Stade Brestois;Jérémy Le Douaron-Stade Brestois;Lilian Brassier-Stade Brestois;Steve Mounié-Stade Brestois;Martín Satriano-Stade Brestois;Bradley Locko-Stade Brestois;Billal Brahimi-Stade Brestois;Achraf Dari-Stade Brestois;Jean-Kévin Duverne-Stade Brestois;Haris Belkebla-Stade Brestois;Franck Honorat-Stade Brestois;Félix Lemaréchal-Stade Brestois;Noah Fadiga-Stade Brestois;Taïryk Arconte-Stade Brestois;Christophe Hérelle-Stade Brestois;Alberth Elis-Stade Brestois;Joaquín Blázquez-Stade Brestois;Islam Slimani-Stade Brestois;Karamoko Dembélé-Stade Brestois;Jere Uronen-Stade Brestois
2025-02-26;Stade Brestois;13;3;7;5;-1;Union Sportive du Littoral de Dunkerque;2;3;13;13;1;3;0.55;0.45;442;0.79;8;7;2;3;0;0;12;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0346153846153846;0.25;349;0.0229226361031518;634.5454545454545;0.9230769230769232;21.818181818181817;0;0.1;6;-1;1;0.0294117647058823;0.1538461538461538;0.275;6.0;1;1;2;0;0;1;0;1;0.1538461538461538;2.0;0.004524886877828;6.5;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Stade Brestois;2;3;17;5;767;Racing de Estrasburgo;1;3;12;3;2;1;0.43;0.57;404;0.79;12;12;1;3;0;0;8;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1;0.1899999999999999;0.0833333333333333;319;0.0376175548589341;741.8604651162791;0.6666666666666666;18.6046511627907;9;-0.1399999999999999;7;-2;0;0.0297029702970297;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Stade Brestois;0;8;0;5;19;PSG;2;0;13;20;3;9;0.31;0.69;328;0.79;9;7;2;0;0;0;5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4;0.0344999999999999;0.2222222222222222;259;0.0347490347490347;835.483870967742;0.3846153846153846;16.129032258064516;-7;-0.3799999999999999;1;2;2;0.0396341463414634;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-14;Stade Brestois;2;3;3;5;770;Auxerre;2;2;18;11;6;6;0.64;0.36;542;0.84;9;12;2;2;0;0;6;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.0327272727272727;0.2222222222222222;455;0.0197802197802197;710.9375;0.3333333333333333;9.375;7;0.28;2;0;-3;0.033210332103321;0.1111111111111111;0.32;3.0;0;2;2;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.003690036900369;9.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-11;Stade Brestois;0;28;0;5;19;PSG;1;1;16;16;2;7;0.38;0.62;345;0.77;7;13;1;1;0;0;6;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3;0.03875;0.1428571428571428;266;0.0263157894736842;700.0;0.375;15.789473684210526;0;-0.24;3;0;-6;0.0463768115942029;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Stade Brestois;2;0;0;5;769;Nantes;2;3;10;15;6;2;0.41;0.59;338;0.82;13;15;2;3;0;0;4;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;12;0.0393333333333333;0.1538461538461538;277;0.0469314079422382;675.609756097561;0.4;9.75609756097561;-5;-0.18;-8;-1;-2;0.029585798816568;0.2;0.205;2.0;1;1;2;1;0;0;1;0;0.2;0.3333333333333333;0.0059171597633136;5.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-04;Stade Brestois;13;3;1;5;-1;Troyes;2;0;12;15;6;4;0.65;0.35;626;0.88;12;6;2;0;0;0;5;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0;0.0233333333333333;0.1666666666666666;551;0.0217785843920145;847.6923076923076;0.4166666666666667;7.692307692307692;-3;0.3;5;2;6;0.0191693290734824;0.1666666666666666;0.325;2.5;0;2;2;1;0;0;1;0;0.1666666666666666;0.3333333333333333;0.0031948881789137;6.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;Stade Brestois;2;3;0;5;19;PSG;1;0;14;14;7;7;0.34;0.66;368;0.79;9;12;1;0;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;7;0.0471428571428571;0.1111111111111111;291;0.0309278350515463;855.8823529411765;0.2857142857142857;11.76470588235294;0;-0.32;-3;1;-3;0.0380434782608695;0.1428571428571428;0.17;2.0;0;2;2;0;0;1;0;1;0.1428571428571428;0.2857142857142857;0.0054347826086956;7.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Stade Brestois;0;28;3;5;12;Real Madrid;1;3;23;14;5;6;0.4;0.6;417;0.86;11;12;1;3;0;0;4;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0428571428571428;0.0909090909090909;359;0.0306406685236768;897.5;0.1739130434782608;10.0;9;-0.1999999999999999;1;-2;-1;0.0551558752997601;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Stade Brestois;2;3;3;5;774;Le Havre;3;2;17;11;9;1;0.56;0.44;483;0.86;14;12;3;2;0;0;6;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;6;0.04;0.2142857142857142;415;0.0337349397590361;741.0714285714286;0.3529411764705882;10.714285714285714;6;0.12;0;1;2;0.0351966873706004;0.0588235294117647;0.56;6.0;1;0;1;1;0;0;1;0;0.0588235294117647;0.1111111111111111;0.0020703933747412;17.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Stade Brestois;0;3;7;5;30;Shakhtar;1;1;10;9;4;5;0.54;0.46;498;0.81;11;17;1;1;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.0511111111111111;0.0909090909090909;403;0.0272952853598014;746.2962962962962;0.4;7.4074074074074066;1;0.08;1;0;-6;0.0200803212851405;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Stade Brestois;2;13;17;5;768;Rennes;3;2;10;22;3;9;0.31;0.69;288;0.69;11;13;3;2;0;0;4;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;4;0.0313636363636363;0.2727272727272727;199;0.0552763819095477;641.9354838709678;0.4;12.903225806451614;-12;-0.3799999999999999;0;1;-2;0.0347222222222222;0.2;0.155;2.0;1;1;2;1;0;0;1;0;0.2;0.6666666666666666;0.0069444444444444;5.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
